	CD_MemberList	frac_d1_seeds	frac_d2_seeds
C877	HELZ EMX2 HIST1H3A RAD51 SYT12 GYPC KDM3B ERC1 SPATA7 CASK KDM6B AS3MT YEATS2 HMGCR KPNB1 CDIPT CHST3 GNAI2 PDLIM3 RAPSN SYT17 STK33 CCDC121 MRTFB SOX5 GDAP2 IPO4 CTNNBL1 GXYLT1 HSPA12A TIAM1 CACNA1C TPST2 SETSIP PRKD1 GRIA3 GATA3 ZFYVE21 GPC2 PLCD4 SGCB EIF3A PRKAR1A AC007192.1 CELA1 POLR3F CENPF RB1 AGPAT1 CANX CACNA1D NDUFS3 DNHD1 BAIAP2 PITPNM2 LZTFL1 ADORA2B SULT1A1 PTK7 RNF103 TSPAN8 MOGAT3 SKOR1 CLVS1 DDIT4L EXOSC10 ZNF629 DNAJC4 OR2A4 SOX8 EHBP1 RIMS4 TMEM178A CCL14 STX7 TAF4 GPR139 SPOCK1 RIPPLY2 CSDE1 PURG WBP1L AARS2 PRPH2 AC002310.5 ARFGEF2 MAST3 GLIS2 C5orf30 PGBD5 NKTR PLCB2 PTCH2 HDLBP THAP11 MRPL14 HHAT MAP2K3 TBC1D15 EPHB2 SCN4A RABEP2 MEA1 PHOSPHO2 SH3PXD2A TEPSIN BCL2L15 AGTRAP SLC45A3 NLGN1 PACSIN2 SSH3 SYTL3 TNRC18 SOX3 CCDC22 CHST13 VPS4A IFT22 ANKRD13B HCFC1 NDST2 PPFIA4 DAG1 PIK3R1 OR8S1 VPS11 LDB2 VPS33A TMEM268 TNRC6A UNC13D DUSP8 TMEM54 NR2F1 ESYT3 UFSP2 CCDC85A CADPS THOC6 SUGP2 HS3ST4 SPTBN5 PCSK2 DOCK3 POU1F1 HOXB9 TRIO SEZ6L PRKCA TRPM3 STMN4 SLITRK6 ZSWIM6 NKAIN2 NYX MAP2K1 STX4 TMEM214 ENDOV ABL1 RCOR2 TSNARE1 MYH4 TRPC4 DOCK2 CHGB GON7 CDAN1 SYT2 PEX6 SYT1 TMEM256 KRT75 WNK1 AC011455.3 NIN NPFFR1 THAP4 ZBTB20 DNAJC28 NPEPPS POMC GARS GATAD2A GTF2H2C RSRC1 CCP110 DNAH17 CAMK4 RAB11FIP2 MYH2 DNAH3 GLB1L3 TMEM45B RNF170 KDM5A GPR149 NES ZIK1 INPP4B UBR2 XRCC5 CSPG4 PTPRK KATNAL1 EBF3 MAPK1 HSP90AB1 PPP2R2A UNC13B MAPK6 LGI3 CHST9 PPP1R14B RALYL LIN7C LINGO1 NCOA3 PKP3 PLEC HS3ST3B1 NFATC3 EHMT2 BACE2 SYT7 STX16-NPEPL1 DTX4 EIF2AK4 RIT2 SYT15 TBCD TUBA4B NDST3 SKIL A1CF ANGEL1 PAGR1 SYT4 PNPLA1 ZNF502 NAV1 SYT9 TMEM52 HS6ST3 OR2A1 HIST1H3C IQCK RPH3A VPS39 LMO1 HARS LMTK3 KDM5D CT55 C12orf49 SLC25A12 SPINT1 KIAA2013 GBA PAPSS1 PSMC3 HS3ST3A1 PCGF1 MAP2K6 LAMP1 RPL4 ERAS GDE1 NECAB1 NCOA5 GPC6 FOXO1 TRP-AGG2-6 GPR151 DDAH1 H2AFY NR2C2AP ELAVL2 SCUBE2 PLD2 CDH26 CRB2 GPR152 PPP1R14D KCTD3 XKR6 ELAVL4 SYTL1 MYO5C CNTNAP5 PHF2 NBR1 SUMO1 SNX32 COLQ TAF11 GCLC MAN2B1 RAB5B IGF1R RCAN2 KPNA3 CLMN TRIT1 NEK11 WNK4 MC4R HNRNPA3 AKAP6 BDNF MON1A NUMBL CLN3 KIF13B AC105001.2 CACUL1 AK5 PYDC1 NAPRT RRP8 RAP1A PPP2R3A TTBK2 VPS8 ZNF142 GPC5 ZFC3H1 NSD2 TYRO3 RPL39L IGF2R SDC1 PTRHD1 PROM2 MON1B DAPK2 OR6B2 BCL2 CHST1 CLSTN2 DMD NEIL1 KIF22 GAS2 BBS2 ABCB8 SULT1A2 CDX2 C17orf58 ZKSCAN2 RFT1 STXBP6 CALY METTL2A INSR DENND4C RPL28 MMP24 OR6Y1 ANKZF1 BNC2 SLC16A6 ST3GAL2 CBX5 SPDEF SMIM5 GAL3ST4 HPX TPGS1 SLIT3 SNU13 TULP1 HPS4 AC135178.2 FAM177A1 BEST3 MMP11 MAP2K5 TIMM17A SYTL2 PKIB CLBA1 C16orf74 STXBP5 AC093155.3 GANC ABCF3 OR4X1 SCFD2 BEST2 AC005324.3 ZNF768 CPXM1 SKIDA1 KIF12 CKAP5 TNIK FUS ILK BAK1 DTD1 AC004223.3 GFI1B NEK5 NOVA1 TUBA4A KNOP1 CHST8 RBSN DSPP AC138811.2 OIP5 SF3A3 VPS35L CORIN RASAL1 CCDC68 CHST7 N4BP2 NME5 TIMM10B PTBP2 AKNA SLC35E2B KDM3A GPC1 FSCN2 OR6B3 OR10A3 RD3 ZNF277 TPBG JMJD7 ZNF263 KDM6A TRPM7 CLHC1 MYOZ2 SYTL4 RIMS2 SLC38A10 UNK RASA4 GPR141 FAM20C LCTL SPNS1 TFAP4 GTF3C1 WWC1 KBTBD4 ZBTB40 FAM53C TBCC STAU1 PTPRD TMEM19 SYT16 CAMK2G GP2 AL136295.1 HS3ST1 OR2W3 GADD45G TRUB2 ZKSCAN5 VIPR1 PNPLA6 ARHGEF26 SERTAD3 OR5A2 YWHAB CASZ1 RGS19 CMC4 LSAMP DNAJC27 ASIC2 VGLL2 PDILT RAB27B GPRC5B DNAH14 C12orf42 HS3ST6 NRCAM SYT6 CHST14 BTN3A2 METTL27 SSR4 DCHS1 SWI5 BEST4 TAF1 RMDN2 BAHCC1 NCAN ZSCAN31 STK4 SLC6A7 MTMR9 RASGRF1 VSTM2L ANKRD63 DNAJA3 DOC2A LIX1L ZDHHC21 SPTBN1 NDE1 KNSTRN AGAP1 ZNF202 CPNE4 PPP2R2C NSUN3 JMJD8 CASQ2 THAP7 KLC1 HIST1H4E VPS33B DOCK4 AATK KAT14 CSPG5 PPP3CA SNX19 ERI2 DVL1P1 CCDC34 METTL2B TUB HHLA2 CDPF1 SDC3 LGR5 MTIF3 CCDC40 SPCS1 NDST1 USP34 VPS18 MRPL2 DNAJC17 CPNE6 DAPK3 HYOU1 ZFPM2 KDM8 SULT1A4 SP3 HNF4G EMILIN2 MACF1 DYNLL2 UTRN SYT14 PRPH SMARCC1 CLCN2 EPS8L1 GPR61 ARPP21 AVL9 KIF1C CRKL AKT3 NRXN1 PKIA ZFAND2B POLR2J4 GDPD4 SNX8 ZNF106 ARHGAP11B CHST10 MRGPRD PLEKHA7 CDHR4 HNRNPCL2 MYF5 AXIN1 FCHO2 VSX1 THAP2 THY1 JAM3 UHRF1 ATXN7L3 GMIP TSR2 BCL11B ADD3 FEZ2 GPR148 TGFBRAP1 LGALS4 PLEKHG5 ARHGEF18 DUSP6 SEPHS2 DCP1B PRLHR EFEMP2 TAF10 OR2A7 DENND1A LMTK2 CAPN1 ABR SH3BP4 SOX6 C2CD5 CACNB1 FFAR4 KLHDC3 GGNBP1 IPO7 SNN DPH1 TOX3 HS3ST2 NDST4 SPG7 SNRPC MMP16 SYTL5 PBLD SNAPC3 TSPAN5 LYL1 POLR3A RSRC2 GTF3C2 THAP3 ZBTB18 TRIM66 GNAO1 MSI2	0.35358255451713394	0.17757009345794392
C898	STX4 LSAMP SPOCK1 SGCB STXBP5 TRP-AGG2-6 GPRC5B CORIN LGI3 STXBP6 FAM177A1	0.36363636363636365	0.18181818181818182
C904	BCL11B PKIB PKIA LMO1 NR2F1 LDB2 ZFPM2 GATA3 AKNA LYL1	0.3	0.2
C906	PROM2 SPINT1 TNIK PKP3 SSH3 FEZ2 CORIN WWC1 CAPN1	0.3333333333333333	0.1111111111111111
C911	ZNF629 ZKSCAN5 LINGO1 ZNF202 ZKSCAN2 ZNF263 ZNF768	0.5714285714285714	0.14285714285714285
C913	ZDHHC21 AC007192.1 RFT1 INPP4B AKT3 TSPAN5 CMC4	0.5714285714285714	0.14285714285714285
C914	AXIN1 HHAT MACF1 SKIL PLEC DVL1P1 SKIDA1	0.42857142857142855	0.14285714285714285
C915	AC002310.5 DDAH1 AL136295.1 COLQ ZBTB40 RIT2 NKAIN2	0.2857142857142857	0.14285714285714285
C924	ST3GAL2 CCL14 NEK5 GXYLT1 C12orf49 CANX	0.16666666666666666	0.0
C925	DDIT4L SPNS1 CDPF1 SNN YWHAB NR2C2AP	0.3333333333333333	0.16666666666666666
