ID	Pop.total	Pop.term	Study.total	Study.term	Pop.family	Study.family	nparents	is.trivial	p	p.adjusted	p.min	name
MP:0003631	18820	3626	49	49	11228	49	1	false	7.09925441098246E-25	7.09925441098246E-25	0.0	"nervous system phenotype"
MP:0003633	18820	2130	49	49	3626	49	1	false	3.788806777014177E-12	3.788806777014177E-12	0.0	"abnormal nervous system physiology"
MP:0005386	18820	4314	49	35	11228	49	1	false	2.7377297962909704E-6	2.7377297962909704E-6	0.0	"behavior/neurological phenotype"
MP:0002164	18820	633	49	14	2470	19	1	false	1.4440804402063962E-5	1.4440804402063962E-5	0.0	"abnormal gland physiology"
MP:0003953	18820	982	49	15	4821	26	1	false	3.098645791581461E-5	3.098645791581461E-5	0.0	"abnormal hormone level"
MP:0010832	18820	2139	49	18	4677	20	1	false	4.5354978384440054E-5	4.5354978384440054E-5	0.0	"lethality during fetal growth through weaning"
MP:0002078	18820	1475	49	17	4821	26	1	false	2.571199079246436E-4	2.571199079246436E-4	0.0	"abnormal glucose homeostasis"
MP:0002557	18820	373	49	10	4314	35	1	false	5.292555553663094E-4	5.292555553663094E-4	0.0	"abnormal social/conspecific interaction"
MP:0003962	18820	31	49	4	1055	15	3	false	6.660125275765517E-4	6.660125275765517E-4	2.4405414066989903E-60	"abnormal adrenaline level"
MP:0011479	18820	143	49	5	4821	26	1	false	8.51327449828433E-4	8.51327449828433E-4	6.623882616008569E-279	"abnormal catecholamine level"
MP:0003564	18820	160	49	7	1484	17	3	false	0.001136306928585057	0.001136306928585057	1.2811105636888107E-219	"abnormal insulin secretion"
MP:0009165	18820	202	49	7	1087	11	2	false	0.0011681739946134678	0.0011681739946134678	7.105031699218972E-226	"abnormal endocrine pancreas morphology"
MP:0002332	18820	81	49	4	809	6	1	false	0.0012016017852752498	0.0012016017852752498	1.0458089096165124E-113	"abnormal exercise endurance"
MP:0009210	18820	1	49	1	627	1	1	false	0.0015948963317384353	0.0015948963317384353	0.0015948963317384353	"absent internal female genitalia"
MP:0005377	18820	792	49	10	11228	49	1	false	0.00190198143443835	0.00190198143443835	0.0	"hearing/vestibular/ear phenotype"
MP:0005660	18820	21	49	3	873	12	2	false	0.0023003129922483817	0.0023003129922483817	1.1280847160330025E-42	"abnormal circulating adrenaline level"
MP:0001326	18820	125	49	3	900	3	1	false	0.002623966413228692	0.002623966413228692	8.311571115371884E-157	"retinal degeneration"
MP:0013570	18820	30	49	4	2343	49	2	false	0.0031025082759991956	0.0031025082759991956	2.5790681619163547E-69	"abnormal neuroendocrine gland physiology"
MP:0002899	18820	78	49	4	4314	35	1	false	0.0033844697082705036	0.0033844697082705036	6.878619812140584E-169	"fatigue"
MP:0001544	18820	1762	49	13	3084	14	1	false	0.004473148491397216	0.004473148491397216	0.0	"abnormal cardiovascular system physiology"
MP:0001636	18820	68	49	3	403	3	1	false	0.004628626943806287	0.004628626943806287	6.893623274643478E-79	"irregular heartbeat"
MP:0000951	18820	30	49	3	361	5	1	false	0.004647770611544296	0.004647770611544296	1.724368441868198E-44	"sporadic seizures"
MP:0010104	18820	1	49	1	423	2	1	false	0.004728132387707538	0.004728132387707538	0.0023640661938533615	"enlarged thoracic cage"
MP:0030493	18820	19	49	2	266	2	1	false	0.004851752021563113	0.004851752021563113	1.9871928362414512E-29	"abnormal tooth root morphology"
MP:0001072	18820	22	49	2	306	2	1	false	0.0049501767920278545	0.0049501767920278545	5.020013475897083E-34	"abnormal vestibulocochlear nerve morphology"
MP:0009206	18820	1	49	1	997	5	1	false	0.005015045135403962	0.005015045135403962	0.001003009027081545	"absent internal male genitalia"
