ID	Pop.total	Pop.term	Study.total	Study.term	Pop.family	Study.family	nparents	is.trivial	p	p.adjusted	p.min	name
MP:0003631	11228	3626	132	67	11228	132	1	false	7.502055913271226E-6	0.021005756557159434	0.0	"nervous system phenotype"
MP:0010832	11228	2139	132	35	4677	47	1	false	5.544483101767649E-5	0.0776227634247471	0.0	"lethality during fetal growth through weaning"
MP:0002332	11228	81	132	6	809	10	1	false	1.277664155091777E-4	0.11924865447523253	1.0458089096165124E-113	"abnormal exercise endurance"
MP:0002899	11228	78	132	7	4314	68	1	false	1.924887863821555E-4	0.13474215046750887	6.878619812140584E-169	"fatigue"
MP:0001326	11228	125	132	7	900	12	1	false	3.690978900215433E-4	0.20669481841206427	8.311571115371884E-157	"retinal degeneration"
MP:0005253	11228	547	132	14	2258	25	1	false	6.06643538503968E-4	0.263419140125789	0.0	"abnormal eye physiology"
MP:0009165	11228	202	132	10	1087	19	2	false	7.728865734276169E-4	0.263419140125789	7.105031699218972E-226	"abnormal endocrine pancreas morphology"
MP:0003633	11228	2130	132	52	3626	67	1	false	8.441052744740656E-4	0.263419140125789	0.0	"abnormal nervous system physiology"
MP:0000348	11228	17	132	3	809	10	1	false	8.467043789757503E-4	0.263419140125789	1.5468700550529872E-35	"abnormal aerobic fitness"
MP:0002882	11228	1518	132	33	2836	43	1	false	0.0013622122656221855	0.35138450436671664	0.0	"abnormal neuron morphology"
MP:0005386	11228	4314	132	68	11228	132	1	false	0.0014300985871873626	0.35138450436671664	0.0	"behavior/neurological phenotype"
MP:0003953	11228	982	132	23	4821	62	1	false	0.001645065904484174	0.35138450436671664	0.0	"abnormal hormone level"
MP:0004869	11228	4	132	2	82	2	2	false	0.0018066847335139774	0.35138450436671664	5.717356751626479E-7	"frontal bone hypoplasia"
MP:0012339	11228	4	132	2	79	2	1	false	0.0019474196689385967	0.35138450436671664	6.655569613597296E-7	"hyperkalemia"
MP:0001544	11228	1762	132	32	3084	40	1	false	0.001979089787704641	0.35138450436671664	0.0	"abnormal cardiovascular system physiology"
MP:0005551	11228	207	132	11	547	14	1	false	0.0020645960013552225	0.35138450436671664	7.650006779940569E-157	"abnormal eye electrophysiology"
MP:0008518	11228	48	132	5	219	6	1	false	0.002133405919369351	0.35138450436671664	1.484020950253227E-49	"retinal outer nuclear layer degeneration"
MP:0002078	11228	1475	132	30	4821	62	1	false	0.0023465579811971895	0.3650201304084517	0.0	"abnormal glucose homeostasis"
MP:0012688	11228	5	132	2	712	13	1	false	0.002987111782068445	0.4402059468311392	6.651105092790529E-13	"abnormal heart ventricles weight"
MP:0004476	11228	6	132	2	97	2	2	false	0.0032216494845360446	0.44952165236190095	1.0119691992844192E-9	"absent palatine bone"
MP:0008804	11228	122	132	6	929	13	1	false	0.0035707324453590206	0.44952165236190095	3.222885383427498E-156	"abnormal circulating amylase level"
MP:0003962	11228	31	132	4	1055	23	3	false	0.0036603852787292644	0.44952165236190095	2.4405414066989903E-60	"abnormal adrenaline level"
MP:0002164	11228	633	132	16	2470	33	1	false	0.0036924992872584723	0.44952165236190095	0.0	"abnormal gland physiology"
MP:0013570	11228	30	132	4	2343	53	2	false	0.004137663448170459	0.4779481040578618	2.5790681619163547E-69	"abnormal neuroendocrine gland physiology"
MP:0031132	11228	1	132	1	460	2	1	false	0.004347826086957027	0.4779481040578618	0.0021739130434781386	"increased artery tortuosity"
MP:0004510	11228	23	132	3	1779	27	2	false	0.004512629445530791	0.4779481040578618	5.253790322291672E-53	"myositis"
MP:0011101	11228	405	132	7	2568	15	1	false	0.004688896504747987	0.4779481040578618	0.0	"prenatal lethality, incomplete penetrance"
MP:0009210	11228	1	132	1	627	3	1	false	0.004784688995214478	0.4779481040578618	0.0015948963317384353	"absent internal female genitalia"
MP:0001072	11228	22	132	2	306	2	1	false	0.0049501767920278545	0.4779481040578618	5.020013475897083E-34	"abnormal vestibulocochlear nerve morphology"
MP:0012719	11228	10	132	2	5264	64	1	false	0.0061498820203743625	0.5739889885682739	2.240366582316502E-31	"abnormal neck morphology"
MP:0009389	11228	175	132	6	527	7	1	false	0.006393826878082711	0.5775069438268255	8.988718474814516E-145	"abnormal extracutaneous pigmentation"
MP:0010870	11228	5	132	2	128	4	1	false	0.0071489501312335295	0.6073704084473055	3.7797694643006805E-9	"absent bone trabeculae"
MP:0009410	11228	10	132	2	1964	27	2	false	0.007654567717324578	0.6073704084473055	4.348255154518915E-27	"abnormal skeletal muscle satellite cell proliferation"
MP:0005660	11228	21	132	3	873	18	2	false	0.007769346247414769	0.6073704084473055	1.1280847160330025E-42	"abnormal circulating adrenaline level"
MP:0009206	11228	1	132	1	997	8	1	false	0.008024072216656509	0.6073704084473055	0.001003009027081545	"absent internal male genitalia"
MP:0001944	11228	326	132	10	2293	31	1	false	0.008119194145754396	0.6073704084473055	0.0	"abnormal pancreas morphology"
MP:0020136	11228	56	132	4	329	6	1	false	0.008744628753442073	0.6073704084473055	1.1138273574294612E-64	"abnormal interventricular septum thickness"
MP:0000951	11228	30	132	3	361	6	1	false	0.008771685785632578	0.6073704084473055	1.724368441868198E-44	"sporadic seizures"
MP:0010254	11228	20	132	2	352	3	1	false	0.008910533910535354	0.6073704084473055	4.944750741024723E-33	"nuclear cataract"
MP:0005291	11228	645	132	20	1475	30	1	false	0.008949172604897821	0.6073704084473055	0.0	"abnormal glucose tolerance"
MP:0005388	11228	1375	132	26	11228	132	1	false	0.009178062740086174	0.6073704084473055	0.0	"respiratory system phenotype"
MP:0008772	11228	194	132	8	712	13	1	false	0.009295545157032674	0.6073704084473055	2.3158848225887194E-180	"increased heart ventricle size"
MP:0011457	11228	7	132	2	115	3	2	false	0.009327474129726477	0.6073704084473055	2.2823866411146612E-11	"abnormal metanephric ureteric bud development"
MP:0004215	11228	138	132	7	1762	32	1	false	0.009899468663979557	0.62996618770779	1.9239727879292374E-209	"abnormal myocardial fiber physiology"
MP:0030785	11228	1	132	1	1217	13	3	false	0.010682004930160314	0.6306877349981328	8.216926869350647E-4	"abnormal falciform ligament morphology"
MP:0002855	11228	90	132	4	276	4	2	false	0.010801385222202416	0.6306877349981328	4.086067301441882E-75	"abnormal cochlear ganglion morphology"
MP:0009417	11228	53	132	5	128	5	2	false	0.010846747735161822	0.6306877349981328	2.750273551257957E-37	"skeletal muscle atrophy"
MP:0003564	11228	160	132	8	1484	30	3	false	0.011245610643538411	0.6306877349981328	1.2811105636888107E-219	"abnormal insulin secretion"
