ID	Pop.total	Pop.term	Study.total	Study.term	Pop.family	Study.family	is.trivial	p	p.adjusted	p.min
MP:0004022	11228	93	132	8	0	0	false	1.2989895564128306E-5	1.2989895564128306E-5	0.0
MP:0002899	11228	78	132	7	0	0	false	3.4933474813099414E-5	3.4933474813099414E-5	0.0
MP:0005291	11228	645	132	20	0	0	false	6.117930385819199E-5	6.117930385819199E-5	0.0
MP:0005661	11228	10	132	3	0	0	false	1.7943320908925234E-4	1.7943320908925234E-4	0.0
MP:0008518	11228	48	132	5	0	0	false	2.3761199247847222E-4	2.3761199247847222E-4	0.0
MP:0005646	11228	27	132	4	0	0	false	2.596859863806761E-4	2.596859863806761E-4	0.0
MP:0002332	11228	81	132	6	0	0	false	3.715559163585448E-4	3.715559163585448E-4	0.0
MP:0009417	11228	53	132	5	0	0	false	3.7996406194101996E-4	3.7996406194101996E-4	0.0
MP:0013570	11228	30	132	4	0	0	false	3.9459551477575764E-4	3.9459551477575764E-4	0.0
MP:0002909	11228	31	132	4	0	0	false	4.489552360303384E-4	4.489552360303384E-4	0.0
MP:0003968	11228	55	132	5	0	0	false	4.5205130772277654E-4	4.5205130772277654E-4	0.0
MP:0003564	11228	160	132	8	0	0	false	5.897499924663841E-4	5.897499924663841E-4	0.0
MP:0014195	11228	163	132	8	0	0	false	6.666790498557824E-4	6.666790498557824E-4	0.0
MP:0001326	11228	125	132	7	0	0	false	6.680820456632026E-4	6.680820456632026E-4	0.0
MP:0003730	11228	62	132	5	0	0	false	7.875105293466071E-4	7.875105293466071E-4	0.0
MP:0004869	11228	4	132	2	0	0	false	8.104042986510133E-4	8.104042986510133E-4	0.0
MP:0012339	11228	4	132	2	0	0	false	8.104042986510133E-4	8.104042986510133E-4	0.0
MP:0004564	11228	63	132	5	0	0	false	8.474311247742163E-4	8.474311247742163E-4	0.0
MP:0000348	11228	17	132	3	0	0	false	9.573047119585721E-4	9.573047119585721E-4	0.0
MP:0009399	11228	38	132	4	0	0	false	9.883896824768462E-4	9.883896824768462E-4	0.0
MP:0009176	11228	18	132	3	0	0	false	0.001138935943961391	0.001138935943961391	0.0
MP:0005333	11228	221	132	9	0	0	false	0.0011780316669003177	0.0011780316669003177	0.0
MP:0002841	11228	41	132	4	0	0	false	0.0013196527320286668	0.0013196527320286668	0.0
MP:0004420	11228	5	132	2	0	0	false	0.0013402653076581166	0.0013402653076581166	0.0
MP:0030761	11228	5	132	2	0	0	false	0.0013402653076581166	0.0013402653076581166	0.0
MP:0010870	11228	5	132	2	0	0	false	0.0013402653076581166	0.0013402653076581166	0.0
MP:0012688	11228	5	132	2	0	0	false	0.0013402653076581166	0.0013402653076581166	0.0
MP:0008585	11228	20	132	3	0	0	false	0.0015640681726255012	0.0015640681726255012	0.0
MP:0004021	11228	109	132	6	0	0	false	0.0017746237165779746	0.0017746237165779746	0.0
MP:0005660	11228	21	132	3	0	0	false	0.0018091572150004743	0.0018091572150004743	0.0
MP:0002953	11228	75	132	5	0	0	false	0.0018601477836990947	0.0018601477836990947	0.0
MP:0004633	11228	6	132	2	0	0	false	0.0019949196083130913	0.0019949196083130913	0.0
MP:0004476	11228	6	132	2	0	0	false	0.0019949196083130913	0.0019949196083130913	0.0
MP:0009403	11228	46	132	4	0	0	false	0.0020324130628246364	0.0020324130628246364	0.0
MP:0020815	11228	22	132	3	0	0	false	0.002076927004734187	0.002076927004734187	0.0
MP:0002694	11228	173	132	8	0	0	false	0.0021723632933278243	0.0021723632933278243	0.0
MP:0011270	11228	23	132	3	0	0	false	0.0023680830423217746	0.0023680830423217746	0.0
MP:0009406	11228	23	132	3	0	0	false	0.0023680830423217746	0.0023680830423217746	0.0
MP:0004510	11228	23	132	3	0	0	false	0.0023680830423217746	0.0023680830423217746	0.0
MP:0010240	11228	80	132	5	0	0	false	0.0024729074085372113	0.0024729074085372113	0.0
MP:0008571	11228	24	132	3	0	0	false	0.0026832969913256773	0.0026832969913256773	0.0
