ID	Pop.total	Pop.term	Study.total	Study.term	marg	name
MP:0009409	18820	41	9	3	0.9653264952311176	"abnormal skeletal muscle fiber type ratio"
MP:0005598	18820	97	9	3	0.2720268081906206	"decreased ventricle muscle contractility"
MP:0002953	18820	75	9	4	0.1582797533466871	"thick ventricular wall"
MP:0003393	18820	36	9	2	0.13907055007198987	"decreased cardiac output"
MP:0011915	18820	2	9	1	0.13857769242621676	"increased heart left atrium weight"
MP:0010725	18820	27	9	1	0.13102054185769577	"thin interventricular septum"
MP:0002625	18820	66	9	3	0.13046748006885722	"heart left ventricle hypertrophy"
MP:0020206	18820	2	9	1	0.11875012117359303	"abnormal heart left atrium weight"
MP:0020135	18820	187	9	5	0.08563580166918537	"abnormal heart ventricle wall thickness"
MP:0012688	18820	5	9	1	0.07963171390991215	"abnormal heart ventricles weight"
MP:0008772	18820	194	9	5	0.07590619990428561	"increased heart ventricle size"
MP:0003929	18820	10	9	1	0.07520007673477218	"decreased heart rate variability"
MP:0004088	18820	22	9	2	0.06341741165042006	"abnormal sarcoplasmic reticulum morphology"
MP:0020136	18820	56	9	2	0.06099802142655247	"abnormal interventricular septum thickness"
MP:0003923	18820	18	9	1	0.05332046257190058	"abnormal heart left atrium morphology"
MP:0009732	18820	20	9	1	0.046907190721623186	"ventricular premature beat"
MP:0001627	18820	55	9	2	0.04238881876410078	"abnormal cardiac output"
MP:0020204	18820	35	9	1	0.04172555278117631	"abnormal heart left ventricle weight"
MP:0011170	18820	3	9	1	0.037841875348852395	"abnormal brown fat cell differentiation"
MP:0002754	18820	52	9	2	0.03737452793319177	"dilated heart right ventricle"
MP:0003833	18820	7	9	2	0.03669697622140431	"decreased satellite cell number"
MP:0030171	18820	2	9	1	0.035744934433606566	"absent extraocular muscles"
MP:0009410	18820	10	9	2	0.034950035663301696	"abnormal skeletal muscle satellite cell proliferation"
MP:0000731	18820	3	9	1	0.034561259756387505	"increased collagen deposition in the muscles"
MP:0000736	18820	5	9	1	0.03359799346734027	"delayed muscle development"
MP:0004846	18820	6	9	1	0.03310309500315817	"absent skeletal muscle"
MP:0008950	18820	22	9	1	0.03228064518433182	"ventricular tachycardia"
MP:0003818	18820	3	9	1	0.031757175262423734	"abnormal eye muscle development"
MP:0012249	18820	3	9	1	0.031669420070836805	"absent myotome"
MP:0010579	18820	118	9	4	0.03166227720640531	"increased heart left ventricle size"
MP:0000295	18820	49	9	1	0.03097248058416386	"trabecula carnea hypoplasia"
MP:0009401	18820	18	9	2	0.030600031224521658	"increased skeletal muscle fiber diameter"
MP:0012185	18820	6	9	1	0.030524520943388717	"abnormal muscle precursor cell morphology"
MP:0003090	18820	7	9	1	0.03007043884738658	"abnormal muscle precursor cell migration"
MP:0013929	18820	6	9	1	0.028578600590408766	"absent eye muscles"
MP:0006432	18820	8	9	1	0.02856023322472778	"abnormal costal cartilage morphology"
MP:0003915	18820	27	9	1	0.02661023123492983	"increased left ventricle weight"
MP:0009294	18820	10	9	1	0.02607145517495426	"increased interscapular fat pad weight"
MP:0020520	18820	5	9	1	0.0257694140504225	"whitened brown adipose tissue morphology"
MP:0009406	18820	23	9	3	0.0246418618794509	"decreased skeletal muscle fiber number"
MP:0009137	18820	7	9	1	0.023914310116642978	"decreased brown fat lipid droplet number"
MP:0012186	18820	9	9	1	0.022460227000231633	"abnormal muscle precursor cell physiology"
MP:0003939	18820	9	9	1	0.022273492115808282	"abnormal myotome morphology"
MP:0009124	18820	13	9	1	0.02227247170660378	"increased brown fat cell lipid droplet size"
MP:0010428	18820	58	9	1	0.021387776926302986	"abnormal heart right ventricle outflow tract morphology"
MP:0012106	18820	67	9	2	0.021340838102896022	"impaired exercise endurance"
MP:0011808	18820	12	9	1	0.02120818490631113	"abnormal myoblast differentiation"
MP:0005247	18820	7	9	1	0.02075614362871799	"abnormal extraocular muscle morphology"
MP:0011699	18820	13	9	1	0.020382673859871286	"abnormal brown adipose tissue thermogenesis"
MP:0009134	18820	9	9	1	0.019654101687858864	"abnormal brown fat lipid droplet number"
MP:0005608	18820	59	9	3	0.019337774834464118	"cardiac interstitial fibrosis"
MP:0004623	18820	13	9	1	0.01912144808311029	"thoracic vertebral fusion"
MP:0001038	18820	15	9	1	0.018632672074155178	"abnormal cholinergic neuron morphology"
MP:0011629	18820	19	9	1	0.018069406193271624	"decreased mitochondrial number"
MP:0003794	18820	14	9	1	0.01726022169410377	"delayed somite formation"
MP:0008725	18820	42	9	1	0.016594914892770297	"enlarged heart atrium"
MP:0010239	18820	25	9	2	0.016462261696185403	"decreased skeletal muscle weight"
MP:0004215	18820	138	9	3	0.01573675075178648	"abnormal myocardial fiber physiology"
