ID	Pop.total	Pop.term	Study.total	Study.term	Pop.family	Study.family	nparents	is.trivial	p	p.adjusted	p.min	name
MP:0005369	18820	1468	9	8	11228	8	1	false	8.397979186994884E-8	8.397979186994884E-8	0.0	"muscle phenotype"
MP:0003141	18820	169	9	4	1823	5	1	false	3.315557456162384E-4	3.315557456162384E-4	1.1184218214155472E-243	"cardiac fibrosis"
MP:0009410	18820	10	9	2	1964	7	2	false	4.836027441013184E-4	4.836027441013184E-4	4.348255154518915E-27	"abnormal skeletal muscle satellite cell proliferation"
MP:0010545	18820	431	9	5	1823	5	1	false	7.25647306943601E-4	7.25647306943601E-4	0.0	"abnormal heart layer morphology"
MP:0003105	18820	234	9	4	1823	5	1	false	0.0011929175569165868	0.0011929175569165868	1.3252884173018012E-302	"abnormal heart atrium morphology"
MP:0020135	18820	187	9	5	712	5	1	false	0.0012009025193922623	0.0012009025193922623	2.6382823636273996E-177	"abnormal heart ventricle wall thickness"
MP:0008772	18820	194	9	5	712	5	1	false	0.0014459717222604974	0.0014459717222604974	2.3158848225887194E-180	"increased heart ventricle size"
MP:0002899	18820	78	9	2	4314	4	1	false	0.0018915475837746583	0.0018915475837746583	6.878619812140584E-169	"fatigue"
MP:0003833	18820	7	9	2	454	5	1	false	0.0019973046273310544	0.0019973046273310544	1.328081221822222E-15	"decreased satellite cell number"
MP:0020279	18820	55	9	2	999	2	1	false	0.002978930834640619	0.002978930834640619	6.098492010115754E-92	"abnormal creatine kinase level"
MP:0004510	18820	23	9	2	1779	7	2	false	0.003229284935691541	0.003229284935691541	5.253790322291672E-53	"myositis"
MP:0010089	18820	54	9	2	930	2	2	false	0.003312615021357399	0.003312615021357399	5.580689633497788E-89	"abnormal circulating creatine kinase level"
MP:0012320	18820	66	9	2	2652	4	2	false	0.0035443712268399836	0.0035443712268399836	1.362127121679181E-133	"abnormal body fat mass"
MP:0004215	18820	138	9	3	1762	5	1	false	0.004182762425722564	0.004182762425722564	1.9239727879292374E-209	"abnormal myocardial fiber physiology"
MP:0010106	18820	2	9	1	929	2	1	false	0.004303385175013616	0.004303385175013616	2.3198841913820033E-6	"abnormal circulating pyruvate kinase level"
MP:0009406	18820	23	9	3	209	4	1	false	0.004379413807109811	0.004379413807109811	3.933743889046212E-31	"decreased skeletal muscle fiber number"
MP:0001627	18820	55	9	2	759	2	1	false	0.005162326488469452	0.005162326488469452	3.6407471147966124E-85	"abnormal cardiac output"
MP:0006190	18820	3	9	1	547	1	1	false	0.005484460694698084	0.005484460694698084	3.686165066841025E-8	"retinal ischemia"
MP:0010630	18820	488	9	5	2751	8	2	false	0.006025908763612264	0.006025908763612264	0.0	"abnormal cardiac muscle tissue morphology"
MP:0009409	18820	41	9	3	454	5	1	false	0.0060394464410045605	0.0060394464410045605	2.477261384885295E-59	"abnormal skeletal muscle fiber type ratio"
