ID	Pop.total	Pop.term	Study.total	Study.term	p	p.adjusted	p.min	name
MP:0002108	11228	1049	8	8	5.665627164705639E-9	3.558013859435141E-6	0.0	"abnormal muscle morphology"
MP:0004087	11228	413	8	6	6.285765949147341E-8	1.0547861858865575E-5	0.0	"abnormal muscle fiber morphology"
MP:0020135	11228	187	8	5	6.533359729701068E-8	1.0547861858865575E-5	0.0	"abnormal heart ventricle wall thickness"
MP:0008772	11228	194	8	5	7.85420923377905E-8	1.0547861858865575E-5	0.0	"increased heart ventricle size"
MP:0005369	11228	1468	8	8	8.397979186994884E-8	1.0547861858865575E-5	0.0	"muscle phenotype"
MP:0002953	11228	75	8	4	1.2596713128968567E-7	1.3184559741653767E-5	5.364206515391508E-195	"thick ventricular wall"
MP:0002106	11228	942	8	7	2.1259823531514384E-7	1.9073098825415762E-5	0.0	"abnormal muscle physiology"
MP:0009400	11228	91	8	4	2.757238653797056E-7	2.164432343230689E-5	5.155593204999662E-229	"decreased skeletal muscle fiber size"
MP:0009406	11228	23	8	3	4.1769867088200655E-7	2.9146085034877792E-5	1.8421781120176026E-71	"decreased skeletal muscle fiber number"
MP:0000738	11228	306	8	5	7.620347853639804E-7	4.48480840082641E-5	0.0	"impaired muscle contractility"
MP:0010579	11228	118	8	4	7.855556116097215E-7	4.48480840082641E-5	1.006754337218346E-283	"increased heart left ventricle size"
MP:0003921	11228	334	8	5	1.1763352788324063E-6	6.156154625889593E-5	0.0	"abnormal heart left ventricle morphology"
MP:0009398	11228	138	8	4	1.4720740094152021E-6	7.111249830098054E-5	1.83E-322	"abnormal skeletal muscle fiber size"
MP:0010578	11228	143	8	4	1.6974788639182213E-6	7.614405189576021E-5	0.0	"abnormal heart left ventricle size"
MP:0009399	11228	38	8	3	1.979709880684636E-6	8.28838536713301E-5	6.827334742770717E-110	"increased skeletal muscle fiber size"
MP:0009409	11228	41	8	3	2.4991140819230424E-6	9.809022771547941E-5	3.1173519263334E-117	"abnormal skeletal muscle fiber type ratio"
MP:0003141	11228	169	8	4	3.308285589479007E-6	1.1579992138073976E-4	0.0	"cardiac fibrosis"
MP:0005620	11228	412	8	5	3.3191060268364905E-6	1.1579992138073976E-4	0.0	"abnormal muscle contractility"
MP:0009403	11228	46	8	3	3.5528237925787785E-6	1.1729577928763852E-4	2.9291841592371706E-129	"increased variability of skeletal muscle fiber size"
MP:0005329	11228	422	8	5	3.7355343722177877E-6	1.1729577928763852E-4	0.0	"abnormal myocardium layer morphology"
MP:0010545	11228	431	8	5	4.144728588062865E-6	1.2394712158588E-4	0.0	"abnormal heart layer morphology"
MP:0000759	11228	454	8	5	5.353127653115317E-6	1.493529388889374E-4	0.0	"abnormal skeletal muscle morphology"
MP:0009417	11228	53	8	3	5.469932475231784E-6	1.493529388889374E-4	1.0429910973370596E-145	"skeletal muscle atrophy"
MP:0000278	11228	203	8	4	6.861157378819833E-6	1.7914906191141607E-4	0.0	"abnormal myocardial fiber morphology"
MP:0005608	11228	59	8	3	7.575556244975351E-6	1.7914906191141607E-4	1.739713722398456E-159	"cardiac interstitial fibrosis"
MP:0010630	11228	488	8	5	7.633049388202439E-6	1.7914906191141607E-4	0.0	"abnormal cardiac muscle tissue morphology"
MP:0003084	11228	209	8	4	7.70226858536343E-6	1.7914906191141607E-4	0.0	"abnormal skeletal muscle fiber morphology"
MP:0004564	11228	63	8	3	9.241440206717771E-6	2.016642608713474E-4	1.5990692708431093E-168	"enlarged myocardial fiber"
MP:0003833	11228	7	8	2	9.312521600746934E-6	2.016642608713474E-4	2.2445337339601405E-25	"decreased satellite cell number"
MP:0002625	11228	66	8	3	1.0638446497324999E-5	2.2269814667733666E-4	3.1553320136399003E-175	"heart left ventricle hypertrophy"
MP:0005140	11228	231	8	4	1.1453025046150065E-5	2.320161202897497E-4	0.0	"decreased cardiac muscle contractility"
