"ID1","ID2","Phenotype 1","Phenotype 2","h2","h2 SE","h2 intercept","h2 intercept SE","rpheno","rg","rg SE","Z","p","rg intercept","rg intercept SE"
"100001","21001","<a href='https://ukbb-rg.hail.is/rg_summary_100001.html'>Food weight</a>","<a href='https://ukbb-rg.hail.is/rg_summary_21001.html'>Body mass index (BMI)</a>","0.2476","0.00806","1.068","0.01932",0.0155233641752424,0.07431,0.04062,1.829,0.06734,-0.003187,0.006943
"100002","21001","<a href='https://ukbb-rg.hail.is/rg_summary_100002.html'>Energy</a>","<a href='https://ukbb-rg.hail.is/rg_summary_21001.html'>Body mass index (BMI)</a>","0.2476","0.00806","1.068","0.01932",-0.0095023113274027,-0.281,0.0553,-5.082,3.74e-07,-0.01322,0.006719
"100010","21001","<a href='https://ukbb-rg.hail.is/rg_summary_100010.html'>Portion size</a>","<a href='https://ukbb-rg.hail.is/rg_summary_21001.html'>Body mass index (BMI)</a>","0.2476","0.00806","1.068","0.01932",0.223201985594095,0.4664,0.0488,9.559,1.193e-21,0.06905,0.006988
"100011","21001","<a href='https://ukbb-rg.hail.is/rg_summary_100011.html'>Iron</a>","<a href='https://ukbb-rg.hail.is/rg_summary_21001.html'>Body mass index (BMI)</a>","0.2476","0.00806","1.068","0.01932",-0.0652370525517057,-0.2875,0.05426,-5.298,1.171e-07,-0.04417,0.006135
"100016","21001","<a href='https://ukbb-rg.hail.is/rg_summary_100016.html'>Potassium</a>","<a href='https://ukbb-rg.hail.is/rg_summary_21001.html'>Body mass index (BMI)</a>","0.2476","0.00806","1.068","0.01932",-0.0435945745326964,-0.141,0.05063,-2.784,0.005369,-0.03073,0.00725
"100017","21001","<a href='https://ukbb-rg.hail.is/rg_summary_100017.html'>Magnesium</a>","<a href='https://ukbb-rg.hail.is/rg_summary_21001.html'>Body mass index (BMI)</a>","0.2476","0.00806","1.068","0.01932",-0.0771153845631889,-0.2649,0.05161,-5.132,2.86e-07,-0.04492,0.006997
"1011","21001","<a href='https://ukbb-rg.hail.is/rg_summary_1011.html'>Frequency of light DIY in last 4 weeks</a>","<a href='https://ukbb-rg.hail.is/rg_summary_21001.html'>Body mass index (BMI)</a>","0.2476","0.00806","1.068","0.01932",-0.041694687937443,-0.09203,0.03977,-2.314,0.02067,-0.02686,0.007796
"102","21001","<a href='https://ukbb-rg.hail.is/rg_summary_102.html'>Pulse rate, automated reading</a>","<a href='https://ukbb-rg.hail.is/rg_summary_21001.html'>Body mass index (BMI)</a>","0.2476","0.00806","1.068","0.01932",0.151724518454664,0.1338,0.01828,7.322,2.452e-13,0.1571,0.008671
"1021","21001","<a href='https://ukbb-rg.hail.is/rg_summary_1021.html'>Duration of light DIY</a>","<a href='https://ukbb-rg.hail.is/rg_summary_21001.html'>Body mass index (BMI)</a>","0.2476","0.00806","1.068","0.01932",-0.0106690583825092,0.1645,0.02988,5.506,3.676e-08,-0.01175,0.007225
"1031","21001","<a href='https://ukbb-rg.hail.is/rg_summary_1031.html'>Frequency of friend/family visits</a>","<a href='https://ukbb-rg.hail.is/rg_summary_21001.html'>Body mass index (BMI)</a>","0.2476","0.00806","1.068","0.01932",-0.0482369704377566,-0.2099,0.0235,-8.929,4.295e-19,-0.06362,0.00771
"1050","21001","<a href='https://ukbb-rg.hail.is/rg_summary_1050.html'>Time spend outdoors in summer</a>","<a href='https://ukbb-rg.hail.is/rg_summary_21001.html'>Body mass index (BMI)</a>","0.2476","0.00806","1.068","0.01932",0.033707133398774,0.2897,0.02045,14.17,1.443e-45,0.03549,0.007919
"1060","21001","<a href='https://ukbb-rg.hail.is/rg_summary_1060.html'>Time spent outdoors in winter</a>","<a href='https://ukbb-rg.hail.is/rg_summary_21001.html'>Body mass index (BMI)</a>","0.2476","0.00806","1.068","0.01932",-0.00373362219777439,0.1766,0.02491,7.091,1.335e-12,0.01038,0.007624
"1070","21001","<a href='https://ukbb-rg.hail.is/rg_summary_1070.html'>Time spent watching television (TV)</a>","<a href='https://ukbb-rg.hail.is/rg_summary_21001.html'>Body mass index (BMI)</a>","0.2476","0.00806","1.068","0.01932",0.181086512479633,0.4383,0.01769,24.77,1.706e-135,0.2007,0.009061
"1080","21001","<a href='https://ukbb-rg.hail.is/rg_summary_1080.html'>Time spent using computer</a>","<a href='https://ukbb-rg.hail.is/rg_summary_21001.html'>Body mass index (BMI)</a>","0.2476","0.00806","1.068","0.01932",0.0460067777154267,-0.02037,0.01852,-1.1,0.2714,0.02761,0.007553
"1090","21001","<a href='https://ukbb-rg.hail.is/rg_summary_1090.html'>Time spent driving</a>","<a href='https://ukbb-rg.hail.is/rg_summary_21001.html'>Body mass index (BMI)</a>","0.2476","0.00806","1.068","0.01932",0.0658786726341561,0.21,0.02778,7.558,4.091e-14,0.05096,0.007625
"1100","21001","<a href='https://ukbb-rg.hail.is/rg_summary_1100.html'>Drive faster than motorway speed limit</a>","<a href='https://ukbb-rg.hail.is/rg_summary_21001.html'>Body mass index (BMI)</a>","0.2476","0.00806","1.068","0.01932",0.02183911942162,-0.0088,0.02594,-0.3393,0.7344,-0.00168,0.008736
"110001","21001","<a href='https://ukbb-rg.hail.is/rg_summary_110001.html'>Invitation to complete online 24-hour recall dietary questionnaire, acceptance</a>","<a href='https://ukbb-rg.hail.is/rg_summary_21001.html'>Body mass index (BMI)</a>","0.2476","0.00806","1.068","0.01932",-0.0638021290646656,-0.2714,0.03087,-8.79,1.498e-18,-0.04431,0.006627
"1110","21001","<a href='https://ukbb-rg.hail.is/rg_summary_1110.html'>Length of mobile phone use</a>","<a href='https://ukbb-rg.hail.is/rg_summary_21001.html'>Body mass index (BMI)</a>","0.2476","0.00806","1.068","0.01932",0.0786632640164397,0.2451,0.02298,10.67,1.451e-26,0.07154,0.00785
"1120","21001","<a href='https://ukbb-rg.hail.is/rg_summary_1120.html'>Weekly usage of mobile phone in last 3 months</a>","<a href='https://ukbb-rg.hail.is/rg_summary_21001.html'>Body mass index (BMI)</a>","0.2476","0.00806","1.068","0.01932",0.0849956286004835,0.3092,0.02353,13.14,1.932e-39,0.07877,0.008841
"1130","21001","<a href='https://ukbb-rg.hail.is/rg_summary_1130.html'>Hands-free device/speakerphone use with mobile phone in last 3 month</a>","<a href='https://ukbb-rg.hail.is/rg_summary_21001.html'>Body mass index (BMI)</a>","0.2476","0.00806","1.068","0.01932",0.0658139861874833,0.2762,0.0304,9.086,1.031e-19,0.06475,0.008352
"1140","21001","<a href='https://ukbb-rg.hail.is/rg_summary_1140.html'>Difference in mobile phone use compared to two years previously</a>","<a href='https://ukbb-rg.hail.is/rg_summary_21001.html'>Body mass index (BMI)</a>","0.2476","0.00806","1.068","0.01932",-0.0184492646710173,-0.1761,0.0386,-4.561,5.089e-06,-0.009949,0.006457
"1150_1","21001","<a href='https://ukbb-rg.hail.is/rg_summary_1150_1.html'>Usual side of head for mobile phone use: Left</a>","<a href='https://ukbb-rg.hail.is/rg_summary_21001.html'>Body mass index (BMI)</a>","0.2476","0.00806","1.068","0.01932",-0.00463313936280766,0.002063,0.04422,0.04665,0.9628,-0.006762,0.008647
"1150_2","21001","<a href='https://ukbb-rg.hail.is/rg_summary_1150_2.html'>Usual side of head for mobile phone use: Right</a>","<a href='https://ukbb-rg.hail.is/rg_summary_21001.html'>Body mass index (BMI)</a>","0.2476","0.00806","1.068","0.01932",-0.0144878212127605,-0.07005,0.04587,-1.527,0.1267,-0.01723,0.008902
"1150_3","21001","<a href='https://ukbb-rg.hail.is/rg_summary_1150_3.html'>Usual side of head for mobile phone use: Equally left and right</a>","<a href='https://ukbb-rg.hail.is/rg_summary_21001.html'>Body mass index (BMI)</a>","0.2476","0.00806","1.068","0.01932",0.0378331664493523,0.1832,0.03756,4.878,1.069e-06,0.04825,0.007183
"1160","21001","<a href='https://ukbb-rg.hail.is/rg_summary_1160.html'>Sleep duration</a>","<a href='https://ukbb-rg.hail.is/rg_summary_21001.html'>Body mass index (BMI)</a>","0.2476","0.00806","1.068","0.01932",-0.0320767355198455,-0.139,0.025,-5.562,2.661e-08,-0.03667,0.008191
"1170","21001","<a href='https://ukbb-rg.hail.is/rg_summary_1170.html'>Getting up in morning</a>","<a href='https://ukbb-rg.hail.is/rg_summary_21001.html'>Body mass index (BMI)</a>","0.2476","0.00806","1.068","0.01932",-0.0197639224482287,0.06365,0.02014,3.161,0.001575,-0.01248,0.008319
"1180","21001","<a href='https://ukbb-rg.hail.is/rg_summary_1180.html'>Morning/evening person (chronotype)</a>","<a href='https://ukbb-rg.hail.is/rg_summary_21001.html'>Body mass index (BMI)</a>","0.2476","0.00806","1.068","0.01932",0.0194760396530889,-0.0483,0.01996,-2.42,0.01552,0.01392,0.008409
"1190","21001","<a href='https://ukbb-rg.hail.is/rg_summary_1190.html'>Nap during day</a>","<a href='https://ukbb-rg.hail.is/rg_summary_21001.html'>Body mass index (BMI)</a>","0.2476","0.00806","1.068","0.01932",0.104422471283353,0.1667,0.01934,8.621,6.629e-18,0.1267,0.007151
"1200","21001","<a href='https://ukbb-rg.hail.is/rg_summary_1200.html'>Sleeplessness / insomnia</a>","<a href='https://ukbb-rg.hail.is/rg_summary_21001.html'>Body mass index (BMI)</a>","0.2476","0.00806","1.068","0.01932",0.0553235007971839,0.2004,0.02682,7.471,7.936e-14,0.06789,0.008734
"1210","21001","<a href='https://ukbb-rg.hail.is/rg_summary_1210.html'>Snoring</a>","<a href='https://ukbb-rg.hail.is/rg_summary_21001.html'>Body mass index (BMI)</a>","0.2476","0.00806","1.068","0.01932",-0.197321856738156,-0.4084,0.02094,-19.51,9.339e-85,-0.1893,0.007791
"1220","21001","<a href='https://ukbb-rg.hail.is/rg_summary_1220.html'>Daytime dozing / sleeping (narcolepsy)</a>","<a href='https://ukbb-rg.hail.is/rg_summary_21001.html'>Body mass index (BMI)</a>","0.2476","0.00806","1.068","0.01932",0.0684814951563068,0.1525,0.02173,7.02,2.221e-12,0.07127,0.008407
"1239","21001","<a href='https://ukbb-rg.hail.is/rg_summary_1239.html'>Current tobacco smoking</a>","<a href='https://ukbb-rg.hail.is/rg_summary_21001.html'>Body mass index (BMI)</a>","0.2476","0.00806","1.068","0.01932",-0.0376487614264819,0.3541,0.02064,17.15,5.863e-66,-0.02461,0.007983
"1249","21001","<a href='https://ukbb-rg.hail.is/rg_summary_1249.html'>Past tobacco smoking</a>","<a href='https://ukbb-rg.hail.is/rg_summary_21001.html'>Body mass index (BMI)</a>","0.2476","0.00806","1.068","0.01932",-0.0746058182459655,-0.1827,0.02062,-8.858,8.183e-19,-0.07257,0.008848
"1259","21001","<a href='https://ukbb-rg.hail.is/rg_summary_1259.html'>Smoking/smokers in household</a>","<a href='https://ukbb-rg.hail.is/rg_summary_21001.html'>Body mass index (BMI)</a>","0.2476","0.00806","1.068","0.01932",0.0537324077444671,0.3225,0.03871,8.33,8.069e-17,0.05171,0.006492
"1269","21001","<a href='https://ukbb-rg.hail.is/rg_summary_1269.html'>Exposure to tobacco smoke at home</a>","<a href='https://ukbb-rg.hail.is/rg_summary_21001.html'>Body mass index (BMI)</a>","0.2476","0.00806","1.068","0.01932",0.0656860339070569,0.3934,0.04126,9.536,1.479e-21,0.07093,0.006477
"1279","21001","<a href='https://ukbb-rg.hail.is/rg_summary_1279.html'>Exposure to tobacco smoke outside home</a>","<a href='https://ukbb-rg.hail.is/rg_summary_21001.html'>Body mass index (BMI)</a>","0.2476","0.00806","1.068","0.01932",0.090426630355637,0.4195,0.02529,16.59,8.295e-62,0.08542,0.007437
"1289","21001","<a href='https://ukbb-rg.hail.is/rg_summary_1289.html'>Cooked vegetable intake</a>","<a href='https://ukbb-rg.hail.is/rg_summary_21001.html'>Body mass index (BMI)</a>","0.2476","0.00806","1.068","0.01932",0.0257323196873395,0.2141,0.02381,8.993,2.407e-19,0.02307,0.007825
"129","21001","<a href='https://ukbb-rg.hail.is/rg_summary_129.html'>Place of birth in UK - north co-ordinate</a>","<a href='https://ukbb-rg.hail.is/rg_summary_21001.html'>Body mass index (BMI)</a>","0.2476","0.00806","1.068","0.01932",0.0376067195989448,0.3099,0.03673,8.436,3.28e-17,0.06563,0.008863
"1299","21001","<a href='https://ukbb-rg.hail.is/rg_summary_1299.html'>Salad / raw vegetable intake</a>","<a href='https://ukbb-rg.hail.is/rg_summary_21001.html'>Body mass index (BMI)</a>","0.2476","0.00806","1.068","0.01932",-0.00670220313473012,0.02733,0.02363,1.156,0.2475,-0.01133,0.00742
"1309","21001","<a href='https://ukbb-rg.hail.is/rg_summary_1309.html'>Fresh fruit intake</a>","<a href='https://ukbb-rg.hail.is/rg_summary_21001.html'>Body mass index (BMI)</a>","0.2476","0.00806","1.068","0.01932",-0.00111057953310287,0.02592,0.02458,1.054,0.2917,-0.01487,0.009158
