"ID1","ID2","Phenotype 1","Phenotype 2","h2","h2 SE","h2 intercept","h2 intercept SE","rpheno","rg","rg SE","Z","p","rg intercept","rg intercept SE"
"100001","50","<a href='https://ukbb-rg.hail.is/rg_summary_100001.html'>Food weight</a>","<a href='https://ukbb-rg.hail.is/rg_summary_50.html'>Standing height</a>","0.4686","0.02376","1.261","0.06679",0.0890465403169721,0.2635,0.04435,5.942,2.815e-09,0.0412,0.009305
"100002","50","<a href='https://ukbb-rg.hail.is/rg_summary_100002.html'>Energy</a>","<a href='https://ukbb-rg.hail.is/rg_summary_50.html'>Standing height</a>","0.4686","0.02376","1.261","0.06679",0.102686635420042,0.4295,0.05894,7.288,3.151e-13,0.0498,0.008089
"100010","50","<a href='https://ukbb-rg.hail.is/rg_summary_100010.html'>Portion size</a>","<a href='https://ukbb-rg.hail.is/rg_summary_50.html'>Standing height</a>","0.4686","0.02376","1.261","0.06679",0.162243590528207,0.5091,0.04748,10.72,7.984e-27,0.06876,0.01021
"100011","50","<a href='https://ukbb-rg.hail.is/rg_summary_100011.html'>Iron</a>","<a href='https://ukbb-rg.hail.is/rg_summary_50.html'>Standing height</a>","0.4686","0.02376","1.261","0.06679",0.100143623203686,0.3641,0.05796,6.281,3.371e-10,0.05384,0.00868
"100016","50","<a href='https://ukbb-rg.hail.is/rg_summary_100016.html'>Potassium</a>","<a href='https://ukbb-rg.hail.is/rg_summary_50.html'>Standing height</a>","0.4686","0.02376","1.261","0.06679",0.0890806143864209,0.3147,0.0503,6.256,3.949e-10,0.04366,0.009225
"100017","50","<a href='https://ukbb-rg.hail.is/rg_summary_100017.html'>Magnesium</a>","<a href='https://ukbb-rg.hail.is/rg_summary_50.html'>Standing height</a>","0.4686","0.02376","1.261","0.06679",0.105861361920313,0.3659,0.04737,7.725,1.119e-14,0.05476,0.00901
"1011","50","<a href='https://ukbb-rg.hail.is/rg_summary_1011.html'>Frequency of light DIY in last 4 weeks</a>","<a href='https://ukbb-rg.hail.is/rg_summary_50.html'>Standing height</a>","0.4686","0.02376","1.261","0.06679",0.0109581681798764,-0.0499,0.03496,-1.427,0.1535,0.03225,0.008608
"102","50","<a href='https://ukbb-rg.hail.is/rg_summary_102.html'>Pulse rate, automated reading</a>","<a href='https://ukbb-rg.hail.is/rg_summary_50.html'>Standing height</a>","0.4686","0.02376","1.261","0.06679",-0.0409499087680532,-0.07573,0.01742,-4.346,1.384e-05,-0.05669,0.01183
"1021","50","<a href='https://ukbb-rg.hail.is/rg_summary_1021.html'>Duration of light DIY</a>","<a href='https://ukbb-rg.hail.is/rg_summary_50.html'>Standing height</a>","0.4686","0.02376","1.261","0.06679",-0.0144096892030854,-0.1753,0.02742,-6.395,1.609e-10,0.009699,0.007654
"1031","50","<a href='https://ukbb-rg.hail.is/rg_summary_1031.html'>Frequency of friend/family visits</a>","<a href='https://ukbb-rg.hail.is/rg_summary_50.html'>Standing height</a>","0.4686","0.02376","1.261","0.06679",0.0134012051805546,0.07688,0.02534,3.034,0.002417,0.02264,0.00951
