phenotype	description	h2_liability	h2_liability_se	h2_observed	h2_observed_se	h2_z	h2_p	h2_sig	confidence	notes	intercept	intercept_se	intercept_z	intercept_p	lambdaGC	mean_chi2	ratio	ratio_se	n	Neff	variable_type	isBinary	n_cases	n_controls	prevalence	source	sex	isNotPrimary	isBadPower	isLowNeff	isMidNeff	isExtremeSE	isHighSE	isSexBias	isBadOrdinal	isNumericOrdinal
100001_irnt	Food weight	0.068817519	0.016856595	0.068817519	0.016856595	4.082527833	2.23E-05	z4	high		1.006373667	0.009771321	0.65228302	0.257109306	1.071596562	1.075875778	0.08400134	0.12878051	51453	51453	continuous_irnt	FALSE	NA	NA	NA	phesant	both_sexes	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
100002_irnt	Energy	0.064782993	0.015784373	0.064782993	0.015784373	4.10424867	2.03E-05	z4	high		0.995842538	0.00913005	-0.455360244	0.675574954	1.041483087	1.049976721	-0.083187964	0.182686051	51453	51453	continuous_irnt	FALSE	NA	NA	NA	phesant	both_sexes	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
100003_irnt	Protein	0.034543124	0.014619	0.034543124	0.014619	2.362892385	0.009066467	nominal	high		1.003569908	0.009025353	0.395542251	0.346221373	1.030797874	1.034635649	0.10307035	0.260579873	51453	51453	continuous_irnt	FALSE	NA	NA	NA	phesant	both_sexes	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
100004_irnt	Fat	0.055196569	0.018265293	0.055196569	0.018265293	3.021937218	0.001255813	nominal	high		0.993242025	0.009610331	-0.703199014	0.759034133	1.03013564	1.037236946	-0.181485763	0.258085919	51453	51453	continuous_irnt	FALSE	NA	NA	NA	phesant	both_sexes	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
100005_irnt	Carbohydrate	0.051744099	0.015357251	0.051744099	0.015357251	3.369359479	0.000376715	nominal	high		1.005805656	0.008497074	0.68325352	0.24722333	1.045633111	1.049503137	0.11727854	0.171647181	51453	51453	continuous_irnt	FALSE	NA	NA	NA	phesant	both_sexes	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
100006_irnt	Saturated fat	0.040058987	0.019709526	0.040058987	0.019709526	2.032468255	0.021053137	nominal	high		1.001262368	0.00994812	0.126895172	0.449511684	1.036465646	1.038378027	0.032892997	0.259213936	51453	51453	continuous_irnt	FALSE	NA	NA	NA	phesant	both_sexes	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
100007_irnt	Polyunsaturated fat	0.044978934	0.015061445	0.044978934	0.015061445	2.986362545	0.001411589	nominal	high		0.989530618	0.008825897	-1.186211623	0.882230631	1.017713273	1.020307492	-0.515542844	0.434612875	51453	51453	continuous_irnt	FALSE	NA	NA	NA	phesant	both_sexes	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
100008_irnt	Total sugars	0.056651035	0.015215827	0.056651035	0.015215827	3.723164938	9.84E-05	nominal	high		1.005634979	0.009040647	0.623293806	0.266545734	1.058010689	1.062039681	0.090828627	0.145723616	51453	51453	continuous_irnt	FALSE	NA	NA	NA	phesant	both_sexes	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
100009_irnt	Englyst dietary fibre	0.059694875	0.01580236	0.059694875	0.01580236	3.77759243	7.92E-05	nominal	high		1.002857291	0.008748724	0.326595154	0.371987054	1.052284231	1.055143163	0.051815868	0.158654737	51453	51453	continuous_irnt	FALSE	NA	NA	NA	phesant	both_sexes	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
100010	Portion size	0.068989617	0.015184101	0.068989617	0.015184101	4.543542965	2.77E-06	z4	high		1.000147554	0.00882374	0.016722402	0.493329038	1.069080934	1.070847175	0.00208271	0.124546103	51427	51427	ordinal	FALSE	NA	NA	NA	phesant	both_sexes	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
