annotation	community
Conserved BMI Network (root)	C877
C898	C898
C904	C904
C906	C906
C911	C911
C913	C913
C914	C914
C915	C915
C924	C924
C925	C925
C926	C926
C930	C930
C931	C931
C933	C933
C935	C935
C937	C937
Nervous System Development	C878
Chromosome Organization	C880
Demethylation 1	C882
Regulation of Cell Differentiation	C885
GPCR Signaling & Sensory Perception	C887
Protein Transport & Localization	C888
Protein Phosphorylation	C889
C890	C890
C892	C892
C895	C895
Glycosaminoglycan Biosynthetic Process	C883
Synaptic Signaling	C879
C932	C932
C901	C901
C902	C902
Muscle System & Calcium Signaling	C907
C909	C909
Exocytosis	C884
C893	C893
GPCR Signalling & Response Regulation	C894
C896	C896
C929	C929
C899	C899
C934	C934
C903	C903
mRNA Metabolic Process	C881
C916	C916
C919	C919
C921	C921
Protein Targeting to ER	C920
Mitochondrial Translation	C905
C922	C922
C910	C910
C923	C923
Demethylation 2	C886
Proteoglycan Biosynthetic Process	C912
C897	C897
Neurotransmitter Secretion & Exocytosis	C891
C908	C908
Demethylation 3	C900
C928	C928
Activation of MAPK Activity	C917
C918	C918
C927	C927
C936	C936
