description	name	p_value	precision	recall	query_size	effective_domain_size	intersection_size	native	source	term_size	intersections	community
"""The chemical reactions and pathways resulting in the formation of glycosaminoglycans, any of a group of polysaccharides that contain amino sugars."" [ISBN:0192800981]"	glycosaminoglycan biosynthetic process	1.8515196217994888e-11	0.043327556325823226	0.2336448598130841	577	18123	25	GO:0006024	GO:BP	107	['CHST3', 'GPC2', 'CHST13', 'NDST2', 'CSPG4', 'CHST9', 'HS3ST3B1', 'NDST3', 'HS3ST3A1', 'GPC6', 'GPC5', 'SDC1', 'CHST1', 'ST3GAL2', 'CHST7', 'GPC1', 'HS3ST1', 'HS3ST6', 'CHST14', 'NCAN', 'CSPG5', 'SDC3', 'NDST1', 'HS3ST2', 'NDST4']	C877
"""The chemical reactions and pathways resulting in the formation of aminoglycans, any polymer containing amino groups that consists of more than about 10 monosaccharide residues joined to each other by glycosidic linkages."" [GOC:ai, ISBN:0198506732]"	aminoglycan biosynthetic process	4.488268054569475e-11	0.043327556325823226	0.21929824561403508	577	18123	25	GO:0006023	GO:BP	114	['CHST3', 'GPC2', 'CHST13', 'NDST2', 'CSPG4', 'CHST9', 'HS3ST3B1', 'NDST3', 'HS3ST3A1', 'GPC6', 'GPC5', 'SDC1', 'CHST1', 'ST3GAL2', 'CHST7', 'GPC1', 'HS3ST1', 'HS3ST6', 'CHST14', 'NCAN', 'CSPG5', 'SDC3', 'NDST1', 'HS3ST2', 'NDST4']	C877
"""The chemical reactions and pathways resulting in the formation of proteoglycans, any glycoprotein in which the carbohydrate units are glycosaminoglycans."" [GOC:mah, ISBN:0198506732]"	proteoglycan biosynthetic process	1.8327133190179773e-08	0.029462738301559793	0.265625	577	18123	17	GO:0030166	GO:BP	64	['CHST3', 'CHST13', 'NDST2', 'CSPG4', 'CHST9', 'HS3ST3B1', 'NDST3', 'HS6ST3', 'GAL3ST4', 'CHST8', 'CHST7', 'CHST14', 'NCAN', 'CSPG5', 'NDST1', 'CHST10', 'NDST4']	C877
"""The chemical reactions and pathways involving proteoglycans, any glycoprotein in which the carbohydrate units are glycosaminoglycans."" [GOC:mah, ISBN:0198506732]"	proteoglycan metabolic process	5.342865053320373e-08	0.03292894280762565	0.2111111111111111	577	18123	19	GO:0006029	GO:BP	90	['CHST3', 'CHST13', 'NDST2', 'HS3ST4', 'CSPG4', 'CHST9', 'HS3ST3B1', 'NDST3', 'HS6ST3', 'GAL3ST4', 'CHST8', 'CHST7', 'GPC1', 'CHST14', 'NCAN', 'CSPG5', 'NDST1', 'CHST10', 'NDST4']	C877
"""The chemical reactions and pathways involving glycosaminoglycans, any one of a group of polysaccharides that contain amino sugars. Formerly known as mucopolysaccharides, they include hyaluronic acid and chondroitin, which provide lubrication in joints and form part of the matrix of cartilage. The three-dimensional structure of these molecules enables them to trap water, which forms a gel and gives glycosaminoglycans their elastic properties."" [ISBN:0192800981]"	glycosaminoglycan metabolic process	5.342865053320373e-08	0.043327556325823226	0.15723270440251572	577	18123	25	GO:0030203	GO:BP	159	['CHST3', 'GPC2', 'CHST13', 'NDST2', 'CSPG4', 'CHST9', 'HS3ST3B1', 'NDST3', 'HS3ST3A1', 'GPC6', 'GPC5', 'SDC1', 'CHST1', 'ST3GAL2', 'CHST7', 'GPC1', 'HS3ST1', 'HS3ST6', 'CHST14', 'NCAN', 'CSPG5', 'SDC3', 'NDST1', 'HS3ST2', 'NDST4']	C877
"""Any process that modulates the frequency, rate or extent of exocytosis."" [GOC:go_curators]"	regulation of exocytosis	1.1157738030365959e-07	0.04852686308492201	0.1346153846153846	577	18123	28	GO:0017157	GO:BP	208	['SYT12', 'CASK', 'GNAI2', 'SYT17', 'RIMS4', 'NLGN1', 'VPS4A', 'UNC13D', 'CADPS', 'STX4', 'SYT2', 'SYT1', 'LGI3', 'SYT7', 'SYT4', 'SYT9', 'LAMP1', 'RAP1A', 'SDC1', 'STXBP6', 'STXBP5', 'SYTL4', 'RIMS2', 'RAB27B', 'SYT6', 'DOC2A', 'CSPG5', 'VPS18']	C877
"""The chemical reactions and pathways involving aminoglycans, any polymer containing amino groups that consists of more than about 10 monosaccharide residues joined to each other by glycosidic linkages."" [GOC:ai, ISBN:0198506732]"	aminoglycan metabolic process	2.0756534224284574e-07	0.043327556325823226	0.14450867052023122	577	18123	25	GO:0006022	GO:BP	173	['CHST3', 'GPC2', 'CHST13', 'NDST2', 'CSPG4', 'CHST9', 'HS3ST3B1', 'NDST3', 'HS3ST3A1', 'GPC6', 'GPC5', 'SDC1', 'CHST1', 'ST3GAL2', 'CHST7', 'GPC1', 'HS3ST1', 'HS3ST6', 'CHST14', 'NCAN', 'CSPG5', 'SDC3', 'NDST1', 'HS3ST2', 'NDST4']	C877
"""The process whose specific outcome is the progression of nervous tissue over time, from its formation to its mature state."" [GOC:dgh]"	nervous system development	6.664617695256994e-07	0.22876949740034663	0.05314009661835749	577	18123	132	GO:0007399	GO:BP	2484	['EMX2', 'KDM6B', 'HMGCR', 'SYT17', 'SOX5', 'TIAM1', 'PRKD1', 'GATA3', 'GPC2', 'CENPF', 'RB1', 'NDUFS3', 'BAIAP2', 'PTK7', 'RNF103', 'SOX8', 'SPOCK1', 'PRPH2', 'GLIS2', 'EPHB2', 'SLC45A3', 'NLGN1', 'SOX3', 'DAG1', 'PIK3R1', 'LDB2', 'NR2F1', 'THOC6', 'SPTBN5', 'PCSK2', 'POU1F1', 'TRIO', 'PRKCA', 'STMN4', 'SLITRK6', 'ZSWIM6', 'MAP2K1', 'ABL1', 'TRPC4', 'SYT2', 'SYT1', 'WNK1', 'NIN', 'NES', 'XRCC5', 'CSPG4', 'PTPRK', 'MAPK1', 'HSP90AB1', 'MAPK6', 'LINGO1', 'EHMT2', 'BACE2', 'EIF2AK4', 'RIT2', 'TBCD', 'SKIL', 'SYT4', 'NAV1', 'SLC25A12', 'SPINT1', 'GBA', 'GPC6', 'CRB2', 'ELAVL4', 'COLQ', 'CLMN', 'BDNF', 'NUMBL', 'KIF13B', 'RAP1A', 'PPP2R3A', 'TTBK2', 'TYRO3', 'BCL2', 'CLSTN2', 'DMD', 'BBS2', 'MMP24', 'SLIT3', 'TULP1', 'TNIK', 'ILK', 'BAK1', 'CHST8', 'RASAL1', 'NME5', 'PTBP2', 'AKNA', 'GPC1', 'FSCN2', 'TPBG', 'KDM6A', 'RIMS2', 'UNK', 'PTPRD', 'CAMK2G', 'CASZ1', 'LSAMP', 'ASIC2', 'GPRC5B', 'NRCAM', 'DCHS1', 'TAF1', 'NCAN', 'STK4', 'RASGRF1', 'VSTM2L', 'DOC2A', 'SPTBN1', 'NDE1', 'AATK', 'CSPG5', 'PPP3CA', 'NDST1', 'CPNE6', 'DAPK3', 'MACF1', 'SMARCC1', 'CRKL', 'AKT3', 'NRXN1', 'ARHGAP11B', 'VSX1', 'THY1', 'JAM3', 'BCL11B', 'FEZ2', 'LMTK2', 'SOX6', 'SPG7', 'GNAO1']	C877
"""Any process that modulates the rate, frequency, or extent of vesicle-mediated transport, the directed movement of substances, either within a vesicle or in the vesicle membrane, into, out of or within a cell."" [GOC:dph, GOC:tb]"	regulation of vesicle-mediated transport	1.0939229967693657e-06	0.07972270363951472	0.08455882352941177	577	18123	46	GO:0060627	GO:BP	544	['SYT12', 'CASK', 'GNAI2', 'SYT17', 'PRKD1', 'RIMS4', 'NLGN1', 'PACSIN2', 'VPS4A', 'ANKRD13B', 'VPS11', 'UNC13D', 'CADPS', 'MAP2K1', 'STX4', 'ABL1', 'DOCK2', 'SYT2', 'SYT1', 'MAPK1', 'LGI3', 'SYT7', 'RIT2', 'SYT4', 'SYT9', 'LAMP1', 'RAB5B', 'RAP1A', 'SDC1', 'PROM2', 'STXBP6', 'CALY', 'INSR', 'TULP1', 'STXBP5', 'SYTL4', 'RIMS2', 'RAB27B', 'SYT6', 'DOC2A', 'CSPG5', 'PPP3CA', 'TUB', 'VPS18', 'NRXN1', 'C2CD5']	C877
"""The process in which the anatomical structures of a cell projection are generated and organized."" [GO_REF:0000021]"	cell projection morphogenesis	1.4893387103543722e-06	0.09185441941074524	0.07703488372093023	577	18123	53	GO:0048858	GO:BP	688	['SYT17', 'TIAM1', 'GATA3', 'BAIAP2', 'PTK7', 'EPHB2', 'NLGN1', 'PACSIN2', 'DAG1', 'PIK3R1', 'SPTBN5', 'TRIO', 'PRKCA', 'SLITRK6', 'ZSWIM6', 'MAP2K1', 'ABL1', 'SYT2', 'SYT1', 'NIN', 'NES', 'MAPK1', 'HSP90AB1', 'LINGO1', 'EIF2AK4', 'SKIL', 'SYT4', 'ELAVL4', 'BDNF', 'NUMBL', 'KIF13B', 'BCL2', 'DMD', 'SLIT3', 'TNIK', 'ILK', 'RASAL1', 'GPC1', 'TPBG', 'RIMS2', 'PTPRD', 'NRCAM', 'VSTM2L', 'SPTBN1', 'CSPG5', 'PPP3CA', 'CPNE6', 'MACF1', 'NRXN1', 'THY1', 'BCL11B', 'FEZ2', 'LMTK2']	C877
"""Any signal release from a synapse."" [GOC:dos]"	signal release from synapse	1.8013540263372126e-06	0.038128249566724434	0.14285714285714285	577	18123	22	GO:0099643	GO:BP	154	['SYT12', 'CASK', 'RIMS4', 'NLGN1', 'CADPS', 'STX4', 'SYT2', 'SYT1', 'UNC13B', 'LIN7C', 'SYT7', 'SYT4', 'SYT9', 'RPH3A', 'RAP1A', 'STXBP5', 'RIMS2', 'SYT6', 'DOC2A', 'CSPG5', 'VPS18', 'NRXN1']	C877
"""The regulated release of neurotransmitter from the presynapse into the synaptic cleft via calcium-regulated exocytosis during synaptic transmission."" [GOC:dph]"	neurotransmitter secretion	1.8013540263372126e-06	0.038128249566724434	0.14285714285714285	577	18123	22	GO:0007269	GO:BP	154	['SYT12', 'CASK', 'RIMS4', 'NLGN1', 'CADPS', 'STX4', 'SYT2', 'SYT1', 'UNC13B', 'LIN7C', 'SYT7', 'SYT4', 'SYT9', 'RPH3A', 'RAP1A', 'STXBP5', 'RIMS2', 'SYT6', 'DOC2A', 'CSPG5', 'VPS18', 'NRXN1']	C877
"""The process in which the anatomical structures of a cell part are generated and organized."" [GOC:mah]"	cell part morphogenesis	2.656479180233398e-06	0.09185441941074524	0.075177304964539	577	18123	53	GO:0032990	GO:BP	705	['SYT17', 'TIAM1', 'GATA3', 'BAIAP2', 'PTK7', 'EPHB2', 'NLGN1', 'PACSIN2', 'DAG1', 'PIK3R1', 'SPTBN5', 'TRIO', 'PRKCA', 'SLITRK6', 'ZSWIM6', 'MAP2K1', 'ABL1', 'SYT2', 'SYT1', 'NIN', 'NES', 'MAPK1', 'HSP90AB1', 'LINGO1', 'EIF2AK4', 'SKIL', 'SYT4', 'ELAVL4', 'BDNF', 'NUMBL', 'KIF13B', 'BCL2', 'DMD', 'SLIT3', 'TNIK', 'ILK', 'RASAL1', 'GPC1', 'TPBG', 'RIMS2', 'PTPRD', 'NRCAM', 'VSTM2L', 'SPTBN1', 'CSPG5', 'PPP3CA', 'CPNE6', 'MACF1', 'NRXN1', 'THY1', 'BCL11B', 'FEZ2', 'LMTK2']	C877
"""The process whose specific outcome is the progression of a neuron over time, from initial commitment of the cell to a specific fate, to the fully functional differentiated cell."" [GOC:dph]"	neuron development	2.709349529331895e-06	0.12824956672443674	0.0638481449525453	577	18123	74	GO:0048666	GO:BP	1159	['SYT17', 'TIAM1', 'PRKD1', 'GATA3', 'GPC2', 'RB1', 'BAIAP2', 'PTK7', 'SPOCK1', 'PRPH2', 'EPHB2', 'NLGN1', 'DAG1', 'PIK3R1', 'NR2F1', 'SPTBN5', 'TRIO', 'PRKCA', 'STMN4', 'SLITRK6', 'ZSWIM6', 'MAP2K1', 'ABL1', 'SYT2', 'SYT1', 'WNK1', 'NIN', 'PTPRK', 'MAPK1', 'HSP90AB1', 'MAPK6', 'LINGO1', 'EIF2AK4', 'RIT2', 'TBCD', 'SKIL', 'SYT4', 'CRB2', 'ELAVL4', 'CLMN', 'BDNF', 'NUMBL', 'KIF13B', 'RAP1A', 'BCL2', 'DMD', 'SLIT3', 'TULP1', 'TNIK', 'ILK', 'RASAL1', 'GPC1', 'FSCN2', 'TPBG', 'RIMS2', 'UNK', 'PTPRD', 'CAMK2G', 'NRCAM', 'RASGRF1', 'VSTM2L', 'SPTBN1', 'PPP3CA', 'CPNE6', 'MACF1', 'CRKL', 'NRXN1', 'VSX1', 'THY1', 'JAM3', 'BCL11B', 'FEZ2', 'LMTK2', 'GNAO1']	C877
"""Any process that modulates the frequency, rate or extent of regulated secretory pathway."" [GO_REF:0000058, GOC:pad, GOC:PARL, GOC:TermGenie, PMID:12526776]"	regulation of regulated secretory pathway	2.709349529331895e-06	0.036395147313691506	0.14482758620689656	577	18123	21	GO:1903305	GO:BP	145	['SYT12', 'CASK', 'GNAI2', 'SYT17', 'RIMS4', 'NLGN1', 'UNC13D', 'STX4', 'SYT2', 'SYT1', 'SYT7', 'SYT4', 'SYT9', 'LAMP1', 'RAP1A', 'STXBP5', 'RIMS2', 'SYT6', 'DOC2A', 'CSPG5', 'VPS18']	C877
