Tissues and P-Values	0.05	0.01	0.001	0.0001
Adipose Tissue	0.999 ( 0.999 )	0.929 ( 1.0 )	1.0 ( 1.0 )	1.0 ( 1.0 )
Adrenal Gland	0.107 ( 0.334 )	0.354 ( 0.885 )	0.35 ( 0.973 )	1.0 ( 1.0 )
Blood	0.912 ( 0.999 )	0.993 ( 1.0 )	0.974 ( 1.0 )	1.0 ( 1.0 )
Blood Vessel	0.134 ( 0.357 )	0.904 ( 1.0 )	1.0 ( 1.0 )	1.0 ( 1.0 )
Brain	1.247e-08 ( 3.117e-07 )	5.894e-08 ( 1.474e-06 )	2.416e-05 ( 0.000604 )	0.188 ( 0.94 )
Breast	0.779 ( 0.999 )	0.849 ( 1.0 )	1.0 ( 1.0 )	1.0 ( 1.0 )
Colon	0.043 ( 0.178 )	0.114 ( 0.355 )	0.002 ( 0.026 )	0.017 ( 0.423 )
Esophagus	0.985 ( 0.999 )	0.982 ( 1.0 )	1.0 ( 1.0 )	1.0 ( 1.0 )
Fallopian Tube	0.426 ( 0.76 )	0.65 ( 1.0 )	1.0 ( 1.0 )	1.0 ( 1.0 )
Heart	0.704 ( 0.999 )	0.987 ( 1.0 )	0.331 ( 0.973 )	1.0 ( 1.0 )
Kidney	0.866 ( 0.999 )	0.682 ( 1.0 )	1.0 ( 1.0 )	1.0 ( 1.0 )
Liver	0.991 ( 0.999 )	0.994 ( 1.0 )	0.986 ( 1.0 )	1.0 ( 1.0 )
Lung	0.951 ( 0.999 )	0.987 ( 1.0 )	0.83 ( 1.0 )	1.0 ( 1.0 )
Muscle	0.058 ( 0.206 )	0.024 ( 0.119 )	0.289 ( 0.973 )	0.352 ( 1.0 )
Nerve	0.0006537 ( 0.008 )	0.022 ( 0.119 )	0.058 ( 0.366 )	0.034 ( 0.425 )
Ovary	0.738 ( 0.999 )	0.084 ( 0.3 )	0.27 ( 0.973 )	1.0 ( 1.0 )
Pancreas	0.009 ( 0.067 )	0.676 ( 1.0 )	0.762 ( 1.0 )	1.0 ( 1.0 )
Pituitary	0.021 ( 0.104 )	0.007 ( 0.092 )	0.016 ( 0.137 )	0.106 ( 0.88 )
Prostate	0.149 ( 0.357 )	0.024 ( 0.119 )	0.143 ( 0.713 )	0.185 ( 0.94 )
Skin	0.391 ( 0.751 )	0.736 ( 1.0 )	0.922 ( 1.0 )	0.852 ( 1.0 )
Stomach	0.692 ( 0.999 )	0.929 ( 1.0 )	0.9 ( 1.0 )	0.504 ( 1.0 )
Testis	0.99 ( 0.999 )	1.0 ( 1.0 )	1.0 ( 1.0 )	1.0 ( 1.0 )
Thyroid	0.288 ( 0.6 )	0.318 ( 0.884 )	0.674 ( 1.0 )	0.246 ( 1.0 )
Uterus	0.011 ( 0.067 )	0.033 ( 0.138 )	0.504 ( 1.0 )	1.0 ( 1.0 )
Vagina	0.157 ( 0.357 )	0.999 ( 1.0 )	1.0 ( 1.0 )	1.0 ( 1.0 )
