Tissues and P-Values	0.05	0.01	0.001	0.0001
Adipose Tissue	0.953 ( 1.0 )	0.793 ( 1.0 )	1.0 ( 1.0 )	1.0 ( 1.0 )
Adrenal Gland	0.097 ( 0.303 )	0.26 ( 0.813 )	0.197 ( 0.76 )	1.0 ( 1.0 )
Blood	0.755 ( 1.0 )	0.987 ( 1.0 )	0.982 ( 1.0 )	1.0 ( 1.0 )
Blood Vessel	0.009 ( 0.053 )	0.867 ( 1.0 )	1.0 ( 1.0 )	1.0 ( 1.0 )
Brain	1.47e-07 ( 3.675e-06 )	3.417e-07 ( 8.543e-06 )	0.001 ( 0.027 )	0.184 ( 1.0 )
Breast	0.763 ( 1.0 )	0.857 ( 1.0 )	1.0 ( 1.0 )	1.0 ( 1.0 )
Colon	0.138 ( 0.314 )	0.368 ( 1.0 )	0.117 ( 0.76 )	0.306 ( 1.0 )
Esophagus	0.933 ( 1.0 )	0.916 ( 1.0 )	1.0 ( 1.0 )	1.0 ( 1.0 )
Fallopian Tube	0.377 ( 0.589 )	0.479 ( 1.0 )	1.0 ( 1.0 )	1.0 ( 1.0 )
Heart	0.313 ( 0.563 )	0.932 ( 1.0 )	0.213 ( 0.76 )	1.0 ( 1.0 )
Kidney	0.876 ( 1.0 )	0.672 ( 1.0 )	1.0 ( 1.0 )	1.0 ( 1.0 )
Liver	0.989 ( 1.0 )	0.999 ( 1.0 )	0.955 ( 1.0 )	1.0 ( 1.0 )
Lung	0.94 ( 1.0 )	0.962 ( 1.0 )	0.723 ( 1.0 )	1.0 ( 1.0 )
Muscle	0.031 ( 0.128 )	0.023 ( 0.143 )	0.594 ( 1.0 )	1.0 ( 1.0 )
Nerve	0.0002097 ( 0.003 )	0.073 ( 0.261 )	0.197 ( 0.76 )	0.413 ( 1.0 )
Ovary	0.315 ( 0.563 )	0.034 ( 0.17 )	0.169 ( 0.76 )	1.0 ( 1.0 )
Pancreas	0.138 ( 0.314 )	0.684 ( 1.0 )	0.647 ( 1.0 )	1.0 ( 1.0 )
Pituitary	0.029 ( 0.128 )	0.001 ( 0.018 )	0.004 ( 0.054 )	0.061 ( 1.0 )
Prostate	0.079 ( 0.282 )	0.041 ( 0.17 )	0.248 ( 0.776 )	0.112 ( 1.0 )
Skin	0.285 ( 0.563 )	0.625 ( 1.0 )	0.965 ( 1.0 )	0.916 ( 1.0 )
Stomach	0.718 ( 1.0 )	0.968 ( 1.0 )	0.813 ( 1.0 )	0.399 ( 1.0 )
Testis	1.0 ( 1.0 )	1.0 ( 1.0 )	1.0 ( 1.0 )	1.0 ( 1.0 )
Thyroid	0.353 ( 0.588 )	0.402 ( 1.0 )	0.502 ( 1.0 )	0.152 ( 1.0 )
Uterus	0.0004635 ( 0.004 )	0.004 ( 0.037 )	0.399 ( 1.0 )	1.0 ( 1.0 )
Vagina	0.138 ( 0.314 )	1.0 ( 1.0 )	1.0 ( 1.0 )	1.0 ( 1.0 )
