Tissue	-Log10PValue	#Samples	Tissue-Specific Genes	Fold-change
Cerebellum	5.92915868499236	2	46	2.35361546365271
E14.5-Brain	4.9411984255739	2	44	2.16377860416313
Cortex	4.47969020983289	2	45	2.02456802439392
Olfactory bulb	3.86192656090028	2	38	2.02364985295428
E14.5-Heart	1.0752990077744	2	15	1.76413063534043
E14.5-Limb	0.320124105060858	2	14	1.334509780463
Heart	0.0535771346750544	2	8	1.18442813342005
Bone Marrow	0.000341144782201927	2	7	0.702542408464898
Intestine	0.000341144782201927	2	13	0.662715741318361
Kidney	0.000341144782201927	2	9	0.595498930788448
E14.5-Liver	0.000341144782201927	2	6	0.897872939850683
Liver	0.000341144782201927	2	5	0.337792004070039
Lung	0.000341144782201927	2	8	0.776764496801056
E14.5-Placenta	0.000341144782201927	2	6	0.441810494212241
Spleen	0.000341144782201927	2	9	0.939399563318777
Testis	0.000341144782201927	2	28	0.655286192648873
Thymus	0.000341144782201927	2	7	1.06275506153235
