Tissues and P-Values	0.05	0.01	0.001	0.0001
Adipose Tissue	0.998 ( 0.998 )	0.989 ( 0.997 )	1.0 ( 1.0 )	1.0 ( 1.0 )
Adrenal Gland	0.837 ( 0.998 )	0.993 ( 0.997 )	0.805 ( 1.0 )	0.359 ( 1.0 )
Blood	0.794 ( 0.998 )	0.69 ( 0.997 )	0.651 ( 1.0 )	1.0 ( 1.0 )
Blood Vessel	0.669 ( 0.998 )	0.732 ( 0.997 )	1.0 ( 1.0 )	1.0 ( 1.0 )
Brain	0.151 ( 0.998 )	0.103 ( 0.997 )	0.044 ( 0.553 )	0.193 ( 1.0 )
Breast	0.988 ( 0.998 )	0.491 ( 0.997 )	0.792 ( 1.0 )	1.0 ( 1.0 )
Colon	0.642 ( 0.998 )	0.503 ( 0.997 )	0.779 ( 1.0 )	0.979 ( 1.0 )
Esophagus	0.936 ( 0.998 )	0.984 ( 0.997 )	1.0 ( 1.0 )	1.0 ( 1.0 )
Fallopian Tube	0.867 ( 0.998 )	0.825 ( 0.997 )	0.348 ( 1.0 )	1.0 ( 1.0 )
Heart	0.689 ( 0.998 )	0.237 ( 0.997 )	0.233 ( 1.0 )	0.486 ( 1.0 )
Kidney	0.677 ( 0.998 )	0.469 ( 0.997 )	0.012 ( 0.312 )	0.008 ( 0.191 )
Liver	0.959 ( 0.998 )	0.967 ( 0.997 )	0.851 ( 1.0 )	0.625 ( 1.0 )
Lung	0.995 ( 0.998 )	0.864 ( 0.997 )	0.45 ( 1.0 )	0.325 ( 1.0 )
Muscle	0.79 ( 0.998 )	0.672 ( 0.997 )	0.981 ( 1.0 )	1.0 ( 1.0 )
Nerve	0.8 ( 0.998 )	0.101 ( 0.997 )	0.347 ( 1.0 )	1.0 ( 1.0 )
Ovary	0.943 ( 0.998 )	0.762 ( 0.997 )	1.0 ( 1.0 )	1.0 ( 1.0 )
Pancreas	0.697 ( 0.998 )	0.789 ( 0.997 )	0.6 ( 1.0 )	1.0 ( 1.0 )
Pituitary	0.257 ( 0.998 )	0.736 ( 0.997 )	0.991 ( 1.0 )	1.0 ( 1.0 )
Prostate	0.445 ( 0.998 )	0.979 ( 0.997 )	0.851 ( 1.0 )	0.681 ( 1.0 )
Skin	0.681 ( 0.998 )	0.917 ( 0.997 )	0.998 ( 1.0 )	1.0 ( 1.0 )
Stomach	0.718 ( 0.998 )	0.992 ( 0.997 )	0.963 ( 1.0 )	1.0 ( 1.0 )
Testis	0.886 ( 0.998 )	0.997 ( 0.997 )	0.997 ( 1.0 )	1.0 ( 1.0 )
Thyroid	0.988 ( 0.998 )	0.513 ( 0.997 )	0.225 ( 1.0 )	0.749 ( 1.0 )
Uterus	0.962 ( 0.998 )	0.936 ( 0.997 )	1.0 ( 1.0 )	1.0 ( 1.0 )
Vagina	0.966 ( 0.998 )	0.978 ( 0.997 )	0.412 ( 1.0 )	0.533 ( 1.0 )
