Tissues and P-Values	0.05	0.01	0.001	0.0001
Adipose Tissue	0.969 ( 0.996 )	0.928 ( 1.0 )	1.0 ( 1.0 )	1.0 ( 1.0 )
Adrenal Gland	0.427 ( 0.996 )	0.962 ( 1.0 )	0.622 ( 1.0 )	0.22 ( 1.0 )
Blood	0.284 ( 0.996 )	0.351 ( 1.0 )	0.452 ( 1.0 )	1.0 ( 1.0 )
Blood Vessel	0.358 ( 0.996 )	0.796 ( 1.0 )	1.0 ( 1.0 )	1.0 ( 1.0 )
Brain	0.091 ( 0.996 )	0.249 ( 1.0 )	0.065 ( 0.922 )	0.447 ( 1.0 )
Breast	0.959 ( 0.996 )	0.318 ( 1.0 )	0.666 ( 1.0 )	1.0 ( 1.0 )
Colon	0.967 ( 0.996 )	0.954 ( 1.0 )	0.99 ( 1.0 )	1.0 ( 1.0 )
Esophagus	0.887 ( 0.996 )	0.945 ( 1.0 )	1.0 ( 1.0 )	1.0 ( 1.0 )
Fallopian Tube	0.69 ( 0.996 )	0.647 ( 1.0 )	0.258 ( 0.922 )	1.0 ( 1.0 )
Heart	0.259 ( 0.996 )	0.055 ( 0.926 )	0.112 ( 0.922 )	0.372 ( 1.0 )
Kidney	0.635 ( 0.996 )	0.676 ( 1.0 )	0.146 ( 0.922 )	0.034 ( 0.862 )
Liver	0.742 ( 0.996 )	0.886 ( 1.0 )	0.792 ( 1.0 )	0.434 ( 1.0 )
Lung	0.947 ( 0.996 )	0.774 ( 1.0 )	0.52 ( 1.0 )	0.196 ( 1.0 )
Muscle	0.891 ( 0.996 )	0.601 ( 1.0 )	1.0 ( 1.0 )	1.0 ( 1.0 )
Nerve	0.756 ( 0.996 )	0.074 ( 0.926 )	0.156 ( 0.922 )	1.0 ( 1.0 )
Ovary	0.918 ( 0.996 )	0.563 ( 1.0 )	1.0 ( 1.0 )	1.0 ( 1.0 )
Pancreas	0.414 ( 0.996 )	0.671 ( 1.0 )	0.76 ( 1.0 )	0.392 ( 1.0 )
Pituitary	0.555 ( 0.996 )	0.758 ( 1.0 )	0.983 ( 1.0 )	1.0 ( 1.0 )
Prostate	0.879 ( 0.996 )	0.951 ( 1.0 )	0.735 ( 1.0 )	0.549 ( 1.0 )
Skin	0.444 ( 0.996 )	0.812 ( 1.0 )	0.993 ( 1.0 )	1.0 ( 1.0 )
Stomach	0.443 ( 0.996 )	0.994 ( 1.0 )	1.0 ( 1.0 )	1.0 ( 1.0 )
Testis	0.996 ( 0.996 )	1.0 ( 1.0 )	1.0 ( 1.0 )	0.998 ( 1.0 )
Thyroid	0.885 ( 0.996 )	0.313 ( 1.0 )	0.195 ( 0.922 )	0.618 ( 1.0 )
Uterus	0.891 ( 0.996 )	0.753 ( 1.0 )	1.0 ( 1.0 )	1.0 ( 1.0 )
Vagina	0.91 ( 0.996 )	0.983 ( 1.0 )	0.223 ( 0.922 )	0.412 ( 1.0 )
