Tissues and P-Values	0.05	0.01	0.001	0.0001
Adipose Tissue	4.322e-05 ( 0.001 )	0.005 ( 0.122 )	0.085 ( 1.0 )	0.392 ( 1.0 )
Adrenal Gland	0.498 ( 0.711 )	0.962 ( 0.999 )	1.0 ( 1.0 )	1.0 ( 1.0 )
Blood	0.512 ( 0.711 )	0.349 ( 0.968 )	0.171 ( 1.0 )	1.0 ( 1.0 )
Blood Vessel	0.51 ( 0.711 )	0.901 ( 0.999 )	1.0 ( 1.0 )	1.0 ( 1.0 )
Brain	0.998 ( 1.0 )	0.999 ( 0.999 )	0.997 ( 1.0 )	0.954 ( 1.0 )
Breast	0.004 ( 0.03 )	0.846 ( 0.999 )	0.665 ( 1.0 )	0.431 ( 1.0 )
Colon	0.178 ( 0.444 )	0.165 ( 0.688 )	0.3 ( 1.0 )	0.124 ( 1.0 )
Esophagus	0.707 ( 0.842 )	0.764 ( 0.999 )	1.0 ( 1.0 )	1.0 ( 1.0 )
Fallopian Tube	0.328 ( 0.63 )	0.646 ( 0.999 )	0.258 ( 1.0 )	1.0 ( 1.0 )
Heart	0.2 ( 0.454 )	0.098 ( 0.492 )	1.0 ( 1.0 )	1.0 ( 1.0 )
Kidney	0.697 ( 0.842 )	0.861 ( 0.999 )	0.973 ( 1.0 )	1.0 ( 1.0 )
Liver	0.06 ( 0.215 )	0.325 ( 0.968 )	0.791 ( 1.0 )	0.775 ( 1.0 )
Lung	0.22 ( 0.458 )	0.773 ( 0.999 )	1.0 ( 1.0 )	1.0 ( 1.0 )
Muscle	0.173 ( 0.444 )	0.259 ( 0.925 )	0.936 ( 1.0 )	0.35 ( 1.0 )
Nerve	0.003 ( 0.03 )	0.073 ( 0.492 )	0.346 ( 1.0 )	0.518 ( 1.0 )
Ovary	0.785 ( 0.893 )	0.857 ( 0.999 )	1.0 ( 1.0 )	1.0 ( 1.0 )
Pancreas	0.137 ( 0.428 )	0.051 ( 0.492 )	0.164 ( 1.0 )	1.0 ( 1.0 )
Pituitary	1.0 ( 1.0 )	0.999 ( 0.999 )	0.706 ( 1.0 )	1.0 ( 1.0 )
Prostate	0.675 ( 0.842 )	0.749 ( 0.999 )	1.0 ( 1.0 )	1.0 ( 1.0 )
Skin	0.439 ( 0.711 )	0.877 ( 0.999 )	0.544 ( 1.0 )	0.426 ( 1.0 )
Stomach	0.044 ( 0.183 )	0.098 ( 0.492 )	0.391 ( 1.0 )	1.0 ( 1.0 )
Testis	0.884 ( 0.961 )	0.501 ( 0.999 )	0.447 ( 1.0 )	0.646 ( 1.0 )
Thyroid	0.491 ( 0.711 )	0.442 ( 0.999 )	1.0 ( 1.0 )	1.0 ( 1.0 )
Uterus	0.04 ( 0.183 )	0.577 ( 0.999 )	0.501 ( 1.0 )	1.0 ( 1.0 )
Vagina	0.016 ( 0.103 )	0.568 ( 0.999 )	0.222 ( 1.0 )	0.411 ( 1.0 )
