Tissues and P-Values	0.05	0.01	0.001	0.0001
Adipose Tissue	1.433e-05 ( 0.0003581 )	0.0008484 ( 0.021 )	0.038 ( 0.947 )	0.298 ( 1.0 )
Adrenal Gland	0.276 ( 0.46 )	0.673 ( 0.996 )	1.0 ( 1.0 )	1.0 ( 1.0 )
Blood	0.139 ( 0.267 )	0.385 ( 0.963 )	0.341 ( 1.0 )	1.0 ( 1.0 )
Blood Vessel	0.072 ( 0.199 )	0.7 ( 0.996 )	1.0 ( 1.0 )	1.0 ( 1.0 )
Brain	0.926 ( 1.0 )	0.986 ( 0.996 )	0.978 ( 1.0 )	0.943 ( 1.0 )
Breast	0.001 ( 0.014 )	0.647 ( 0.996 )	0.541 ( 1.0 )	0.331 ( 1.0 )
Colon	0.496 ( 0.69 )	0.463 ( 0.969 )	0.633 ( 1.0 )	0.567 ( 1.0 )
Esophagus	0.637 ( 0.839 )	0.907 ( 0.996 )	1.0 ( 1.0 )	1.0 ( 1.0 )
Fallopian Tube	0.117 ( 0.244 )	0.465 ( 0.969 )	0.191 ( 1.0 )	1.0 ( 1.0 )
Heart	0.047 ( 0.165 )	0.012 ( 0.145 )	1.0 ( 1.0 )	1.0 ( 1.0 )
Kidney	0.483 ( 0.69 )	0.77 ( 0.996 )	0.924 ( 1.0 )	1.0 ( 1.0 )
Liver	0.088 ( 0.206 )	0.273 ( 0.936 )	0.803 ( 1.0 )	0.655 ( 1.0 )
Lung	0.091 ( 0.206 )	0.897 ( 0.996 )	1.0 ( 1.0 )	1.0 ( 1.0 )
Muscle	0.051 ( 0.165 )	0.037 ( 0.311 )	0.86 ( 1.0 )	0.264 ( 1.0 )
Nerve	0.012 ( 0.098 )	0.119 ( 0.594 )	0.442 ( 1.0 )	1.0 ( 1.0 )
Ovary	0.878 ( 0.997 )	0.932 ( 0.996 )	1.0 ( 1.0 )	1.0 ( 1.0 )
Pancreas	0.053 ( 0.165 )	0.055 ( 0.347 )	0.638 ( 1.0 )	1.0 ( 1.0 )
Pituitary	1.0 ( 1.0 )	0.996 ( 0.996 )	0.612 ( 1.0 )	0.331 ( 1.0 )
Prostate	0.69 ( 0.863 )	0.654 ( 0.996 )	1.0 ( 1.0 )	1.0 ( 1.0 )
Skin	0.451 ( 0.69 )	0.887 ( 0.996 )	0.557 ( 1.0 )	0.691 ( 1.0 )
Stomach	0.033 ( 0.165 )	0.244 ( 0.936 )	0.804 ( 1.0 )	1.0 ( 1.0 )
Testis	0.979 ( 1.0 )	0.903 ( 0.996 )	0.783 ( 1.0 )	0.654 ( 1.0 )
Thyroid	0.743 ( 0.885 )	0.377 ( 0.963 )	1.0 ( 1.0 )	1.0 ( 1.0 )
Uterus	0.016 ( 0.098 )	0.3 ( 0.936 )	0.391 ( 1.0 )	1.0 ( 1.0 )
Vagina	0.217 ( 0.387 )	0.896 ( 0.996 )	0.693 ( 1.0 )	1.0 ( 1.0 )

