Tissue	-Log10PValue	#Samples	Tissue-Specific Genes	Fold-change
E14.5-Heart	1.77471526658797	2	19	2.23456547143121
Heart	1.53299979795283	2	15	2.22080275016259
E14.5-Placenta	0.975002352128741	2	22	1.61997181211155
Bone Marrow	0.732193826606836	2	16	1.60581121934834
Lung	0.491230602486061	2	15	1.45643343150198
Intestine	0.291765795766716	2	24	1.22347521474159
Kidney	0.264342804952551	2	18	1.1909978615769
E14.5-Limb	0.264342804952551	2	13	1.23918765328707
E14.5-Liver	0.175861433717834	2	8	1.19716391980091
Liver	0.155713246269913	2	16	1.08093441302412
Spleen	0.054664343764639	2	9	0.939399563318777
Testis	0.054664343764639	2	42	0.98292928897331
E14.5-Brain	0.00670249777725509	2	12	0.590121437499036
Cerebellum	0.00670249777725509	2	13	0.665152196249679
Cortex	0.00670249777725509	2	15	0.674856008131306
Olfactory bulb	0.00670249777725509	2	13	0.69230126548436
Thymus	0.00670249777725509	2	3	0.455466454942437
