	source	interaction	target
0	EMILIN2	interacts with	BACE2
1	BACE2	interacts with	HDLBP
2	BACE2	interacts with	MYO5C
3	BACE2	interacts with	PCSK2
4	BACE2	interacts with	DAG1
5	ABCF3	interacts with	EIF2AK4
6	ABCF3	interacts with	HSP90AB1
7	ABCF3	interacts with	MAP2K3
8	ABCF3	interacts with	PNPLA6
9	ABCF3	interacts with	IPO4
10	ABCF3	interacts with	TUBA4A
11	ABCF3	interacts with	BAK1
12	ABCF3	interacts with	TMEM214
13	ABCF3	interacts with	SPG7
14	ABCF3	interacts with	EHMT2
15	ABCF3	interacts with	ARFGEF2
16	ABCF3	interacts with	MRPL2
17	ABCF3	interacts with	RABEP2
18	ABCF3	interacts with	GTF3C1
19	ABCF3	interacts with	AARS2
20	ABCF3	interacts with	PSMC3
21	ABCF3	interacts with	HYOU1
22	ABCF3	interacts with	EPS8L1
23	ABCF3	interacts with	RAD51
24	ABCF3	interacts with	ABCB8
25	ABCF3	interacts with	AGPAT1
26	ABCF3	interacts with	NPEPPS
27	EIF2AK4	interacts with	GARS
28	EIF2AK4	interacts with	HSP90AB1
29	EIF2AK4	interacts with	RPL39L
30	EIF2AK4	interacts with	MYO5C
31	EIF2AK4	interacts with	RPL4
32	EIF2AK4	interacts with	GGNBP1
33	EIF2AK4	interacts with	NCOA5
34	EIF2AK4	interacts with	MTMR9
35	EIF2AK4	interacts with	STAU1
36	EIF2AK4	interacts with	TRIT1
37	EIF2AK4	interacts with	DTD1
38	EIF2AK4	interacts with	MAP2K3
39	EIF2AK4	interacts with	MAP2K6
40	EIF2AK4	interacts with	PPP3CA
41	EIF2AK4	interacts with	TTBK2
42	EIF2AK4	interacts with	NSUN3
43	HSP90AB1	interacts with	MAP2K1
44	HSP90AB1	interacts with	SUMO1
45	HSP90AB1	interacts with	RAP1A
46	HSP90AB1	interacts with	DTD1
47	HSP90AB1	interacts with	CANX
48	HSP90AB1	interacts with	GARS
49	HSP90AB1	interacts with	MAPK1
50	HSP90AB1	interacts with	GCLC
51	HSP90AB1	interacts with	DNAJA3
52	HSP90AB1	interacts with	LGALS4
53	HSP90AB1	interacts with	TIMM17A
54	HSP90AB1	interacts with	SPG7
55	HSP90AB1	interacts with	RAPSN
56	HSP90AB1	interacts with	INSR
57	HSP90AB1	interacts with	SPTBN1
58	HSP90AB1	interacts with	NDUFS3
59	HSP90AB1	interacts with	H2AFY
60	HSP90AB1	interacts with	SNRPC
61	HSP90AB1	interacts with	NSD2
62	HSP90AB1	interacts with	RSRC2
63	HSP90AB1	interacts with	NKTR
64	HSP90AB1	interacts with	FUS
65	HSP90AB1	interacts with	EHMT2
66	HSP90AB1	interacts with	TAF1
67	HSP90AB1	interacts with	HDLBP
68	HSP90AB1	interacts with	EXOSC10
69	HSP90AB1	interacts with	FOXO1
70	HSP90AB1	interacts with	DPH1
71	HSP90AB1	interacts with	MRPL2
72	HSP90AB1	interacts with	HIST1H4E
73	HSP90AB1	interacts with	PPP2R2A
74	HSP90AB1	interacts with	THAP4
75	HSP90AB1	interacts with	POLR3F
76	HSP90AB1	interacts with	POLR3A
77	HSP90AB1	interacts with	HMGCR
78	HSP90AB1	interacts with	AKT3
79	HSP90AB1	interacts with	RPL28
80	HSP90AB1	interacts with	RPL4
81	HSP90AB1	interacts with	NEK11
82	HSP90AB1	interacts with	PRKCA
83	HSP90AB1	interacts with	CAMK2G
84	HSP90AB1	interacts with	STK4
85	HSP90AB1	interacts with	TYRO3
86	HSP90AB1	interacts with	EIF3A
87	HSP90AB1	interacts with	MYO5C
88	HSP90AB1	interacts with	HNRNPA3
89	HSP90AB1	interacts with	HIST1H3C
90	HSP90AB1	interacts with	HIST1H3A
91	HSP90AB1	interacts with	HYOU1
92	HSP90AB1	interacts with	ILK
93	HSP90AB1	interacts with	DTX4
94	HSP90AB1	interacts with	CRKL
95	HSP90AB1	interacts with	IGF1R
96	HSP90AB1	interacts with	RAB5B
97	HSP90AB1	interacts with	SNU13
98	HSP90AB1	interacts with	MYH4
99	HSP90AB1	interacts with	STX4
100	HSP90AB1	interacts with	YWHAB
101	HSP90AB1	interacts with	ZBTB20
102	HSP90AB1	interacts with	HHAT
103	HSP90AB1	interacts with	KLHDC3
104	HSP90AB1	interacts with	NBR1
105	HSP90AB1	interacts with	PLEC
106	HSP90AB1	interacts with	PAPSS1
107	HSP90AB1	interacts with	DAPK3
108	HSP90AB1	interacts with	MON1A
109	HSP90AB1	interacts with	AK5
110	HSP90AB1	interacts with	XRCC5
111	HSP90AB1	interacts with	SSR4
112	HSP90AB1	interacts with	TPBG
113	HSP90AB1	interacts with	TSNARE1
114	HSP90AB1	interacts with	MAP2K5
115	HSP90AB1	interacts with	HCFC1
116	HSP90AB1	interacts with	CTNNBL1
117	HSP90AB1	interacts with	ABL1
118	MAP2K3	interacts with	MAP2K1
119	MAP2K3	interacts with	RAP1A
120	MAP2K3	interacts with	GARS
121	MAP2K3	interacts with	NCOA3
122	MAP2K3	interacts with	DUSP6
123	MAP2K3	interacts with	CAMK2G
124	MAP2K3	interacts with	DAPK3
125	MAP2K3	interacts with	DAPK2
126	MAP2K3	interacts with	MAP2K6
127	MAP2K3	interacts with	MAP2K5
128	PNPLA6	interacts with	RAB5B
129	PNPLA6	interacts with	MAP2K3
130	PNPLA6	interacts with	TAF1
131	PNPLA6	interacts with	RRP8
132	PNPLA6	interacts with	ILK
133	PNPLA6	interacts with	MAN2B1
134	PNPLA6	interacts with	SPG7
135	PNPLA6	interacts with	DNAJC4
136	PNPLA6	interacts with	VPS4A
137	PNPLA6	interacts with	PEX6
138	PNPLA6	interacts with	EHMT2
139	PNPLA6	interacts with	HDLBP
140	PNPLA6	interacts with	TMEM214
141	PNPLA6	interacts with	MRPL2
142	PNPLA6	interacts with	TYRO3
143	PNPLA6	interacts with	CDIPT
144	PNPLA6	interacts with	TBCD
145	PNPLA6	interacts with	RABEP2
146	PNPLA6	interacts with	ARHGEF18
147	PNPLA6	interacts with	KLHDC3
148	PNPLA6	interacts with	SULT1A1
149	PNPLA6	interacts with	AGPAT1
150	PNPLA6	interacts with	GMIP
151	PNPLA6	interacts with	PNPLA1
152	PNPLA6	interacts with	GTF3C1
153	PNPLA6	interacts with	ABR
154	PNPLA6	interacts with	LDB2
155	PNPLA6	interacts with	ZNF768
156	PNPLA6	interacts with	AXIN1
157	PNPLA6	interacts with	ABCB8
158	PNPLA6	interacts with	VPS11
159	PNPLA6	interacts with	MAST3
160	PNPLA6	interacts with	NDST1
161	PNPLA6	interacts with	TAF10
162	PNPLA6	interacts with	TPGS1
163	PNPLA6	interacts with	ABL1
164	PNPLA6	interacts with	KDM6B
165	PNPLA6	interacts with	VPS39
166	PNPLA6	interacts with	ZBTB40
167	PNPLA6	interacts with	SLC38A10
168	PNPLA6	interacts with	DAPK3
169	IPO4	interacts with	SUMO1
170	IPO4	interacts with	EIF2AK4
171	IPO4	interacts with	DTD1
172	IPO4	interacts with	GARS
173	IPO4	interacts with	HSP90AB1
174	IPO4	interacts with	RRP8
175	IPO4	interacts with	DNAJA3
176	IPO4	interacts with	TIMM17A
177	IPO4	interacts with	NDUFS3
178	IPO4	interacts with	SNRPC
179	IPO4	interacts with	SCFD2
180	IPO4	interacts with	EXOSC10
181	IPO4	interacts with	MRPL2
182	IPO4	interacts with	TRUB2
183	IPO4	interacts with	TSR2
184	IPO4	interacts with	THOC6
185	IPO4	interacts with	GTF3C2
186	IPO4	interacts with	PSMC3
187	IPO4	interacts with	TUBA4A
188	IPO4	interacts with	TAF10
189	IPO4	interacts with	THAP4
190	IPO4	interacts with	POLR3F
191	IPO4	interacts with	POLR3A
192	IPO4	interacts with	KIF22
193	IPO4	interacts with	RPL28
194	IPO4	interacts with	SNU13
195	IPO4	interacts with	RPL4
196	IPO4	interacts with	KPNA3
197	IPO4	interacts with	HDLBP
198	IPO4	interacts with	SMARCC1
199	IPO4	interacts with	STK4
200	IPO4	interacts with	HIST1H3C
201	IPO4	interacts with	HIST1H3A
202	IPO4	interacts with	HIST1H4E
203	IPO4	interacts with	PPP2R2C
204	IPO4	interacts with	PYDC1
205	IPO4	interacts with	CDAN1
206	IPO4	interacts with	RFT1
207	IPO4	interacts with	KPNB1
208	IPO4	interacts with	EIF3A
209	IPO4	interacts with	RAD51
210	IPO4	interacts with	HMGCR
211	IPO4	interacts with	AGPAT1
212	IPO4	interacts with	ANGEL1
213	IPO4	interacts with	HCFC1
