neale_trait	Phenotype.Description	rat_trait	z_size_d1d2	mean_high_z_rand	stdev_highz	obs_exp_temp	ptemp	nhgenes	nrgenes	yerr_lower	yerr_upper	rg	rg.SE	h2_observed	h2_observed_se	h2_liability	h2_liability_se	n	variable_type	NHumanGenes
102_irnt	Pulse rate, automated reading	rat_BMI	426	332.67	16.17927996	1.280548291	4e-09	21909	295	0.111443574937021	0.134928734862308	0.1338	0.01828	0.157094854343055	0.0103172814783845	0.157094854343055	0.0103172814783845	340162	continuous_irnt	919
12340_irnt	QRS duration	rat_BMI	420	339.251	15.77440962	1.238021406	1.54e-07	21909	295	0.103404033126474	0.124141534532402	NA	NA	NA	NA	NA	NA	NA	NA	9
1618	Alcohol usually taken with meals	rat_BMI	208	233.895	13.41625786	0.889287928	0.973204072	21909	295	0.0898747753677659	0.112643030943462	-0.2973	0.02088	0.101217966295632	0.00619502160961441	0.171831506720795	0.0105169065957994	184716	binary	60
1717	Skin colour	rat_BMI	255	248.71	14.47915398	1.025290499	0.331992593	21909	295	0.105009038879415	0.132059869823308	NA	NA	NA	NA	NA	NA	NA	NA	445
1727	Ease of skin tanning	rat_BMI	269	243.188	14.37465325	1.106140106	0.036274247	21909	295	0.114845516415046	0.144943083045929	NA	NA	NA	NA	NA	NA	NA	NA	353
20002_1065	Non-cancer illness code, self-reported: hypertension	rat_BMI	301	304.735	15.45997332	0.987743449	0.595451692	21909	295	0.0893340006581006	0.10906161425029	0.3774	0.01956	0.13015335880098	0.00569006440403793	0.238336073741832	0.010419612846644	361141	binary	793
20002_1074	Non-cancer illness code, self-reported: angina	rat_BMI	211	205.786	12.28813265	1.025337001	0.335669208	21909	295	0.1074298327997	0.135909761917508	0.4129	0.03352	0.0267030212655922	0.00299451176043175	0.162362347613929	0.0182075262025762	361141	binary	34
20002_1111	Non-cancer illness code, self-reported: asthma	rat_BMI	244	292.504	15.01938694	0.834176627	0.999379805	21909	295	0.0762761318461468	0.0933472587100037	0.1739	0.02221	0.0634396152478874	0.00506605856693894	0.170461989809637	0.0136124788972665	361141	binary	390
20002_1220	Non-cancer illness code, self-reported: diabetes	rat_BMI	207	246.293	14.01538979	0.840462376	0.997472916	21909	295	0.0843343528421031	0.105508363493691	0.5972	0.02954	0.0355109235683645	0.00298675083360693	0.186500387365223	0.0156861644659486	361141	binary	162
20002_1226	Non-cancer illness code, self-reported: hypothyroidism/myxoedema	rat_BMI	234	295.498	14.72745721	0.791883532	0.999985149	21909	295	0.070471375765341	0.0857299526328003	0.1459	0.03275	0.0510241998573807	0.00526287670677723	0.231895133630414	0.0239187581698444	361141	binary	487
20003_1140884600	Treatment/medication code: metformin	rat_BMI	180	190.008	12.0021638	0.947328534	0.797817141	21909	295	0.104364496735306	0.133858010159523	0.6185	0.03	0.0304629435187306	0.00277868294066605	0.218410367666947	0.0199223414614411	361141	binary	62
