	z
UBE2Q1	-1.3572564639319278
RNF14	1.6600591128867233
UBE2Q2	-1.5392120077868066
TMCO1	-1.4294441926583623
UBAC1	0.649838343691577
RAB4A	-1.9513973457955758
ZNF706	1.9729316930676617
MIB2	0.9912553689225061
RNF114	-0.9785825568074639
RNF115	-0.021295492023038654
RNF111	-2.4121021600903703
EEF1AKNMT	-0.7176704747121097
UNKL	0.6337748655527852
MMAB	-0.20949659957045333
UBE4A	-1.646978696307126
DDX41	1.2402820841131055
ATMIN	-0.37969691607131023
TSG101	1.3794581552792682
FBXW11	0.5605506770480083
UBE2D4	-1.2344564066958188
RPS27A	1.2395685194876167
UBE2D2	-1.6517249468661437
ATP6V1H	1.0312638070371147
UBE2D1	-2.1422214353728934
MFSD11	-1.266885477080313
CCT3	0.2996494339887345
LNX1	0.05220795343774847
MRFAP1L1	-0.49740901737013826
GTF2B	-1.2978364533477411
FBXL13	-0.930250997435083
FBXL12	-1.049766505031086
FBXL15	0.2534665870218206
FBXL14	-0.8362444384273444
FBXL16	-1.098354925530728
FBXL19	-0.2672705754897607
FBXL18	0.9453223451722603
CCDC51	-0.10958591062947547
PPP1R11	0.6076803700241981
AKTIP	-1.6398884439752939
RNF41	-1.401526698389415
ANAPC1	-0.6208823709285796
ANAPC2	2.4958931601175602
ANAPC5	-0.9273386270601871
ANAPC4	-1.8642229936687151
ANAPC7	0.49341617673180854
ZNRF1	-1.137702594496347
LRR1	-1.997949291916517
ZNRF2	-1.1962748161426768
FBXO30	-1.3609411657975825
FBXO5	1.2189273695737834
FBXO32	-1.2817555582019873
EMC7	1.094885104456395
KLHL25	-0.956006572744393
KLHL21	-1.1004528529835458
KLHL20	-1.7009897600535027
KLHL22	0.7269759458929775
MKRN1	0.5224374163694376
SPSB2	-1.068116214604685
SPSB1	-1.2014663778282852
TRIM50	4.187676563430048
SPSB4	-1.028362097933793
ARF1	1.4851192090708658
CDC34	0.1970514539265334
AREL1	-0.9693179672547858
LONRF1	-0.04396904878022758
CIAO2B	1.366245679803828
RNF25	-0.2881812982196519
UBE2V1	-0.6362299884817858
UBE2V2	-2.3878294659775214
RNF26	0.735818752085308
PSMD8	0.0027127861415528623
LMO7	-1.0313595604405192
MGRN1	3.0310320634764354
DHX8	-0.8287599913417691
SPCS1	-0.7927910339606413
ITCH	-1.197675900284486
PSMD4	-0.6218658728972151
FLAD1	0.0442007051276394
CBLL2	0.13148814144779766
ARIH2	2.467148426795951
TRIP12	-1.4271157303161202
MEX3C	-1.134431290813469
E2F6	-0.6669974913417288
SNW1	0.15091646766064767
PRCC	0.0334601300956627
C3AR1	-0.24141006551618516
BTRC	0.5536963228916425
TRIM11	-0.3438721367195784
HUWE1	-1.0227474938841479
UFC1	-1.3557064315855285
LRRC41	-1.0753944926126204
USP25	-0.8838143452551197
MOAP1	-0.4002983729244875
ASB2	-0.5237303448686392
ASB1	-1.2651632618175075
ASB6	-1.025183884534883
ASB7	-1.5005421514180324
ASB4	0.7465355975693041
ASB5	-1.3317400755359015
ASB8	-1.134772107640787
ASB9	-0.5390714418554857
PIP4K2C	-0.014400170889059425
ZMPSTE24	-1.556571913919817
MRPL34	-0.2014882352729523
UBE2R2	-1.1416286817346792
IMPA1	0.460954979469629
RNF19B	2.5549026062484588
RNF19A	2.4925355760537578
RFX5	1.1786790101658002
TRAIP	-0.3715513300872343
UBA52	0.5041323282120329
KAT7	-1.5076491228640811
EXOSC7	-2.009846414736628
ADAR	2.2601070454752192
STK24	1.3306901724883697
GPR161	1.6007213602050288
UBE2E1	-1.9150225008892507
UBE2E3	-1.7451326839339907
UBE2E2	-1.3758903654932255
DLGAP3	0.5021240798841237
JTB	-1.3073920991560413
TRIM9	-1.177770553992369
FBXL20	-1.2803199818892737
TRIM4	-0.787394043270408
FBXW12	-1.6994852901958604
PI4KB	0.06664487175423649
RNPEP	0.48955886191907083
ELOB	0.574240614005249
FBXW8	-0.9260767739694495
SKP2	-0.8836465704633465
ZBTB16	-0.10558362242527805
SKP1	0.5747628764823023
DEDD	0.8553046581352488
WDR26	-1.6450844048656337
FBXW9	-0.9564101229246212
FBXO21	-1.8418506629861389
FBXO27	-0.9021651442413738
HNRNPAB	-0.26175369548290794
DDX19B	0.9086502347523153
FBXO28	-1.3221449411477473
FBXW4	0.4359919308131133
FBXW5	-0.21018096339020462
FBXW7	-1.780136218983233
KLHL11	-0.8165226987464625
KLHL12	-0.46288838336532073
LRSAM1	0.1841891011316618
SH3RF1	-0.49644049971870413
CSTB	0.5510349428425121
GNB1	-2.5003181414104505
UBE2D3	-2.082043399089021
TRIM69	1.180404853078648
JOSD1	-0.99622399699947
TRIM63	-1.4098721516874753
PIP5K1A	-0.5319310743099799
KEAP1	-0.5326328549749128
ATP6V0C	2.117548905795885
ERCC3	0.3923753231900832
RNF34	1.3940953173245698
TOR1A	-0.6726551730956667
TOR1B	-0.9418947876711028
RLIM	-1.153390400495424
TMEM248	-0.291522901742147
MFSD5	-0.8822571927124643
PSME3	-0.4050992608532341
KBTBD13	-1.0907313350806036
DDX23	-1.2803685992101508
ERP44	-0.9534690974208123
ILF2	-1.8453116546541781
ASB10	-1.1906296267975165
UBE2J1	-2.1127656330613727
UBE2J2	-1.0459695450246025
WWP1	-1.4177964546025967
BTBD1	-1.270732445679259
FBXO10	-0.8429733738027677
FBXO17	-0.2801647515502883
FBXO15	-0.9907115387728983
ASB13	-0.7631156547897425
CAPRIN1	-1.9756834849362805
PPP1R7	-0.7776168866994003
CERS2	0.0019817514934132273
ASB17	-0.29553513510653195
EIF4ENIF1	1.784815729748723
CUL5	-0.6860097517697342
CUL7	1.5280538294833639
CUL1	0.8831287637980565
CUL2	0.6882054487425615
CUL3	0.8544159680318063
TRIM27	0.5974771349963564
TRIM21	0.42591740286067153
IRF2BPL	-0.3565820214088937
RNF138	-1.1715085117280954
TOR1AIP1	-2.5972307853945047
DZIP3	-1.9028995941104898
RBBP6	0.4836264014488407
RNF182	2.5047267980077015
RBX1	1.0619925634103702
RNF217	2.389597814351165
RNF213	-0.7119792311071512
SLBP	-2.5788435412961843
SMURF1	0.20732197711238035
UBE2F-SCLY	-0.8223449069868164
SMURF2	-1.6416196205407578
CDC16	0.4111872173503959
UBAP2L	-0.012752913100935865
RNF130	1.1024366238820142
B4GALT1	-0.09345881064579899
B4GALT3	-0.7997882964794898
PJA2	-2.374861489443711
RIC8A	1.3973756050673192
HERC1	0.24920431398465054
HERC3	-0.6115014894087999
HERC2	-0.05898628213393511
HERC5	-0.20914834675586072
HERC4	-0.6569736769392372
HERC6	-0.3675018818877507
MRPL9	-0.9879411634075074
UBE2I	-0.7591297411782129
UBE2H	-0.7984873893976602
UBE2K	-2.485801242427293
UBE2M	0.006337881001863114
UBE2O	-0.9816062358938891
UBE2N	-2.4529627210177347
UBE2A	-1.213703619669228
UBE2C	2.075429063058871
UBE2B	-1.5388173379448298
UBE2F	-0.8661055141074594
UBA5	-2.074330405057059
RBCK1	1.679152044477803
UBE2S	-0.04764719022956885
UBE2U	-1.3196710335259303
UBE2T	-0.3441030829977449
UBE2W	-1.1630137432727168
DPF2	1.8192161218350553
UBA1	0.7077970299683244
FBXO2	-0.9389634064213371
FBXO4	-0.8145470549255684
FBXO6	-1.314445803717584
FBXO7	1.1073845171871224
FBXO9	0.493136025548955
HACE1	-1.6383424703933147
SRPRB	-0.8101944362807193
ASB11	-1.3298934218080212
FHL3	1.510823386201542
FBXO44	-0.9490558364709424
FBXO41	-0.9209684773247163
FBXO40	-1.6614073861825756
NDUFA8	-0.9131725137745922
DET1	-0.9518013603778576
TP53	0.7360324830044597
MAEA	-0.8674934969044581
TRIM71	0.7747733045836129
BIRC6	-1.4402983428010294
PEX19	1.422822053734842
MAP2K1	-0.5277890404258508
ADPGK	-0.41713085154114343
ANGEL2	-2.722735389358148
RCHY1	-1.1718115201569732
LYPD3	2.3299104150412004
NSF	-1.6464424737860226
APEX1	-0.8192465922067816
UBE2Z	-1.4316629077266185
MAD2L1BP	-1.0100553134275216
POGK	-0.6821691893476239
PPP1CA	-0.4720602023889519
MYLIP	0.2701160919414311
M6PR	-1.7791673795171978
HECTD2	-0.8228692328038428
HECTD3	1.5632344634214002
ASB12	-1.2329239648558807
HECTD1	-1.858045560749383
ASB14	1.272015123579817
ASB15	0.5279685550491003
ASB16	-0.9574882740373337
UBE2QL1	-0.6612695896390436
ASB18	-1.0031859436142039
DHX16	0.8219360539327817
AC022826.2	-1.4430066486171729
STUB1	0.9461579112623988
ANAPC11	1.9229202336881681
ANAPC10	1.2903302513106976
ANAPC13	-1.8579941038743681
CSNK1D	-0.09679428461160516
UBR4	-0.23956842923823038
WSB1	-0.8648938021515883
SCAMP3	1.3397263352415658
CHTOP	-1.3104477765298903
KLHL5	-1.1986813128178664
