	z
UBE2Q1	0.7418475506956858
RNF14	-1.4374045115851022
UBE2Q2	0.4603992721841033
TMCO1	1.816026486159219
UBAC1	0.28308003292795775
RAB4A	-0.4725067905633514
ZNF706	0.6021302326653893
MIB2	1.0355178650851364
RNF114	0.9114328395077647
RNF115	1.1447970789704758
RNF111	-0.0014986636387767894
EEF1AKNMT	2.3045102129202206
UNKL	2.052627647344082
MMAB	-0.8125332764435367
UBE4A	0.0420929243740798
DDX41	1.4875658424142575
ATMIN	-0.7647714867645623
TSG101	0.36261643054347226
FBXW11	0.9308962675657092
UBE2D4	1.1520691578877078
RPS27A	1.07828879101633
UBE2D2	0.7542755234433309
ATP6V1H	-1.1720402006050512
UBE2D1	0.33910815493942825
MFSD11	-0.7987986851699104
CCT3	1.5981979326135365
LNX1	-0.9638923313034908
MRFAP1L1	-0.12426969188132604
GTF2B	2.0126701940754295
FBXL13	1.0723961744032366
FBXL12	0.3795952446025864
FBXL15	10.920481042849975
FBXL14	1.9356907319822096
FBXL16	10.005095202064105
FBXL19	0.4485369459248161
FBXL18	0.726495312922444
CCDC51	0.12231188426181211
PPP1R11	1.0494830185450883
AKTIP	0.5291252633773833
RNF41	0.8325601313690711
ANAPC1	-0.9255056436778412
ANAPC2	-0.526869044069863
ANAPC5	-0.6656546652292024
ANAPC4	-1.2543984180914398
ANAPC7	-0.781437036360122
ZNRF1	1.0471017214642917
LRR1	2.346091902950709
ZNRF2	1.265365423648961
FBXO30	0.32778573296705354
FBXO5	0.028795399829745726
FBXO32	0.5690728983016432
EMC7	-1.8721327309197346
KLHL25	1.2754414861947727
KLHL21	0.9151813979409967
KLHL20	3.8735732115687105
KLHL22	1.8571846676359107
MKRN1	0.6522835518737364
SPSB2	1.4257103153698085
SPSB1	0.571382313602284
TRIM50	-0.5208669521592553
SPSB4	1.1282485138537601
ARF1	0.8035929153544834
CDC34	1.2183942092268951
AREL1	1.14526178932365
LONRF1	0.9715367666959404
CIAO2B	1.0199064434751284
RNF25	-0.2929808114814349
UBE2V1	1.3769916100325463
UBE2V2	0.3568490434888709
RNF26	1.2632161314034238
PSMD8	1.3769409866439886
LMO7	0.3967820452935081
MGRN1	-0.2622175688832274
DHX8	-0.17595091642952806
SPCS1	0.5665603975523336
ITCH	8.34369388156568
PSMD4	2.0364687715045706
FLAD1	1.4024893604621371
CBLL2	0.23962911584523247
ARIH2	-0.8333884834276253
TRIP12	0.990458492037127
MEX3C	-0.2741920800338954
E2F6	-0.35879333249473655
SNW1	0.08322987520673845
PRCC	0.3520252283691771
C3AR1	-1.991276531816991
BTRC	0.7700757974753311
TRIM11	1.5132790606476625
HUWE1	0.9626689244581272
UFC1	-1.3180006448251882
LRRC41	0.7603727173222901
USP25	-0.14029740558729373
MOAP1	0.28601193760652455
ASB2	1.0278036744002959
ASB1	1.0758959763126188
ASB6	0.9324671771826659
ASB7	1.3904989360753013
ASB4	2.899487254698276
ASB5	0.22566543326314376
ASB8	1.480085967759402
ASB9	1.1396434579285102
PIP4K2C	-1.3165471824503958
ZMPSTE24	-1.5793096761976209
MRPL34	-0.12555854395744795
UBE2R2	1.0107367619880683
IMPA1	0.3800771035242437
RNF19B	4.539313758875284
RNF19A	1.9238564613541806
RFX5	0.01959571954190571
TRAIP	0.11823179745355782
UBA52	1.2628933134731366
KAT7	2.3302193005888614
EXOSC7	-0.11791554143505804
ADAR	-0.8438034528851777
STK24	-0.12154932333629133
GPR161	-0.6866276758228957
UBE2E1	0.25754257379016676
UBE2E3	0.37856513482589615
UBE2E2	0.6891981469469071
DLGAP3	0.6912893437137739
JTB	1.538837152869333
TRIM9	1.1567417362065782
FBXL20	0.8734236036666511
TRIM4	-0.5176064012894276
FBXW12	0.40646646334714115
PI4KB	-0.2735036264595293
RNPEP	-0.3590504513840801
ELOB	2.5296955960852308
FBXW8	1.074322896132419
SKP2	-0.0627252056365367
ZBTB16	0.4783650704747204
SKP1	0.5630581390995545
DEDD	-0.020931318655392637
WDR26	-0.12103356575580061
FBXW9	0.8382699463102651
FBXO21	0.28679083332964006
FBXO27	1.298257621557082
HNRNPAB	0.044047344503421036
DDX19B	0.553839185989376
FBXO28	-0.20344991968501824
FBXW4	1.0746351872552005
FBXW5	0.2882271777145302
FBXW7	-0.2320650803031008
