	CD_MemberList	frac_d1_seeds	frac_d2_seeds
C1121	CDC42EP3 PIH1D1 DRAP1 KDM8 PRR11 PLEKHG4B R3HDM4 AFAP1 GMPPA RIBC2 DCBLD2 GLIS2 OVOL1 LYPD3 TSSC4 ARHGAP35 MRPL49 CNTLN STARD13 POLRMT NR3C2 MLEC SLC8A2 SPAG7 ZNF592 PYCR3 CDC42BPG EIF2AK2 GPS1 ZNF787 GLI2 ZRANB1 BANF1 ANGPTL4 ELF2 CAP1 RIPK1 MAP2K7 ATF5 KAT6A MAPK8IP1 TM7SF2 ZNF521 TAF10 CDC42EP2 OTUD6A CDC42EP1 DIP2B TLE5 MFAP2 SNX9 RPS6KA4 DDX41 VPS4A CDCA5 ROCK2 SLC25A45 NTPCR TNIP2 LTBP4 LRPAP1 MEN1 SNTA1 CUL7 AAMDC NUCB1 CUL9 GPIHBP1 PLXNB1 ADAMTS10 DENND1B LTBP2 INPPL1 B3GAT3 ARL6IP4 LCOR TAPBP MINK1 MYEOV MAN2B1 ROGDI SEMA3F PAFAH1B3 COMMD1 DPF2 CDHR3 SP1 MAP3K11 CLCN7 FOSL1 TOR4A CERS4 FRY SNX11 FAM173A NDUFA2 FIS1 FASTK ETHE1 CDC42SE1 ZFPL1 ATXN3 SNX33 IFFO1 COMMD4 NR2C2 WDFY3 FAM57B FAM89B HMGB3 ATF6B YIF1A SLC25A28 UNC80 GLI4 NECAB3 CERS5 VEGFB TSR3 R3HCC1 BRMS1L PTH1R ACTN4 PHLDB2 UBN1 TMEM39B SNX18 CDK2AP2 TMED1 HIRA HCN2 XPO6 CCDC85B MGRN1 ZSWIM6 SPINK6 NPEPPS LRRC2 SBNO2 COX14 PPP6R2 ARHGEF17 TMEM241 ITIH3 SIGMAR1 SART1 POLA2 GLYR1 CERS1 CLN8 DOK2 SMIM20 SOST FKBP8 SNX32 METTL7A APOC2 TIGD2 PRSS50 UQCC3 PCSK6 PPP6R1 KBTBD4 SLC11A2 ZNHIT1 KCNS2 ZBTB2 MAP4K2 FADS3 ELOVL7 SAYSD1 TIGD4 DRG2 ANKRD50 ARAP1 RXFP2 FAM193A FURIN NPC1 ART4 NBEAL2 STOX1 KDM2A PPDPFL LMNB2 UQCRC1 ABHD17A RNASEH2B SYVN1 PCNX1 ABLIM2 PRRC2C TRPC1 ACTR1B SMARCD1 RBM42 PINLYP NOL3 PEX16 TESK1 NRK BRAF CACUL1 CARNMT1 TMEM136 STK38 FAM57A RFNG N4BP2L2 CROCC SIRT7 CABLES1 CDC42EP4 RIPOR1 LYPD6 DENND3 COL7A1 PKN1 ASIC1 TLN1 SMARCD2 CENPB CNPY3 FAM153B WNT5B FBXW4 SPACA4 OR10AD1 CASS4 UBALD1 SLC25A33 MEA1 POMC PLAUR ARHGEF18 C19orf53 OGFR WDTC1 LIMA1 CDH2 HIGD2A TIGD1 GRK6 NAALADL1 CFL1 JRKL GAA ZNF768 PBLD SHISA5 SF3A2 NUMA1 CELSR3 TMEM129 LMAN2L RNF40 NFE2 FBLN2 DOK3 BTBD2 PGLS RPS6KB2 KDM4C KCNRG OTUB1 INSR SLC25A44 CHPF2 PFKL PCYT2 ZNF639 VPS51 FGD3 CIZ1 MRPL11 PYGB NELFB TCEA2 PSMC3 DAPK3 KDM7A RAPGEF1 MAP2K2 AP1B1 MUS81 TIMMDC1 MED15 HDAC5 MAZ PLIN3 C11orf68 GPD1 TIGD6 HIPK2 NDUFV1 MRPL51 RHOG TRPC4AP PRTFDC1 PHF2 POGK SCAP SOCS2 LMCD1 HINT2 SETD7 SCAMP4 MTX1 PITPNM1 PLEKHN1 PRAF2 EVPLL EFEMP2 TBX2 RMC1 ANGPTL3 PARP10 APOE AP5B1 CCDC184 FMC1 PBXIP1 HOXC4 PDLIM7 CD59 PLEKHJ1 ELP5 DOK6 DHX30 COLGALT2 LTBP3 MAN2C1 TMEM256 CAPN1 DPM3 DOK5 LMAN2 PTPN23 TIGD7 AP5S1 SUPT6H PICK1 TLCD1 CCDC12 POLD4 MVD PDS5B TBX3 TAFA4 BCS1L SUPT5H MAP2K3 FGD5 H1FX CRAT PRDX3 KPNA3 SETD2 KAT5 ARHGAP32 QSOX2 HDAC8 ARL2 TYW5 NUDT16L1 B3GLCT ARHGAP26 TOM1 MED16 ARHGDIA TEX264 TP53INP2 LIMD2 PTOV1 IRF3 MRPL23 DDB2 WDR83OS LOC102724428 ANK1 NCOR2 PELI3 OR14I1 TMEM56 ARHGEF19 MYO9B PLOD3 CTDNEP1 ATG2A ENKUR TCIRG1 TEX101 PRR14 PPP2R5B DOHH RALY PXT1 TIMM44 EIF3G FIBP CDC34 PTPRA RPS19BP1 ALDOA ZNF687 ATP6V0E2 NDUFB10 ARHGAP11B LMBR1L TMEFF1 SIPA1 EHBP1L1 PRDM2 MCOLN1 ARHGEF15 PNPLA6 ZFHX3 DOK7 SNAPC2 OXSR1 PIEZO1 COMMD7 UBL5 CLPTM1 BAD CCDC170 PEX11A KDM6B SMARCC1 DNM2 GLI3 DHH DENND2A CERS2 PSCA KLHDC3 POLR2I PRRC2A SP2 VPS50 SF3B5 CDC42SE2 DENND6A CDK17 FAM177A1 PRPF18 TIGD3 ZFP41 TBL2 STK25 SPTAN1 JMJD7 SCFD2 TRAPPC2L LTBP1 TMEM141 APOA4 OR5M3 YPEL3 PSMB10 CABIN1 ZNF827 MAP4 MRPL43 RAD9A ROMO1 ZNF358 MRPL4 ARHGAP45 NPRL3 CPZ ATOH8	0.6398305084745762	0.2690677966101695
C1152	HDAC5 PRTFDC1 LOC102724428 YPEL3 MYEOV PBXIP1	0.5	0.16666666666666666
C1153	SNAPC2 POLR2I HOXC4 VPS4A MTX1 CCDC85B	0.3333333333333333	0.3333333333333333
C1157	SMARCD2 MRPL49 VPS50 VPS51 DPF2	0.8	0.4
C1158	PBLD MED16 CRAT TP53INP2 CCDC184	0.4	0.2
C1160	KCNS2 AP5S1 AP5B1 KCNRG	0.75	0.25
C1161	ATP6V0E2 ROGDI ARL2 PEX16	0.5	0.5
C1163	HIRA UBN1 HIPK2 ZNF768	0.5	0.5
C1164	CFL1 RAPGEF1 MAP2K7 NRK	0.75	0.5
C1165	TMEM129 TEX264 PLEKHJ1 SYVN1	1.0	0.25
