gene	NPS_r	NPS_h	NPS_hr	rat_seed	human_seed	node_color	subgraph
A1BG	0.12531444300216	-0.4885764793176981	-0.0612256893696536	0	0	0	PCNet
A1CF	2.540446903767773	2.1860420461698777	5.553523747698432	0	0	0	Conserved
A2M	0.6518453134188125	-0.5818483365436706	-0.3792751112965236	0	0	0	PCNet
A2ML1	-1.3155169271217877	-1.1086080475486737	1.4583926520937158	0	0	0	PCNet
A3GALT2	-0.5461069987934329	-0.2434768564174014	0.1329644153337667	0	1	2	PCNet
A4GALT	-0.8159322149541408	0.1132953619303944	-0.0924413356038977	0	0	0	PCNet
A4GNT	-0.0209317930794551	0.342154602108658	-0.0071619093325217	0	0	0	PCNet
AAAS	-1.9117972425854963	2.898241207422614	-5.540849548698213	0	0	0	Human-Only
AACS	-0.1467162878359961	0.5248020070197497	-0.076997002318818	0	0	0	PCNet
AADAC	-1.0562850489239923	-0.2324054353481016	0.2454863866468712	0	0	0	PCNet
AADACL2	-0.5983892709798095	0.0079260297343815	-0.0047428511545208	0	0	0	PCNet
AADACL3	-0.5173680054263596	1.1195818392747163	-0.5792358230971352	0	0	0	PCNet
AADACL4	-0.7015215624786643	0.8938400577739192	-0.6270480739355793	0	0	0	PCNet
AADAT	-1.5222360429862083	0.0947345242002287	-0.1442083072527374	0	1	2	PCNet
AAGAB	4.865936268973746	0.479662616131597	2.334007720705569	0	0	0	Rat-Only
AAK1	0.8931117371803744	0.8232091555012955	0.7352177589325509	0	0	0	PCNet
AAMDC	-0.5371322157735244	0.0993166046520666	-0.0533461479198676	0	0	0	PCNet
AAMP	0.5366605258021294	1.5148086580124245	0.8129380108985658	0	0	0	PCNet
AANAT	1.842722849619668	0.6162266360346125	1.135534902765243	0	0	0	PCNet
AAR2	0.0990818806123719	0.5868869953847946	0.0581498672096698	0	0	0	PCNet
AARD	1.0294037172364692	-0.7483415473672542	-0.7703455706223428	0	0	0	PCNet
AARS	-0.2706077450926601	26.2239638395469	-7.096407722011244	0	1	2	Human-Only
AARS2	10.050365916179476	1.1500509954305929	11.55843332634391	1	0	1	Conserved
AARSD1	-0.3073159504139699	0.466430438834105	-0.143341513612308	0	0	0	PCNet
AASDH	-1.1667028804624389	0.7231679968535071	-0.8437221849872386	0	0	0	PCNet
AASDHPPT	0.4243836066936292	-0.3241440445572094	-0.1375614187174489	0	0	0	PCNet
AASS	-1.024454768405328	0.1530662271121118	-0.1568094262468159	0	0	0	PCNet
AATF	0.7585040137068747	-0.1495514743168268	-0.1134353935250937	0	0	0	PCNet
