	z
UBE2Q1	-0.7968578521923143
RNF14	-0.36927880427692406
UBE2Q2	-0.7303574466087388
TMCO1	-0.40071867258878363
UBAC1	-0.401771348659537
RAB4A	-0.11772302729534415
ZNF706	-1.0774058418962624
MIB2	-0.7090830829687489
RNF114	-0.613720300917117
RNF115	-0.2363301490521188
RNF111	0.9109766841601691
EEF1AKNMT	-0.3882848098495198
UNKL	2.2372766195687506
MMAB	-0.017113609420422178
UBE4A	-1.0105404589658344
DDX41	1.788882906682498
ATMIN	-0.6980302454645124
TSG101	-0.6400890164853634
FBXW11	-0.3367370380203996
UBE2D4	1.1687256134824584
RPS27A	-0.07643672289636176
UBE2D2	0.8026376670443898
ATP6V1H	-0.3972001760391798
UBE2D1	1.579577788719119
MFSD11	-0.5542118727069678
CCT3	-1.1086909381120271
LNX1	-0.21004921433333634
MRFAP1L1	-0.9939573038268344
GTF2B	-0.22546301066214455
FBXL13	-0.7473312782558337
FBXL12	-0.8012928247824401
FBXL15	-0.9005825660643116
FBXL14	-0.7990332449471195
FBXL16	-1.0047018351572157
FBXL19	1.0080098356203204
FBXL18	-1.0091552752024784
CCDC51	-0.7153706095191811
PPP1R11	-0.6225899211249553
AKTIP	-0.8575025382946879
RNF41	2.937396171825252
ANAPC1	0.13339405762317913
ANAPC2	-0.9256960346201709
ANAPC5	-0.6187166286311727
ANAPC4	-0.5465814636200396
ANAPC7	-1.057935163582582
ZNRF1	-0.5009084993332793
LRR1	2.127233925926505
ZNRF2	-0.42808477155053803
FBXO30	-0.6078369981433264
FBXO5	-1.0447361191665896
FBXO32	-1.1260205567889359
EMC7	0.11112644746798168
KLHL25	-0.6925743734864034
KLHL21	0.05232231603553798
KLHL20	-0.9896662568578217
KLHL22	-1.057407031765174
MKRN1	-0.34858251489244935
SPSB2	-0.7758130771656757
SPSB1	-0.8827700598954734
TRIM50	-0.19010778606061912
SPSB4	-0.6936092145245231
ARF1	1.014256636741029
CDC34	-0.8908502223525194
AREL1	4.25742930228285
LONRF1	1.4959695593162528
CIAO2B	-1.275073207530882
RNF25	-0.889913432342408
UBE2V1	0.9384871438302504
UBE2V2	-0.7760295897743081
RNF26	-0.42836775766644414
PSMD8	-0.9048859508904011
LMO7	-0.7582349302004361
MGRN1	1.6750568156371661
DHX8	1.676237335167629
SPCS1	-0.6490512895463554
ITCH	0.319328649601348
PSMD4	-1.5314721159028384
FLAD1	-0.9227407767496381
CBLL2	1.5269243455146932
ARIH2	-0.5088821794578802
TRIP12	1.6919379405154664
MEX3C	-0.6471816061230905
E2F6	-0.9942785247361692
SNW1	-1.4831683140673033
PRCC	-0.719822850489199
C3AR1	2.5101727622761794
BTRC	-0.35716120538741064
TRIM11	3.5218414522946473
HUWE1	-0.8737198619159527
UFC1	-1.634160326764359
LRRC41	-0.5722929789172188
USP25	2.178885618227381
MOAP1	-0.7083352511227741
ASB2	1.631482757812468
ASB1	-0.431263460612831
ASB6	-0.9047966237897473
ASB7	0.24684896611590235
ASB4	-0.9685816984650159
ASB5	-0.8617333187345156
ASB8	-0.7629982820486217
ASB9	-0.9331335908790875
PIP4K2C	0.693321103961224
ZMPSTE24	-0.05339756975174409
MRPL34	-1.4063022172876223
UBE2R2	-0.6361219123375293
IMPA1	-0.26777944034768675
RNF19B	-0.7819233321164825
RNF19A	-0.701976228728215
RFX5	-0.1268266098443332
TRAIP	-1.054169421145489
UBA52	-0.09391998654966535
KAT7	1.558999750044061
EXOSC7	-0.17948610527536016
ADAR	1.0943349316109625
STK24	0.6381951132915771
GPR161	1.660606738526752
UBE2E1	-0.5216125910034521
UBE2E3	-0.4093053294060052
UBE2E2	-0.6419629377102505
DLGAP3	-0.8566140333775425
JTB	-1.3849663313140725
TRIM9	1.1348103694117553
FBXL20	-0.6626988440127541
TRIM4	0.05138563373037652
FBXW12	-1.0019069528585771
PI4KB	-0.4285673576628061
RNPEP	-0.9287068338772885
ELOB	-1.3868951041959308
FBXW8	-0.5110319309105419
SKP2	-1.220644445166657
ZBTB16	-0.8542499546099371
SKP1	-0.9574768373447137
DEDD	-0.787346564084484
WDR26	1.3777268959701667
FBXW9	-0.7805398892683578
FBXO21	-1.029150796255474
FBXO27	-0.6866833682592779
HNRNPAB	1.9161233050143658
DDX19B	-0.8691252029877493
FBXO28	-0.29654113101604
FBXW4	-0.9459001027258437
FBXW5	-0.9866369209502267
FBXW7	-0.8105574552802337
KLHL11	-0.8810211682863506
KLHL12	-0.8471458358950393
LRSAM1	-0.7021540516623733
SH3RF1	0.06014637680547696
CSTB	-0.5582652363031964
GNB1	-1.0512992029922232
UBE2D3	1.0181412214222134
TRIM69	-0.6730343516627352
JOSD1	0.36167933780438355
TRIM63	-0.5246229099124883
PIP5K1A	0.152966053747484
KEAP1	-0.7522189959903802
ATP6V0C	-0.7674378143514259
ERCC3	-1.0321777528715839
RNF34	0.018526667916177762
TOR1A	-0.5994546204333175
TOR1B	-0.40121402267027323
RLIM	-0.7022714232321251
TMEM248	-0.5600074499706279
MFSD5	-0.16277759363865543
PSME3	-0.40935518227121964
KBTBD13	-0.8043814594725421
