	z
UBE2Q1	-1.7281172692921232
RNF14	-1.7169192139755298
UBE2Q2	-1.1344945390822516
TMCO1	1.3940775495728104
UBAC1	-1.2472291962508968
RAB4A	-2.2559167568884937
ZNF706	-0.7128948368511006
MIB2	2.05277489046295
RNF114	-1.1960374664006228
RNF115	0.16126848703580154
RNF111	2.1270573694271393
EEF1AKNMT	-0.9573361882907002
UNKL	-1.6035659361663275
MMAB	0.030214720431561322
UBE4A	0.8119743854862912
DDX41	-1.2807030229270893
ATMIN	-0.6953124418763958
TSG101	1.8375724240198126
FBXW11	2.2797780979351234
UBE2D4	-0.9841140770121961
RPS27A	1.2083857543022167
UBE2D2	-1.6571016599010162
ATP6V1H	0.322670582178051
UBE2D1	-0.9436133624395793
MFSD11	-1.0946515775647914
CCT3	3.0916738910916135
LNX1	8.263387354904896
MRFAP1L1	-0.3261575051934688
GTF2B	-0.914555106162745
FBXL13	-2.1528720162461603
FBXL12	0.06463551261121687
FBXL15	-0.3009453487236184
FBXL14	1.3510731758838834
FBXL16	-1.878003101494374
FBXL19	-2.252206122390165
FBXL18	-2.006763871714009
CCDC51	-1.1960191713862403
PPP1R11	-0.6880893768231854
AKTIP	-1.7019275337955284
RNF41	-1.2871507173175474
ANAPC1	-0.7398602232430391
ANAPC2	-1.6332193415476954
ANAPC5	-1.2449761785681717
ANAPC4	-1.4879837900632527
ANAPC7	-0.53815862229407
ZNRF1	-0.7520943491618144
LRR1	-0.2798363523567303
ZNRF2	-0.6117994688130024
FBXO30	-1.0716316934067787
FBXO5	-0.5678439810844942
FBXO32	-1.8673199392927162
EMC7	-1.6327762019310632
KLHL25	-2.3385757668268226
KLHL21	-0.1810151704026279
KLHL20	-1.6472629966620431
KLHL22	-0.01565425300545629
MKRN1	-1.1552303198447926
SPSB2	-1.9931312618063466
SPSB1	-2.4426838435024463
TRIM50	-0.6400993336077041
SPSB4	-2.3813272429953223
ARF1	-2.0486119518416794
CDC34	-2.4190300232963775
AREL1	-0.1323660791624459
LONRF1	-0.4347830706545648
CIAO2B	0.3769814865785192
RNF25	-1.2071512861756912
UBE2V1	-0.6059017311349693
UBE2V2	-1.8350781721898797
RNF26	-1.1293493389896971
PSMD8	-0.5104465791956806
LMO7	-0.2276418620682329
MGRN1	-0.33014125228231717
DHX8	-1.0644921408046253
SPCS1	-1.2120391169044378
ITCH	-0.30410825485375287
PSMD4	-0.9705892227761397
FLAD1	-1.0182096682786999
CBLL2	-0.32112065094078657
ARIH2	-1.9985127373133844
TRIP12	-0.4517260649933742
MEX3C	-0.9357537722982927
E2F6	0.13280602451589818
SNW1	0.04755973455319511
PRCC	0.22611722916460678
C3AR1	-0.7539388882324536
BTRC	-0.3389977639609003
TRIM11	-1.514853387297311
HUWE1	-1.3854247530232624
UFC1	1.0405585845031844
LRRC41	-2.7403642186722204
USP25	-1.0613224250178204
MOAP1	-1.7948913396565098
ASB2	-0.9581285493135147
ASB1	-0.855322188556579
ASB6	-2.1287766041832255
