chromosome	start	end	strand	gene_id	gene_symbol	numSnps	pvalue	Status
chr1	700244	714068	-	100288069	LOC100288069	2	5.48497472E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	761585	762902	-	79854	LINC00115	10	7.02937826E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	762970	794826	+	643837	LOC643837	10	7.02937826E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	803450	812182	-	284593	FAM41C	10	7.02937826E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	948846	949919	+	9636	ISG15	2	6.49990493E-6	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	955502	991499	+	375790	AGRN	18	1.6616437E-4	DAVIES_SUCCESS
chr1	1007125	1009687	-	401934	RNF223	22	4.10222876E-4	DAVIES_SUCCESS
chr1	1017197	1051736	-	54991	C1orf159	38	6.20460492E-4	DAVIES_SUCCESS
chr1	1072396	1079434	+	254099	LOC254099	32	5.20630913E-2	DAVIES_SUCCESS
chr1	1102483	1102578	+	406984	MIR200B	30	4.16523119E-2	DAVIES_SUCCESS
chr1	1103242	1103332	+	406983	MIR200A	31	6.74566504E-3	DAVIES_SUCCESS
chr1	1104384	1104467	+	554210	MIR429	30	5.47961611E-3	DAVIES_SUCCESS
chr1	1109285	1133313	+	254173	TTLL10	36	3.52690979E-4	DAVIES_SUCCESS
chr1	1138887	1142089	-	8784	TNFRSF18	26	3.38405675E-4	DAVIES_SUCCESS
chr1	1146705	1149548	-	7293	TNFRSF4	26	4.09182023E-4	DAVIES_SUCCESS
chr1	1152287	1167447	-	51150	SDF4	25	4.57069607E-4	DAVIES_SUCCESS
chr1	1167628	1170420	+	126792	B3GALT6	23	3.60890886E-4	DAVIES_SUCCESS
chr1	1177825	1182102	-	388581	FAM132A	18	1.81402601E-4	DAVIES_SUCCESS
chr1	1189291	1209234	-	118424	UBE2J2	16	6.70006673E-5	DAVIES_SUCCESS
chr1	1215815	1227409	+	6339	SCNN1D	9	1.41660787E-4	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	1227763	1244989	-	116983	ACAP3	8	1.08104703E-4	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	1243993	1247057	+	126789	PUSL1	4	1.04207601E-2	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	1246964	1260067	-	54973	CPSF3L	4	4.4630415E-6	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	1260142	1264276	+	80772	GLTPD1	5	8.72204869E-6	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	1266725	1269844	+	83756	TAS1R3	4	1.96870525E-6	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	1270657	1284492	-	1855	DVL1	4	1.96870525E-6	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	1288070	1297157	-	54587	MXRA8	3	7.60537025E-7	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	1309109	1310818	-	54998	AURKAIP1	2	5.56145563E-9	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	1321090	1334718	-	81669	CCNL2	2	5.56145563E-9	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	1334909	1337426	+	148413	LOC148413	2	5.56145563E-9	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	1337275	1342693	-	55052	MRPL20	2	5.56145563E-9	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	1353799	1356824	-	441869	ANKRD65	2	5.56145563E-9	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	1361507	1363167	+	643965	TMEM88B	1	4.9E-3	NOT_RUN
chr1	1385068	1405538	+	219293	ATAD3C	2	3.43120809E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	1407163	1444689	+	83858	ATAD3B	15	1.1666155E-6	DAVIES_SUCCESS
chr1	1447522	1470067	+	55210	ATAD3A	22	4.34394138E-7	DAVIES_SUCCESS
chr1	1470157	1475740	-	339453	TMEM240	22	4.34394138E-7	DAVIES_SUCCESS
chr1	1477052	1510262	-	29101	SSU72	22	4.34394138E-7	DAVIES_SUCCESS
chr1	1533387	1535476	-	643988	C1orf233	10	2.70100828E-7	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	1550794	1565990	+	142678	MIB2	5	3.11105266E-7	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	1590987	1677438	-	728661	SLC35E2B	6	1.11033618E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	1656276	1677438	-	9906	SLC35E2	6	1.11033618E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	1682670	1711508	-	65220	NADK	16	6.31878242E-2	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	1716724	1822526	-	2782	GNB1	47	1.42833414E-1	DAVIES_SUCCESS
chr1	1846265	1848733	+	163688	CALML6	27	9.17969243E-2	DAVIES_SUCCESS
chr1	1849028	1850740	-	339456	TMEM52	26	9.25033881E-2	DAVIES_SUCCESS
chr1	1884751	1935276	-	85452	KIAA1751	17	3.97884116E-2	DAVIES_SUCCESS
chr1	1950767	1962192	+	2563	GABRD	3	3.32691221E-2	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	1981908	2116834	+	5590	PRKCZ	78	1E-12	DAVIES_LOWPRECISION_FAREBROTHER_FAIL
chr1	2115898	2139172	-	199990	C1orf86	61	1E-12	DAVIES_LOWPRECISION_FAREBROTHER_FAIL
chr1	2160133	2241652	+	6497	SKI	107	1E-12	DAVIES_LOWPRECISION_FAREBROTHER_FAIL
chr1	2252695	2322993	-	79906	MORN1	112	1.22346577E-13	DAVIES_LOWPRECISION_FAREBROTHER_SUCCESS
chr1	2281852	2284100	-	100129534	LOC100129534	76	1.21349038E-7	DAVIES_SUCCESS
chr1	2323213	2336885	+	11079	RER1	74	1.34131008E-5	DAVIES_SUCCESS
chr1	2336240	2344010	-	5192	PEX10	59	8.17470948E-5	DAVIES_SUCCESS
chr1	2407753	2436969	+	9651	PLCH2	53	1.78245439E-1	DAVIES_SUCCESS
chr1	2439974	2458035	-	55229	PANK4	44	2.68636675E-1	DAVIES_SUCCESS
chr1	2460183	2461684	-	388585	HES5	34	3.77048408E-1	DAVIES_SUCCESS
chr1	2481358	2484284	-	115110	LOC115110	34	3.63380373E-1	DAVIES_SUCCESS
chr1	2486162	2488450	-	100133445	LOC100133445	33	3.61344646E-1	DAVIES_SUCCESS
chr1	2487804	2495267	+	8764	TNFRSF14	40	3.62743558E-1	DAVIES_SUCCESS
chr1	2517898	2522908	+	127281	FAM213B	36	2.8387809E-1	DAVIES_SUCCESS
chr1	2522080	2564481	-	79258	MMEL1	36	2.8387809E-1	DAVIES_SUCCESS
chr1	2572806	2706230	-	100287898	TTC34	44	2.57172911E-1	DAVIES_SUCCESS
chr1	2938045	2939467	+	140625	ACTRT2	79	1.4838562E-2	DAVIES_SUCCESS
chr1	2976180	2984289	-	440556	FLJ42875	44	2.38031029E-3	DAVIES_SUCCESS
chr1	2985741	3355185	+	63976	PRDM16	314	7.16374216E-9	DAVIES_SUCCESS
chr1	3044538	3044599	+	100422968	MIR4251	34	1.71548425E-6	DAVIES_SUCCESS
chr1	3371146	3397677	+	27237	ARHGEF16	45	1.32074163E-3	DAVIES_SUCCESS
chr1	3404505	3528059	-	1953	MEGF6	73	1.18582172E-4	DAVIES_SUCCESS
chr1	3477259	3477354	-	693135	MIR551A	34	4.62968847E-4	DAVIES_SUCCESS
chr1	3541555	3546694	+	127262	TPRG1L	35	3.92485628E-4	DAVIES_SUCCESS
chr1	3547330	3566671	-	49856	WRAP73	38	1.31177214E-4	DAVIES_SUCCESS
chr1	3569128	3652765	+	7161	TP73	82	1.80701304E-4	DAVIES_SUCCESS
chr1	3652547	3663937	-	57212	TP73-AS1	66	1.98992465E-4	DAVIES_SUCCESS
chr1	3668964	3688209	+	148870	CCDC27	74	1.01183734E-4	DAVIES_SUCCESS
chr1	3689333	3692546	+	388588	SMIM1	79	1.8173996E-4	DAVIES_SUCCESS
chr1	3696783	3713068	-	57470	LRRC47	124	5.52793706E-6	DAVIES_SUCCESS
chr1	3728644	3773797	-	9731	CEP104	155	3.26091236E-6	DAVIES_SUCCESS
chr1	3773844	3801993	+	1677	DFFB	116	2.51435032E-6	DAVIES_SUCCESS
chr1	3805696	3816857	-	339448	C1orf174	65	2.51643115E-5	DAVIES_SUCCESS
chr1	3816967	3833879	+	100133612	LOC100133612	41	5.87572679E-2	DAVIES_SUCCESS
chr1	4000671	4012643	+	728716	LOC728716	61	5.38210891E-2	DAVIES_SUCCESS
chr1	4472110	4484744	+	284661	LOC284661	165	6.11049551E-2	DAVIES_SUCCESS
chr1	4715104	4843851	+	55966	AJAP1	309	7.45829535E-2	DAVIES_SUCCESS
chr1	5624130	5624203	+	100616489	MIR4417	111	2.06380039E-1	DAVIES_SUCCESS
chr1	5922731	5922801	-	100616421	MIR4689	118	2.66783443E-2	DAVIES_SUCCESS
chr1	5922869	6052533	-	261734	NPHP4	219	7.81045391E-2	DAVIES_SUCCESS
chr1	6052357	6161253	+	8514	KCNAB2	124	1.26406702E-1	DAVIES_SUCCESS
