	Gene	Chrom	Start-End	nSNPS	TopSNP P-Value	TopSNP Position	Binarized Heat	Negative Log	Size Adjusted Heat	HumanGene	
18413	Prlhr	chr1	281754471-281756159	23.0	7.31E-12	281756885.0	1.0	11.136171748701425	4.861444387636156	PRLHR	
4111	Fam204a	chr1	"281343691-281390632	281343691-281403699	281347535-281376834"	141.0	3.47E-11	281411373.0	1.0	10.459143933993474	4.861444387636156	FAM204A	
11771	LOC108349713	chr1	281397475-281406785	62.0	3.47E-11	281411373.0	1.0	10.459143933993474	4.861444387636156		
9622	LOC102556108	chr1	"281289719-281301391	281299202-281301391"	33.0	3.70E-11	281303363.0	1.0	10.43122350969121	4.861444387636156		
9641	LOC102556164	chr1	"281227922-281318201	281227922-281318201	281236388-281318201	281236388-281318201	281236388-281318201	281236388-281318201	281236388-281318201"	186.0	3.70E-11	281303363.0	1.0	10.43122350969121	4.861444387636156		
19255	Rab11fip2	chr1	281065345-281101163	141.0	1.70E-10	281109613.0	1.0	9.770121144773173	4.861444387636156	RAB11FIP2	
1484	Cacul1	chr1	"281814225-281874675	281816405-281874511"	84.0	2.25E-10	281811420.0	1.0	9.647775019615196	4.861444387636156	CACUL1	
6473	LOC100359574	chr1	281863114-281864546	18.0	3.21E-10	281863376.0	1.0	9.493710138717057	4.861444387636156		
11770	LOC108349712	chr1	"280934584-280959253	280942458-280959253	280942458-280975287"	160.0	4.66E-10	280936083.0	1.0	9.331574942652708	4.861444387636156		
11772	LOC108349716	chr1	282102803-282108644	93.0	7.13E-10	282099072.0	1.0	9.147074351296848	4.861444387636156		
897	Arsg	chr10	"97722549-97859975	97733458-97859975	97733459-97859975	97733459-97859975	97734643-97859975	97756870-97859975	97756891-97859975	97756897-97859975	97767379-97859975	97767379-97859975	97767379-97859975	97770779-97859975	97771941-97859975	97773868-97858810"	355.0	7.62E-10	97797154.0	1.0	9.11788547469879	4.861444387636156	ARSG	
553	Amz2	chr10	97710904-97721442	50.0	1.27E-09	97702372.0	1.0	8.897888876028903	4.861444387636156	AMZ2	
15797	Nanos1	chr1	282134675-282140370	40.0	1.29E-09	282125435.0	1.0	8.89069149475325	4.861444387636156	NANOS1	
20561	Slc16a6	chr10	"97733700-97756696	97733700-97756696	97733700-97756696	97733700-97756696	97733700-97756696	97733700-97758723	97735303-97756696	97735303-97756696	97735303-97756696	97735303-97756696	97735303-97756696	97735554-97756521"	80.0	1.38E-09	97763449.0	1.0	8.859598815348592	4.861444387636156	SLC16A6	
23338	Wipi1	chr10	"97859729-97896497	97859729-97896949"	78.0	2.81E-09	97888854.0	1.0	8.551417340255751	4.861444387636156	WIPI1	
4118	Fam20a	chr10	"97962466-97982644	97962891-98017171"	168.0	3.55E-09	97979120.0	1.0	8.449299684697584	4.861444387636156	FAM20A	
18390	Prkar1a	chr10	"97940704-97957336	97940866-97959199	97941073-97959199"	60.0	3.97E-09	97951662.0	1.0	8.401302488157254	4.861444387636156	PRKAR1A	
18394	Prkca	chr10	"96186508-96585160	96186508-96585168	96191132-96584947"	1030.0	4.36E-09	96549984.0	1.0	8.36016302912324	4.861444387636156	PRKCA	
6981	LOC100912202	chr10	97937095-97940732	39.0	4.51E-09	97946756.0	1.0	8.346288816523112	4.861444387636156		
18898	RGD1559578	chr10	98091053-98124718	240.0	5.53E-09	98091017.0	1.0	8.257088782361567	4.861444387636156		
19614	Rgs9	chr10	97509970-97582188	179.0	6.35E-09	97515118.0	1.0	8.19711754371768	4.861444387636156	RGS9	
