	Gene	Chrom	nSNPS	TopSNP P-Value	TopSNP Position	Binarized Heat	Negative Log	Size Adjusted Heat	HumanGene
18413	Prlhr	chr1	23	7.31E-12	281756885	1	11.13617175	4.861444388	PRLHR
4111	Fam204a	chr1	141	3.47E-11	281411373	1	10.45914393	4.861444388	FAM204A
11771	LOC108349713	chr1	62	3.47E-11	281411373	1	10.45914393	4.861444388	NA
9622	LOC102556108	chr1	33	3.70E-11	281303363	1	10.43122351	4.861444388	NA
9641	LOC102556164	chr1	186	3.70E-11	281303363	1	10.43122351	4.861444388	NA
19255	Rab11fip2	chr1	141	1.70E-10	281109613	1	9.770121145	4.861444388	RAB11FIP2
1484	Cacul1	chr1	84	2.25E-10	281811420	1	9.64777502	4.861444388	CACUL1
6473	LOC100359574	chr1	18	3.21E-10	281863376	1	9.493710139	4.861444388	NA
11770	LOC108349712	chr1	160	4.66E-10	280936083	1	9.331574943	4.861444388	NA
11772	LOC108349716	chr1	93	7.13E-10	282099072	1	9.147074351	4.861444388	NA
897	Arsg	chr10	355	7.62E-10	97797154	1	9.117885475	4.861444388	ARSG
553	Amz2	chr10	50	1.27E-09	97702372	1	8.897888876	4.861444388	AMZ2
15797	Nanos1	chr1	40	1.29E-09	282125435	1	8.890691495	4.861444388	NANOS1
20561	Slc16a6	chr10	80	1.38E-09	97763449	1	8.859598815	4.861444388	SLC16A6
23338	Wipi1	chr10	78	2.81E-09	97888854	1	8.55141734	4.861444388	WIPI1
4118	Fam20a	chr10	168	3.55E-09	97979120	1	8.449299685	4.861444388	FAM20A
18390	Prkar1a	chr10	60	3.97E-09	97951662	1	8.401302488	4.861444388	PRKAR1A
18394	Prkca	chr10	1030	4.36E-09	96549984	1	8.360163029	4.861444388	PRKCA
6981	LOC100912202	chr10	39	4.51E-09	97946756	1	8.346288817	4.861444388	NA
18898	RGD1559578	chr10	240	5.53E-09	98091017	1	8.257088782	4.861444388	NA
19614	Rgs9	chr10	179	6.35E-09	97515118	1	8.197117544	4.861444388	RGS9
10843	LOC103693472	chr10	20	7.46E-09	98943802	1	8.127250694	4.861444388	NA
8249	LOC102550782	chr10	70	7.70E-09	97544848	1	8.113450057	4.861444388	NA
8475	LOC102551705	chr10	125	8.87E-09	98866106	1	8.052156686	4.861444388	NA
37	Abca6	chr10	167	1.29E-08	98530060	1	7.890701625	4.861444388	ABCA6
2057	Cep112	chr10	641	1.39E-08	97067835	1	7.857864051	4.861444388	CEP112
21474	Swap70	chr1	251	1.43E-08	174870438	1	7.843941752	4.861444388	SWAP70
8075	LOC102550112	chr10	44	1.90E-08	97343838	1	7.722083794	4.861444388	NA
8122	LOC102550334	chr10	134	2.08E-08	97376192	1	7.681408734	4.861444388	NA
20070	Sbf2	chr1	78	2.14E-08	175020686	1	7.670364188	4.861444388	SBF2
8153	LOC102550454	chr10	55	2.31E-08	97476361	1	7.636023441	4.861444388	NA
14602	Map2k6	chr10	173	2.87E-08	98804855	1	7.541434665	4.861444388	MAP2K6
36	Abca5	chr10	7	3.17E-08	98585604	1	7.499524756	4.861444388	ABCA5
328	Adm	chr1	27	3.91E-08	175439066	1	7.407878783	4.861444388	ADM
8262	LOC102550846	chr10	22	3.98E-08	97623344	1	7.400037278	4.861444388	NA
731	Apoh	chr10	66	4.40E-08	96649003	1	7.356206931	4.861444388	APOH
11699	LOC108349612	chr1	50	8.11E-08	175522585	1	7.090751616	4.861444388	NA
22489	Trim66	chr1	98	8.23E-08	174090214	1	7.084822382	4.861444388	TRIM66
8108	LOC102550291	chr1	30	9.42E-08	282520805	1	7.026131705	4.861444388	NA
8232	LOC102550729	chr1	14	9.48E-08	282542505	1	7.023409781	4.861444388	NA
5134	Grk5	chr1	136	1.44E-07	282458198	1	6.842358915	4.861444388	GRK5
19651	Ric3	chr1	92	1.47E-07	173680609	1	6.833395256	4.861444388	RIC3
23591	Zfp277	chr6	383	1.66E-07	60265552	1	6.781167889	4.861444388	ZNF277
7238	LOC102546998	chr1	19	2.07E-07	281926491	1	6.683337852	4.861444388	NA
20784	Slc5a11	chr1	156	2.13E-07	193146185	1	6.671096705	4.861444388	SLC5A11
22302	Tnrc6a	chr1	298	2.13E-07	193146185	1	6.671096705	4.861444388	TNRC6A
2107	Ces2i	chr1	25	2.16E-07	282562648	1	6.665415578	4.861444388	NA
16907	Olr251	chr1	64	2.27E-07	172362612	1	6.643253468	4.861444388	NA
21348	Stk33	chr1	25	2.30E-07	174060649	1	6.637645721	4.861444388	STK33
3673	Eif3a	chr1	39	2.47E-07	282166224	1	6.607063987	4.861444388	EIF3A
16925	Olr281	chr1	33	2.54E-07	173475511	1	6.594578503	4.861444388	NA
1475	Cacng1	chr10	111	2.65E-07	95934209	1	6.576244743	4.861444388	CACNG1
22676	Tub	chr1	158	2.66E-07	173575692	1	6.574411985	4.861444388	TUB
3678	Eif3f	chr1	111	2.69E-07	173550950	1	6.569733007	4.861444388	EIF3F
10039	LOC103691204	chr1	60	2.79E-07	175553802	1	6.554128142	4.861444388	NA
16906	Olr250	chr1	18	2.81E-07	172341633	1	6.552025333	4.861444388	NA
16080	Nlrp10	chr1	95	2.87E-07	173531042	1	6.542845058	4.861444388	NLRP10
22616	Ttbk2	chr3	242	3.56E-07	112751667	1	6.448284139	4.861444388	TTBK2
547	Ampd3	chr1	124	3.61E-07	175627969	1	6.442392958	4.861444388	AMPD3
23881	rnf141	chr1	77	3.61E-07	175627969	1	6.442392958	4.861444388	RNF141
21311	Stard9	chr3	168	4.14E-07	112490615	1	6.382712322	4.861444388	STARD9
14281	Lmo1	chr1	54	4.17E-07	173769604	1	6.379995191	4.861444388	LMO1
16914	Olr263	chr1	99	4.30E-07	172630142	1	6.366974144	4.861444388	NA
1914	Cdan1	chr3	42	4.33E-07	112658758	1	6.363059991	4.861444388	CDAN1
16910	Olr257	chr1	45	4.34E-07	172544699	1	6.362696437	4.861444388	NA
5536	Hs3st4	chr1	1089	4.39E-07	194175529	1	6.357699732	4.861444388	HS3ST4
16916	Olr267	chr1	150	4.56E-07	172728009	1	6.340811401	4.861444388	NA
9530	LOC102555781	chr1	54	4.79E-07	280790903	1	6.319512193	4.861444388	NA
14069	LOC691716	chr1	64	4.91E-07	196088652	1	6.308691248	4.861444388	NA
16919	Olr270	chr1	70	5.23E-07	172784328	1	6.281255905	4.861444388	NA
18359	Prdx3	chr1	21	5.26E-07	282254616	1	6.279420668	4.861444388	PRDX3
20361	Sfxn4	chr1	33	5.45E-07	282244609	1	6.26334937	4.861444388	SFXN4
1518	Camk4	chr18	456	5.47E-07	25774019	1	6.261868198	4.861444388	CAMK4
10105	LOC103691392	chr1	182	5.56E-07	280604868	1	6.255031452	4.861444388	NA
14394	Lrrc57	chr3	14	5.64E-07	112364892	1	6.248751698	4.861444388	LRRC57
14076	LOC691918	chr3	11	5.64E-07	112364892	1	6.248751698	4.861444388	NA
20949	Snap23	chr3	37	5.64E-07	112364892	1	6.248751698	4.861444388	SNAP23
16901	Olr244	chr1	150	5.74E-07	172260003	1	6.24110551	4.861444388	NA
16903	Olr246	chr1	74	5.74E-07	172260003	1	6.24110551	4.861444388	NA
3366	Dock4	chr6	1007	5.83E-07	60368335	1	6.234547529	4.861444388	DOCK4
16904	Olr247	chr1	48	5.98E-07	172278470	1	6.22303164	4.861444388	NA
16908	Olr252	chr1	140	5.99E-07	172387491	1	6.22224776	4.861444388	NA
16913	Olr262	chr1	121	6.39E-07	172626559	1	6.194467879	4.861444388	NA
14518	Lyve1	chr1	38	6.43E-07	175661385	1	6.191714737	4.861444388	LYVE1
18226	Ppfibp2	chr1	436	6.61E-07	171891126	1	6.180007525	4.861444388	PPFIBP2
16894	Olr235	chr1	26	6.63E-07	172050229	1	6.178525121	4.861444388	NA
16895	Olr237	chr1	21	6.63E-07	172050229	1	6.178525121	4.861444388	NA
4157	Fam45a	chr1	31	6.82E-07	282195344	1	6.165901799	4.861444388	FAM45A
2103	Ces2c	chr1	5	6.83E-07	282637245	1	6.165379046	4.861444388	NA
16917	Olr268	chr1	247	7.01E-07	172754151	1	6.154287558	4.861444388	NA
16912	Olr260	chr1	81	7.07E-07	172603745	1	6.15050995	4.861444388	NA
17406	Ovch2	chr1	26	7.29E-07	172037176	1	6.137279621	4.861444388	OVCH2
13667	LOC499235	chr1	7	7.35E-07	172001163	1	6.133575599	4.861444388	NA
21530	Syt9	chr1	366	7.39E-07	171747485	1	6.131168133	4.861444388	SYT9
16902	Olr245	chr1	50	7.40E-07	172249953	1	6.131043616	4.861444388	NA
16915	Olr264	chr1	4	7.63E-07	172669275	1	6.117358224	4.861444388	NA
16899	Olr241	chr1	35	7.79E-07	172120167	1	6.108245728	4.861444388	NA
750	Aqp8	chr1	86	7.80E-07	193436510	1	6.108124827	4.861444388	AQP8
23808	Zkscan2	chr1	102	7.80E-07	193436510	1	6.108124827	4.861444388	ZKSCAN2
11651	LOC108349532	chr1	19	8.04E-07	173639046	1	6.094570592	4.861444388	NA
16900	Olr242	chr1	16	8.25E-07	172164947	1	6.08377405	4.861444388	NA
16896	Olr239	chr1	19	8.56E-07	172075221	1	6.06765766	4.861444388	NA
21107	Spats1	chr9	178	8.58E-07	17905823	1	6.066546627	4.861444388	SPATS1
16898	Olr240	chr1	39	8.59E-07	172110374	1	6.065822338	4.861444388	NA
19031	RGD1562400	chr1	80	8.66E-07	172322760	1	6.062380818	4.861444388	NA
16873	Olr203	chr1	17	8.74E-07	173185315	1	6.058395159	4.861444388	NA
16911	Olr259	chr1	56	9.13E-07	172576811	1	6.039359438	4.861444388	NA
