	Gene	Chrom	Start-End	nSNPS	TopSNP P-Value	TopSNP Position	Negative Log	HumanGene
0	A1bg	chr7	102294804-102298522	39	0.00184718	102288162	2.733490782	A1BG
1	A1cf	chr1	"250426026-250514245,250426191-250512413"	63	0.106339	250495920	0.973307428	A1CF
2	A2m	chr4	154309425-154359138	2	0.0449729	154300539	1.347049107	A2M
3	A2ml1	chr4	161863608-161907897	157	0.169893	161913176	0.769824515	A2ML1
4	A3galt2	chr5	146933591-146945882	28	0.518266	146932112	0.285447281	A3GALT2
5	A4galt	chr7	"124085831-124089385,124085835-124109541,124085835-124110439,124085836-124110019,124085836-124110438,124085836-124110438,124085836-124110440"	52	0.0249836	124081377	1.602344982	A4GALT
6	A4gnt	chr8	107856852-107866438	51	0.400693	107875291	0.397188245	A4GNT
7	AA926063	chr20	5486473-5498987	15	0.386267	5498690	0.413112393	
8	Aacs	chr12	36512392-36555694	121	0.107505	36505031	0.968571336	AACS
9	Aadacl2	chr2	150344306-150365033	4	0.772245	150335348	0.112244895	AADACL2
10	Aadat	chr16	"32832000-32868441,32832058-32868680"	55	0.0865349	32825602	1.062808704	AADAT
11	Aak1	chr4	"118653850-118806796,118655701-118806796,118655701-118806796,118655702-118795768,118655702-118795768,118655702-118806796,118655702-118806796,118655702-118806796,118655727-118795774"	134	0.000384777	118651277	3.414790896	AAK1
12	Aamdc	chr1	"162519512-162549205,162519523-162549211,162519523-162549211"	107	0.157213	162511632	0.803511545	AAMDC
13	Aamp	chr9	"81560835-81566642,81560836-81565489,81560836-81565489,81560836-81565692"	6	0.114594	81563126	0.940838121	AAMP
14	Aanat	chr10	"105568090-105572403,105568315-105572407,105568316-105572407"	62	0.722597	105559774	0.141103846	AANAT
15	Aar2	chr3	"152626737-152638869,152626737-152648365,152626756-152648344"	100	0.00858549	152632621	2.066234913	AAR2
16	Aard	chr7	91588457-91593299	49	0.00407183	91587823	2.390210362	AARD
17	Aars	chr19	"43193263-43215208,43193263-43215208,43193263-43215227,43193263-43215246,43193263-43215281"	61	0.000275651	43193362	3.559640428	AARS
18	Aars2	chr9	"17869300-17881758,17869300-17881762,17869704-17880763"	88	0.0495709	17886975	1.304773196	AARS2
19	Aarsd1	chr10	89317973-89331078	60	0.101683	89335555	0.992751649	AARSD1
20	Aasdh	chr14	"33619989-33647268,33620158-33647268,33620158-33647268,33620158-33647268,33620158-33647268,33620158-33647268,33620158-33647268,33620255-33647268,33631990-33647268,33635410-33647268"	63	0.791365	33618072	0.101623161	AASDH
21	Aasdhppt	chr8	"1432756-1450175,1439329-1450095"	11	0.00787982	1425624	2.103483703	AASDHPPT
22	Aass	chr4	50152004-50208935	162	0.537921	50215304	0.269281501	AASS
23	Aatf	chr10	71744647-71837851	54	0.140132	71736738	0.85346268	AATF
24	Aatk	chr10	"109184337-109224091,109184337-109224455,109188077-109224370,109188079-109201447"	115	0.0296842	109212234	1.527474651	AATK
25	Abat	chr10	"7093405-7146498,7094257-7200439"	153	0.0140228	7127268	1.85316526	ABAT
26	Abca1	chr5	"69857716-69983041,69857716-69983042,69857716-69983042,69860746-69952466"	345	0.354465	69986913	0.450426641	ABCA1
27	Abca12	chr9	78521476-78693421	215	0.16941	78682230	0.771060958	ABCA12
28	Abca13	chr14	89384511-89876748	1546	9.46E-05	89489914	4.024111618	ABCA13
29	Abca14	chr1	"189975730-190064032,189975730-190064069,189975730-190069112,189975731-190069111"	204	0.281862	189976807	0.549963471	
30	Abca15	chr1	"190072347-190178870,190072419-190178813,190077526-190178870"	290	0.126495	190155108	0.897926641	
31	Abca16	chr1	190200208-190358594	66	0.133304	190203482	0.875156819	
32	Abca17	chr10	"13630075-13716936,13630075-13717049,13630075-13717049,13630075-13723155,13630075-13723155,13630096-13716931"	497	0.00588711	13677918	2.230097849	
33	Abca2	chr3	"2648786-2668770,2648787-2668770,2648864-2668770,2649016-2668770"	12	0.134222	2677451	0.872176294	ABCA2
34	Abca3	chr10	"13723364-13780558,13723364-13780558"	304	0.00458826	13744160	2.33835198	ABCA3
35	Abca4	chr2	"225645538-225783288,225645567-225783287"	358	0.00170453	225782756	2.768395351	ABCA4
36	Abca5	chr10	"98573225-98645028,98576038-98644800"	7	0.354053	98572317	0.450931721	ABCA5
37	Abca6	chr10	"98477715-98544309,98477715-98545123,98477715-98546071,98477715-98546072,98477715-98546072,98477715-98546697,98477715-98546699"	167	0.166185	98526314	0.779408179	ABCA6
38	Abca7	chr7	"12742432-12762423,12742432-12762423,12742432-12762423,12742432-12762423,12742432-12762423,12742514-12761261"	39	0.0969894	12733276	1.013275727	ABCA7
39	Abca8	chr10	98236918-98308288	336	0.0147587	98303813	1.830951895	ABCA8
40	Abca8a	chr10	"98319479-98390384,98319494-98390484"	249	0.0418393	98332538	1.37841559	
41	Abca9	chr10	98412262-98472258	82	0.44958	98470415	0.347193017	ABCA9
42	Abcb11	chr3	55480023-55587946	179	0.0857144	55498455	1.066946211	ABCB11
43	Abcb1a	chr4	"22339828-22425381,22339828-22517642"	361	0.0194486	22447619	1.711111656	
44	Abcb1b	chr4	"22225122-22296842,22225122-22307577,22225460-22307453"	510	0.0438697	22309360	1.357835335	ABCB1
45	Abcb4	chr4	"22133983-22186777,22133983-22186779,22133983-22192659,22133983-22192687,22134804-22192472"	98	0.139624	22165359	0.855039924	ABCB4
46	Abcb5	chr6	146805480-146902339	67	0.426518	146911088	0.370062636	ABCB5
47	Abcb6	chr9	82373949-82382228	10	0.150918	82386462	0.821258959	ABCB6
48	Abcb8	chr4	"7296537-7311856,7297168-7311750"	2	0.0121939	7315154	1.913857371	ABCB8
49	Abcb9	chr12	37923973-37956678	132	0.0846422	37966035	1.072413057	ABCB9
50	Abcc1	chr10	549536-672235	5	0.0854989	648884	1.068039473	ABCC1
51	Abcc12	chr19	"21541323-21610465,21541324-21612757,21541325-21612757,21541325-21612757,21541325-21612757,21541741-21612527"	209	0.0181414	21601083	1.741329201	ABCC12
52	Abcc2	chr1	263554425-263612556	63	0.15665	263621660	0.805069601	ABCC2
53	Abcc4	chr15	"103695414-103927980,103696525-103927592"	13	0.365206	103931450	0.437462096	ABCC4
54	Abcc5	chr11	"84395981-84490215,84396032-84490211,84412716-84490215,84412716-84490215,84434975-84490215,84435327-84490215,84435423-84490215"	126	0.524865	84432336	0.279952387	ABCC5
55	Abcc9	chr4	176806097-176928540	385	0.0383562	176887610	1.416164426	ABCC9
56	Abcd2	chr7	132294563-132343169	194	0.0367245	132297844	1.435044108	ABCD2
57	Abcd3	chr2	225335707-225389120	157	0.0771138	225396876	1.112867895	ABCD3
58	Abcd4	chr6	"108315025-108329464,108316777-108329550"	118	0.00472195	108311587	2.325878616	ABCD4
59	Abce1	chr19	"31867959-31892860,31867980-31892863"	98	0.00210194	31896745	2.677379685	ABCE1
60	Abcf1	chr20	"3309913-3322825,3309946-3322828"	87	0.00267668	3303485	2.572403546	ABCF1
61	Abcf2	chr4	"7122849-7135607,7122849-7135607,7122849-7135607,7122915-7135604,7123141-7135607"	27	0.00629753	7142333	2.200829755	ABCF2
62	Abcf3	chr11	84026205-84037938	64	0.501115	84032031	0.300062597	ABCF3
63	Abcg1	chr20	"9743268-9840489,9790935-9842735"	34	0.0360281	9832931	1.44335864	ABCG1
64	Abcg2	chr4	"88765440-88890209,88832295-88890209,88833235-88890209,88834065-88890268,88837277-88890209,88839916-88890209,88843593-88890209"	217	0.10109	88778630	0.995291803	ABCG2
65	Abcg3	chr14	5971983-6053039	173	0.0309849	5962154	1.508849901	
66	Abcg3l1	chr14	"6488654-6541191,6488655-6541171,6495858-6541220,6496090-6541220"	301	0.248199	6499335	0.605199973	
67	Abcg3l3	chr14	"5733360-6104164,6058592-6102621,6067735-6104164"	424	0.0277198	5953275	1.557209908	
68	Abcg4	chr8	"48604914-48620147,48604914-48620482,48604914-48626219,48604914-48626219"	65	0.575751	48603149	0.239765299	ABCG4
69	Abcg5	chr6	"7935770-7961207,7935855-7954372"	141	0.531686	7944085	0.274344775	ABCG5
70	Abcg8	chr6	"7961412-7980708,7968127-7979569"	76	0.629894	7967622	0.200732528	ABCG8
71	Abhd1	chr6	26787806-26792795	9	0.0346654	26779841	1.460103784	ABHD1
72	Abhd11	chr12	"24722276-24724997,24722855-24725760"	32	0.60885	24717821	0.21548969	ABHD11
73	Abhd11os	chr12	24721189-24722177	30	0.598997	24712136	0.222575353	
74	Abhd12	chr3	146630297-146690375	97	0.00374788	146646739	2.426214323	ABHD12
75	Abhd12b	chr6	92568974-92596327	120	0.0113062	92588203	1.946683336	ABHD12B
76	Abhd13	chr16	"85315274-85330108,85315278-85329818,85315278-85329818,85315278-85329818,85315278-85329909"	122	0.554502	85333338	0.256096883	ABHD13
77	Abhd14a	chr8	"115141574-115149316,115141574-115149506,115141574-115149509,115141574-115149510,115141574-115149510,115141574-115149510,115141574-115151222,115141579-115149419"	19	0.552625	115133705	0.257569472	ABHD14A
78	Abhd14b	chr8	"115149637-115154556,115149741-115154556,115150513-115154551"	16	0.574199	115140364	0.240937568	ABHD14B
79	Abhd16a	chr20	5080069-5094935	255	0.00167603	5088863	2.775718212	ABHD16A
80	Abhd16b	chr3	176985899-176987797	3	0.765495	176977015	0.116057642	ABHD16B
81	Abhd17a	chr7	"11992542-11998974,11992704-12000978"	34	0.101095	11990718	0.995270323	ABHD17A
82	Abhd17b	chr1	"239266139-239301133,239266873-239300256"	42	0.248926	239294574	0.60392974	ABHD17B
83	Abhd17c	chr1	146248504-146289465	50	0.244014	146261103	0.612585256	ABHD17C
84	Abhd18	chr2	"127770587-127827800,127770587-127828218,127770804-127827800,127783633-127827800,127810728-127827800,127810855-127827800,127811007-127827800"	15	0.624707	127816265	0.204323628	ABHD18
85	Abhd2	chr1	140998239-141087405	146	0.11029	141029316	0.957463863	ABHD2
86	Abhd3	chr18	1892412-1946840	158	0.16144	1954658	0.791988851	ABHD3
87	Abhd4	chr15	"32888232-32905677,32894937-32906861,32895035-32905677"	20	0.924523	32910685	0.03408228	ABHD4
88	Abhd6	chr15	"18647902-18675973,18647902-18683502,18647902-18695081,18647904-18695133"	104	0.179376	18696244	0.746235665	ABHD6
89	Abhd8	chr16	19866027-19872765	6	0.232943	19857317	0.632750336	ABHD8
90	Abi1	chr17	"89951661-90033158,89951680-90033158,89951680-90033158,89951680-90033158,89951680-90033158,89951680-90033158,89951681-90033158,89951681-90033158,89951751-90033334"	4	0.867055	90015661	0.061953353	ABI1
91	Abi3	chr10	"83644085-83655182,83644087-83655066,83644087-83655066"	87	0.106829	83659869	0.971310837	ABI3
92	Abi3bp	chr11	"46206931-46422789,46206931-46422789,46206931-46422789,46206931-46422789,46206931-46422789,46206931-46422790,46206931-46422790,46206931-46422790,46206931-46422790,46206931-46422790,46206931-46422790,46206931-46422790,46206931-46422790,46206931-46422790,46206931-46422790,46206931-46422790,46206931-46422791,46206931-46422791,46206931-46422791,46206931-46422791,46206931-46422791,46206931-46422791,46206931-46422791,46206931-46422791,46206931-46422791,46206931-46422791,46206931-46422791,46206931-46422791,46206931-46422791,46206931-46422791,46206931-46422791,46206931-46422791,46206931-46422791,46206931-46422791"	181	0.459341	46306007	0.337864788	ABI3BP
93	Abl1	chr3	"10041819-10145076,10041825-10080881"	25	0.22776	10114667	0.642522546	ABL1
94	Abl2	chr13	"74154532-74248042,74154532-74248042,74154532-74248042,74154532-74248042,74154834-74242238,74154834-74242238,74154834-74248042,74154834-74333244,74155097-74248042,74215851-74248042,74215869-74248042,74216844-74242238"	202	0.0427663	74305108	1.368898322	ABL2
95	Ablim1	chr1	"277853876-278043094,277853876-278043096"	412	0.000228207	277899077	3.641671038	ABLIM1
96	Ablim2	chr14	"80044216-80142570,80044216-80142570,80044216-80142570,80044216-80142571,80044216-80142571,80044216-80142571,80044216-80142571,80044216-80142571,80044216-80142572,80044216-80142572,80044216-80142572,80044216-80142573,80044216-80142573,80044216-80142574,80044216-80142574,80044216-80142575,80044216-80142575,80044216-80142575,80044216-80142576,80044216-80142576,80044216-80142576,80044216-80142577,80044216-80169491,80045077-80169472,80045077-80169472"	204	8.30E-05	80040820	4.081074199	ABLIM2
97	Ablim3	chr18	"57126533-57245768,57126533-57245768,57126533-57245768,57126533-57245768,57126533-57245768,57126533-57245768,57126533-57245965,57127981-57245699"	306	0.0244148	57117103	1.612346829	ABLIM3
98	Abo	chr3	4374678-4394374	33	0.449901	4385488	0.346883042	ABO
99	Abo2	chr3	5386433-5402666	19	0.285137	5376463	0.544946424	
100	Abr	chr10	64565120-64657079	48	0.0691592	64611901	1.160150039	ABR
101	Abra	chr7	80792614-80796683	59	0.118683	80784480	0.925611484	ABRA
102	Abracl	chr1	13165582-13175773	33	0.0373842	13172091	1.427311909	ABRACL
103	Abtb2	chr3	93494705-93648750	49	0.512897	93658527	0.289969841	ABTB2
104	Ac1576	chr10	71342034-71358887	44	0.129313	71347156	0.888357813	
105	Acaa1	chr8	128027879-128036471	28	0.00313479	128046241	2.503791547	
106	Acaa1b	chr8	127836234-127845296	56	0.00293362	127828249	2.532596142	
107	Acaa2	chr18	70733871-70762395	92	0.0678125	70748368	1.168690244	ACAA2
108	Acaca	chr10	71519391-71719910	75	0.130253	71711011	0.885212265	ACACA
109	Acacb	chr12	"48127148-48205056,48127148-48210393,48127148-48228340,48127148-48229431,48127148-48238968,48127148-48238968,48127148-48238969,48127148-48238969,48127148-48238969,48128404-48218955"	223	0.0343844	48137574	1.46363855	ACACB
110	Acad10	chr12	"40417917-40460562,40417943-40460561"	18	0.12494	40470166	0.903298498	ACAD10
111	Acad11	chr8	112594757-112676275	658	0.0360189	112678582	1.443469554	ACAD11
112	Acad8	chr8	28023400-28044967	34	0.470866	28040951	0.327102668	ACAD8
113	Acad9	chr2	"122782050-122804419,122782050-122806166,122782130-122805765"	143	0.00180842	122774188	2.742700699	ACAD9
114	Acadl	chr9	73833367-73871857	168	0.000622426	73826670	3.205912274	ACADL
115	Acadm	chr2	260124417-260148589	54	0.235171	260150853	0.628616234	ACADM
116	Acads	chr12	47254502-47263747	17	0.346606	47272838	0.460163924	ACADS
117	Acadsb	chr1	"201981361-202019882,201981362-202019882,201981362-202022771,201981452-202020186"	35	0.495874	201994544	0.304628662	ACADSB
118	Acadvl	chr10	56619320-56624468	19	0.235897	56625005	0.627277582	ACADVL
119	Acan	chr1	140762757-140824441	167	0.0986039	140756575	1.006105907	ACAN
120	Acap2	chr11	"73078965-73193496,73078966-73181457,73078967-73193496,73078967-73193496,73078967-73193496,73078968-73193496,73078968-73193496,73078981-73191133"	291	0.200389	73134355	0.698126122	ACAP2
121	Acap3	chr5	"173340059-173354755,173340431-173354756,173340650-173354756"	70	0.063498	173335188	1.197239953	ACAP3
122	Acat1	chr8	58166989-58195884	85	0.0176943	58181121	1.752166614	ACAT1
123	Acat2	chr1	47972398-47992654	15	0.227146	48000686	0.643694907	ACAT2
124	Acat2l1	chr1	48008573-48025730	56	0.211103	48032763	0.675505595	
125	Acbd3	chr13	99004941-99035520	41	0.181609	99045066	0.740862633	ACBD3
126	Acbd4	chr10	"91186130-91200081,91186152-91200081,91186207-91191432,91186207-91193126,91186207-91196198,91186207-91196573,91186207-91196573,91186207-91196573,91186207-91200081,91186207-91200081,91187592-91196573"	55	0.0168007	91196422	1.774672623	ACBD4
127	Acbd6	chr13	"73196503-73225054,73196503-73231272,73196507-73209946,73196511-73225054,73196511-73231271,73196511-73239898,73196511-73334077,73196513-73334077,73196513-73334077,73196570-73334077"	231	0.0885526	73223358	1.052798683	ACBD6
128	Acbd7	chr17	"78904548-78913372,78905337-78910684"	78	0.208036	78919642	0.681861505	ACBD7
129	Accs	chr3	"82742829-82756953,82743145-82756855,82743145-82757098,82743145-82757122,82743145-82757271,82743884-82757273"	71	0.461394	82765638	0.335928057	ACCS
130	Accsl	chr3	"82762860-82774506,82762861-82777814"	93	0.288853	82781876	0.539323118	ACCSL
131	Acd	chr19	"37665288-37668043,37665294-37667987"	33	0.548206	37659952	0.261056216	ACD
132	Ace	chr10	94170765-94213831	181	0.0834765	94165626	1.078435768	ACE
133	Ace3	chr10	"94191698-94206276,94191698-94206276,94192580-94206274"	105	0.134819	94197819	0.870248899	
134	Acer1	chr9	10061977-10093588	64	0.488465	10093565	0.311166549	ACER1
135	Acer2	chr5	"105230539-105279732,105230579-105279731"	145	0.405802	105282272	0.391685817	ACER2
136	Acer3	chr1	"163160986-163216342,163160986-163263621"	112	0.166197	163219582	0.77937682	ACER3
137	Ache	chr12	22472357-22477052	25	0.0395829	22477246	1.402492391	ACHE
138	Acin1	chr15	"33288368-33300415,33288368-33332901,33288371-33333250,33288371-33333250,33288371-33333250,33288371-33333250,33288371-33333256"	85	0.190557	33304092	0.719975093	ACIN1
139	Ackr3	chr9	"97355880-97367455,97355923-97367449"	46	0.266393	97356726	0.574477191	ACKR3
140	Ackr4	chr8	"112643837-112649741,112643837-112649741,112643837-112649741,112643837-112651668"	230	0.0456403	112645816	1.34065151	ACKR4
141	Acmsd	chr13	44424688-44468734	196	0.0956795	44471235	1.019181103	ACMSD
142	Acnat1	chr5	64710884-64718500	1	0.116104	64723995	0.935152818	
143	Acnat2	chr5	64669997-64674250	3	0.00264477	64677733	2.57761209	
144	Aco1	chr5	56425075-56481218	72	0.312139	56440133	0.505651965	ACO1
145	Aco2	chr7	123102492-123145608	52	0.0217786	123119713	1.661970042	ACO2
146	Acot11	chr5	126347477-126395655	183	0.356001	126390121	0.448548782	ACOT11
147	Acot12	chr2	"20857055-20901656,20857427-20898981"	126	0.196852	20896570	0.705860168	ACOT12
148	Acot2	chr6	"107460595-107468324,107460667-107467481"	5	0.373865	107453666	0.42728519	ACOT2
149	Acot3	chr6	107531507-107537446	25	0.638531	107525062	0.194818013	
150	Acot4	chr6	107517667-107522952	76	0.400203	107512108	0.39771966	ACOT4
151	Acot6	chr6	107581356-107590431	27	0.212537	107582648	0.672565454	ACOT6
