chromosome	start	end	strand	gene_id	gene_symbol	numSnps	pvalue	Status
chr1	11873	14409	+	100287102	DDX11L1	1	5.078E-1	NOT_RUN
chr1	14361	29961	-	653635	WASH7P	1	5.078E-1	NOT_RUN
chr1	69090	70008	+	79501	OR4F5	2	4.4713265E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	134772	140566	-	729737	LOC729737	1	2.794E-1	NOT_RUN
chr1	367658	622034	+	729759	OR4F29	1	8.641E-1	NOT_RUN
chr1	700244	714068	-	100288069	LOC100288069	27	8.59235077E-1	DAVIES_SUCCESS
chr1	761585	762902	-	79854	LINC00115	81	4.23178515E-1	DAVIES_SUCCESS
chr1	762970	794826	+	643837	LOC643837	121	4.91051907E-1	DAVIES_SUCCESS
chr1	803450	812182	-	284593	FAM41C	161	6.40213471E-1	DAVIES_SUCCESS
chr1	852952	854817	-	100130417	LOC100130417	150	4.81657068E-1	DAVIES_SUCCESS
chr1	860529	879961	+	148398	SAMD11	194	5.28981845E-1	DAVIES_SUCCESS
chr1	879582	894679	-	26155	NOC2L	220	5.70872391E-1	DAVIES_SUCCESS
chr1	895966	901099	+	339451	KLHL17	188	5.20431659E-1	DAVIES_SUCCESS
chr1	901876	910484	+	84069	PLEKHN1	187	4.19662776E-1	DAVIES_SUCCESS
chr1	910578	917473	-	84808	C1orf170	174	3.38639797E-1	DAVIES_SUCCESS
chr1	934341	935552	-	57801	HES4	189	4.20560699E-1	DAVIES_SUCCESS
chr1	948846	949919	+	9636	ISG15	192	5.69675951E-1	DAVIES_SUCCESS
chr1	955502	991499	+	375790	AGRN	271	4.67728032E-1	DAVIES_SUCCESS
chr1	1007125	1009687	-	401934	RNF223	215	5.16421618E-1	DAVIES_SUCCESS
chr1	1017197	1051736	-	54991	C1orf159	281	2.88004213E-1	DAVIES_SUCCESS
chr1	1072396	1079434	+	254099	LOC254099	267	9.97230537E-2	DAVIES_SUCCESS
chr1	1102483	1102578	+	406984	MIR200B	262	4.06199701E-2	DAVIES_SUCCESS
chr1	1103242	1103332	+	406983	MIR200A	263	4.13908419E-2	DAVIES_SUCCESS
chr1	1104384	1104467	+	554210	MIR429	258	3.88233559E-2	DAVIES_SUCCESS
chr1	1109285	1133313	+	254173	TTLL10	347	1.01007484E-1	DAVIES_SUCCESS
chr1	1138887	1142089	-	8784	TNFRSF18	297	1.10524429E-1	DAVIES_SUCCESS
chr1	1146705	1149548	-	7293	TNFRSF4	285	1.51485719E-1	DAVIES_SUCCESS
chr1	1152287	1167447	-	51150	SDF4	284	1.73188428E-1	DAVIES_SUCCESS
chr1	1167628	1170420	+	126792	B3GALT6	241	3.16947475E-1	DAVIES_SUCCESS
chr1	1177825	1182102	-	388581	FAM132A	201	2.83866245E-1	DAVIES_SUCCESS
chr1	1189291	1209234	-	118424	UBE2J2	186	3.18607176E-1	DAVIES_SUCCESS
chr1	1215815	1227409	+	6339	SCNN1D	108	2.19869182E-1	DAVIES_SUCCESS
chr1	1227763	1244989	-	116983	ACAP3	97	1.30497019E-1	DAVIES_SUCCESS
chr1	1243993	1247057	+	126789	PUSL1	80	1.03289743E-1	DAVIES_SUCCESS
chr1	1246964	1260067	-	54973	CPSF3L	125	5.28930052E-2	DAVIES_SUCCESS
chr1	1260142	1264276	+	80772	GLTPD1	140	5.31172468E-2	DAVIES_SUCCESS
chr1	1266725	1269844	+	83756	TAS1R3	143	4.46372261E-2	DAVIES_SUCCESS
chr1	1270657	1284492	-	1855	DVL1	148	4.43125483E-2	DAVIES_SUCCESS
chr1	1288070	1297157	-	54587	MXRA8	157	4.2527253E-2	DAVIES_SUCCESS
chr1	1309109	1310818	-	54998	AURKAIP1	167	5.44737158E-2	DAVIES_SUCCESS
chr1	1321090	1334718	-	81669	CCNL2	189	6.81025891E-2	DAVIES_SUCCESS
chr1	1334909	1337426	+	148413	LOC148413	186	6.99196068E-2	DAVIES_SUCCESS
chr1	1337275	1342693	-	55052	MRPL20	197	7.43720784E-2	DAVIES_SUCCESS
chr1	1353799	1356824	-	441869	ANKRD65	164	1.05322275E-1	DAVIES_SUCCESS
chr1	1361507	1363167	+	643965	TMEM88B	138	1.49949219E-1	DAVIES_SUCCESS
chr1	1370902	1378262	+	64856	VWA1	126	2.21584763E-1	DAVIES_SUCCESS
chr1	1385068	1405538	+	219293	ATAD3C	132	2.83416677E-1	DAVIES_SUCCESS
chr1	1407163	1444689	+	83858	ATAD3B	147	5.99114271E-1	DAVIES_SUCCESS
chr1	1447522	1470067	+	55210	ATAD3A	108	6.05168514E-1	DAVIES_SUCCESS
chr1	1470157	1475740	-	339453	TMEM240	116	1.19049877E-3	DAVIES_SUCCESS
chr1	1477052	1510262	-	29101	SSU72	162	8.69492367E-10	DAVIES_SUCCESS
chr1	1533387	1535476	-	643988	C1orf233	136	1E-12	DAVIES_LOWPRECISION_FAREBROTHER_FAIL
chr1	1550794	1565990	+	142678	MIB2	144	1E-12	DAVIES_LOWPRECISION_FAREBROTHER_FAIL
chr1	1567559	1570030	+	8510	MMP23B	134	1E-12	DAVIES_LOWPRECISION_FAREBROTHER_FAIL
chr1	1571099	1655775	-	984	CDK11B	236	1E-12	DAVIES_LOWPRECISION_FAREBROTHER_FAIL
chr1	1590987	1677438	-	728661	SLC35E2B	227	1E-12	DAVIES_LOWPRECISION_FAREBROTHER_FAIL
chr1	1631377	1633247	+	8511	MMP23A	114	1E-12	DAVIES_LOWPRECISION_FAREBROTHER_FAIL
chr1	1634169	1655791	-	728642	CDK11A	160	1E-12	DAVIES_LOWPRECISION_FAREBROTHER_FAIL
chr1	1656276	1677438	-	9906	SLC35E2	160	8.3879792E-11	DAVIES_SUCCESS
chr1	1682670	1711508	-	65220	NADK	158	2.40407694E-12	DAVIES_SUCCESS
chr1	1716724	1822526	-	2782	GNB1	263	1E-12	DAVIES_LOWPRECISION_FAREBROTHER_FAIL
chr1	1846265	1848733	+	163688	CALML6	203	1E-12	DAVIES_LOWPRECISION_FAREBROTHER_FAIL
chr1	1849028	1850740	-	339456	TMEM52	215	1.61770597E-12	DAVIES_SUCCESS
chr1	1884751	1935276	-	85452	KIAA1751	390	1.04789533E-9	DAVIES_SUCCESS
chr1	1950767	1962192	+	2563	GABRD	285	5.27493802E-2	DAVIES_SUCCESS
