"HsOrtho"	"MsOrtho"	"Homology_Score"
"A1BG"	"A1bg"	80.16247
"A1CF"	"A1cf"	71.784355
"A2M"	"A2m"	80.24154
"A2ML1"	"A2ml1"	77.83238
"A3GALT2"	"A3galt2"	77.49469
"A4GALT"	"A4galt"	75.28735
"A4GNT"	"A4gnt"	75.55432
"AAAS"	"Aaas"	73.02933
"AACS"	"Aacs"	72.79511
"AADAC"	"Aadac"	75.44226
"AADACL2"	"Aadacl2"	82.95494
"AADACL3"	"Aadacl3"	80.10715
"AADACL4"	"Aadacl4"	77.7692
"AADAT"	"Aadat"	73.47969
"AAGAB"	"Aagab"	72.267204
"AAK1"	"Aak1"	73.90292
"AAMDC"	"Aamdc"	73.94043
"AAMP"	"Aamp"	75.13663
"AANAT"	"Aanat"	74.2026
"AAR2"	"Aar2"	73.13646
"AARD"	"Aard"	80.68615
"AARS"	"Aars"	95.96398
"AARS2"	"Aars2"	72.23036
"AARSD1"	"Aarsd1"	77.14886
"AASDH"	"Aasdh"	72.01777
"AASDHPPT"	"Aasdhppt"	73.095085
"AASS"	"Aass"	72.55723
"AATF"	"Aatf"	72.84902
"AATK"	"Aatk"	76.00388
"ABAT"	"Abat"	73.25996
"ABCA1"	"Abca1"	73.28573
"ABCA12"	"Abca12"	72.622055
"ABCA13"	"Abca13"	76.42742
"ABCA2"	"Abca2"	72.751945
"ABCA3"	"Abca3"	74.524574
"ABCA4"	"Abca4"	75.468666
"ABCA5"	"Abca5"	72.17267
"ABCA6"	"Abca6"	79.529884
"ABCA7"	"Abca7"	74.105515
"ABCA9"	"Abca9"	78.38182
"ABCB10"	"Abcb10"	71.85466
"ABCB11"	"Abcb11"	74.58497
"ABCB4"	"Abcb4"	75.088745
"ABCB5"	"Abcb5"	75.28207
"ABCB6"	"Abcb6"	75.52407
"ABCB7"	"Abcb7"	72.14215
"ABCB8"	"Abcb8"	73.06484
"ABCB9"	"Abcb9"	72.4281
"ABCC1"	"Abcc1"	73.20097
"ABCC10"	"Abcc10"	72.82055
"ABCC12"	"Abcc12"	75.656
"ABCC2"	"Abcc2"	73.622795
"ABCC3"	"Abcc3"	72.53045
"ABCC4"	"Abcc4"	73.32266
"ABCC5"	"Abcc5"	73.923485
"ABCC6"	"Abcc6"	77.62394
"ABCC8"	"Abcc8"	72.654724
"ABCC9"	"Abcc9"	72.81008
"ABCD1"	"Abcd1"	74.28221
"ABCD2"	"Abcd2"	74.45243
"ABCD3"	"Abcd3"	74.02605
"ABCD4"	"Abcd4"	73.177574
"ABCE1"	"Abce1"	73.23669
"ABCF1"	"Abcf1"	73.797485
"ABCF2"	"Abcf2"	77.014465
"ABCF3"	"Abcf3"	72.260544
"ABCG1"	"Abcg1"	72.49302
"ABCG2"	"Abcg2"	75.68392
"ABCG4"	"Abcg4"	74.36129
"ABCG5"	"Abcg5"	73.20889
"ABCG8"	"Abcg8"	72.74258
"ABHD1"	"Abhd1"	76.887726
"ABHD10"	"Abhd10"	75.90334
"ABHD11"	"Abhd11"	73.58363
"ABHD12"	"Abhd12"	72.92391
"ABHD12B"	"Abhd12b"	74.639694
"ABHD13"	"Abhd13"	73.923485
"ABHD14A"	"Abhd14a"	74.266685
"ABHD14B"	"Abhd14b"	74.368286
"ABHD15"	"Abhd15"	75.54533
"ABHD16A"	"Abhd16a"	74.39101
"ABHD16B"	"Abhd16b"	78.308395
"ABHD17A"	"Abhd17a"	75.172035
"ABHD17B"	"Abhd17b"	73.46756
"ABHD17C"	"Abhd17c"	73.02294
"ABHD18"	"Abhd18"	72.95166
"ABHD2"	"Abhd2"	74.11059
"ABHD3"	"Abhd3"	73.24541
"ABHD4"	"Abhd4"	75.321815
"ABHD5"	"Abhd5"	74.77899
"ABHD6"	"Abhd6"	74.66094
"ABHD8"	"Abhd8"	75.419655
"ABI1"	"Abi1"	73.82073
"ABI2"	"Abi2"	73.345024
"ABI3"	"Abi3"	75.473114
"ABI3BP"	"Abi3bp"	76.76603
"ABITRAM"	"Abitram"	72.718094
"ABL1"	"Abl1"	72.6485
"ABL2"	"Abl2"	73.078636
"ABLIM1"	"Ablim1"	74.30917
"ABLIM2"	"Ablim2"	72.70789
